datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2000-02-01,dsm2,baseline,42,46014.55,2830.07,10064.12,568.14,39584.25,0.00,0.00,0.00,3.24,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.80
2000-02-02,dsm2,baseline,42,48172.32,2850.56,9907.32,666.41,41547.55,0.00,0.00,767.05,2.73,3.58,0.57,0.57,3.26,6.51,1.26,2.31,0.24,0.24,8.90,0.45,1.10,5.24,47.40,65.69,1.50,1.40,18.35,1.06,0.40,12.34,5.54,3.25,8.28,14.00,246.97,0.97,1.91,6.40,1.54,35.64,5.06,61.23,1.04,5.17,1.16,18.74,9.61,4.54,5.94,54.40
2000-02-03,dsm2,baseline,42,49844.96,3003.88,9961.02,301.56,43646.06,0.00,0.00,804.99,2.36,3.66,1.82,1.82,6.81,19.03,326.67,5.48,1.59,1.59,18.54,19.70,3.21,19.65,73.22,318.68,3.56,3.51,55.52,4.07,5.74,111.54,12.02,6.87,16.42,75.32,488.28,3.71,4.81,26.00,13.14,49.99,78.36,127.12,25.73,18.04,21.25,695.45,19.22,16.98,17.12,54.40
2000-02-04,dsm2,baseline,42,50106.38,3116.88,10174.62,134.00,44598.94,0.00,0.00,820.00,1.95,3.55,4.20,4.20,8.30,34.31,783.27,8.90,29.45,29.45,23.72,92.33,8.75,48.32,90.02,492.19,5.71,5.86,98.00,16.73,17.82,233.41,20.08,8.31,20.28,566.00,500.24,11.70,10.13,42.95,37.44,69.40,102.23,124.07,73.95,217.45,58.00,807.16,26.14,30.48,161.06,54.40
2000-02-05,dsm2,baseline,42,49828.94,3144.09,10086.72,784.29,43430.71,0.00,0.00,864.99,1.48,3.41,11.05,11.05,11.17,46.11,811.97,15.05,70.86,70.86,29.35,107.81,18.53,69.79,69.40,495.91,11.20,11.59,114.97,29.92,44.50,263.11,40.83,11.17,23.44,741.91,355.52,20.56,36.70,57.53,56.16,59.02,107.12,127.99,82.47,369.74,67.36,825.20,35.44,38.48,255.89,53.80
2000-02-06,dsm2,baseline,42,49755.22,3237.81,10145.72,626.75,43410.76,0.00,0.00,910.29,1.38,3.47,18.29,18.29,17.60,51.69,844.27,22.18,89.23,89.23,37.59,114.05,28.39,79.63,58.19,399.98,19.54,19.81,96.54,40.90,70.40,224.37,66.61,17.57,27.74,774.39,230.50,29.58,269.98,65.96,72.42,38.70,114.36,130.67,91.15,408.94,75.22,869.83,45.44,40.72,190.56,53.80
2000-02-07,dsm2,baseline,42,48401.70,3332.94,10578.42,762.69,41448.13,0.00,0.00,957.39,1.36,3.38,26.99,26.99,27.35,59.61,892.15,31.67,97.21,97.21,46.07,119.43,43.78,90.62,70.67,363.92,31.89,32.55,81.10,49.37,85.34,206.30,84.88,27.30,31.67,821.21,291.42,43.48,563.05,71.49,83.78,15.17,119.40,132.87,101.74,432.34,86.85,915.62,42.04,43.66,186.39,53.80
2000-02-08,dsm2,baseline,42,46695.15,3466.62,10035.92,766.03,40302.92,0.00,0.00,985.19,1.46,3.30,35.37,35.37,40.21,67.39,943.65,40.63,103.71,103.71,54.53,123.85,54.02,96.43,83.75,336.31,44.29,44.66,65.71,58.43,94.78,191.43,97.12,40.15,40.16,873.78,276.18,56.71,733.11,76.83,93.96,15.76,123.39,134.02,107.43,408.60,93.87,961.26,46.47,45.46,186.32,53.80
2000-02-09,dsm2,baseline,42,45195.00,3566.98,9292.12,762.00,39607.35,0.00,0.00,997.00,1.77,3.19,43.66,43.66,51.45,73.95,979.39,49.41,107.73,107.73,63.82,125.99,61.13,103.50,95.12,321.20,53.11,53.32,50.72,67.58,101.10,181.81,102.73,51.36,50.18,916.24,309.35,67.67,824.01,84.27,104.08,12.64,124.24,133.67,111.18,519.29,98.53,987.79,64.03,47.58,151.96,53.80
2000-02-10,dsm2,baseline,42,44309.16,3619.69,9352.92,-87.53,39738.46,0.00,0.00,992.30,2.16,3.03,53.36,53.36,60.70,85.54,994.68,60.46,110.34,110.34,75.89,126.82,70.82,117.19,155.73,371.94,62.73,63.00,56.60,75.19,106.14,197.91,111.26,60.59,60.94,948.83,415.47,80.11,880.58,93.64,111.03,36.67,124.47,134.44,113.54,512.02,103.29,997.90,72.62,53.03,189.78,53.80
2000-02-11,dsm2,baseline,42,42436.00,3660.63,10080.32,-994.47,39047.28,0.00,0.00,1039.19,2.66,3.19,62.61,62.61,73.53,105.49,994.89,71.60,113.46,113.46,109.63,127.19,81.55,135.68,217.54,403.76,73.05,73.24,93.02,83.63,110.97,225.36,123.26,73.64,81.69,967.85,414.73,92.20,923.09,116.89,118.28,51.89,125.45,137.53,115.45,441.64,107.75,999.18,85.31,66.34,276.61,53.80
2000-02-12,dsm2,baseline,42,40442.50,3699.99,10077.92,-2894.86,44165.33,0.00,0.00,1062.40,2.92,3.34,73.44,73.44,86.10,138.13,1038.37,87.15,115.32,115.32,146.48,128.31,93.44,171.61,303.79,538.20,84.38,84.72,178.80,90.57,121.91,301.83,139.04,86.18,104.09,994.16,590.66,107.93,943.95,143.50,126.52,138.60,129.89,144.53,118.42,558.60,112.76,1045.35,127.64,94.77,300.26,53.80
2000-02-13,dsm2,baseline,42,42719.87,3740.26,10071.82,-5965.48,49602.19,0.00,0.00,1034.91,3.03,3.43,82.77,82.77,103.71,185.01,1065.67,104.33,119.67,119.67,192.93,133.33,106.26,228.00,404.46,652.32,98.71,99.00,297.88,101.64,132.87,396.47,157.22,103.87,136.56,1051.04,628.24,128.13,957.84,172.91,139.45,278.07,138.43,148.68,125.64,602.12,121.58,1066.66,214.68,139.96,426.42,53.80
2000-02-14,dsm2,baseline,42,51060.72,3900.86,10263.92,-7459.80,86290.26,0.00,0.00,963.41,3.21,3.41,95.13,95.13,121.85,250.05,1049.94,121.27,128.33,128.33,241.73,141.47,120.91,302.63,548.78,622.57,113.08,113.16,450.05,116.55,133.24,431.07,177.41,122.15,173.07,1056.79,441.34,155.58,990.95,216.60,154.75,446.21,136.25,139.98,135.96,664.44,133.35,1038.81,302.20,199.54,501.21,53.80
2000-02-15,dsm2,baseline,42,62309.08,4847.69,10388.12,-7220.74,140958.69,0.00,0.00,716.83,3.37,3.42,113.89,113.89,137.82,314.93,985.29,134.71,128.62,128.62,263.55,128.88,136.11,366.05,639.18,397.84,127.60,127.95,592.73,131.21,129.56,368.65,175.47,137.93,206.87,1009.83,200.91,190.28,1028.23,247.88,162.57,548.16,120.39,121.38,130.05,701.52,133.95,929.79,388.70,268.24,545.98,53.80
2000-02-16,dsm2,baseline,42,80748.25,6282.54,10765.12,-6978.51,160621.89,0.00,0.00,533.12,3.45,3.44,132.45,132.45,153.23,343.62,720.52,145.38,115.12,115.12,264.35,110.97,148.18,414.46,670.35,206.10,141.77,141.87,699.56,140.10,118.45,305.62,154.78,153.36,231.31,891.33,129.37,241.59,1006.14,267.22,165.45,603.91,107.76,106.64,116.15,704.22,126.02,686.60,477.34,326.98,564.51,53.80
