datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2017-02-01,dsm2,base,93,93006.83,69163.58,21908.53,12101.04,1218.82,101595.50,0.00,1.00,116.79,2.10,3.80,2.04,3.32,160.44,160.44,245.33,137.30,113.57,190.61,131.76,131.76,208.56,126.20,193.35,305.42,371.61,143.23,213.40,211.17,813.24,156.06,134.65,995.94,155.79,133.54,245.98,283.65,120.79,147.48,164.54,114.40,319.43,146.74,505.73,125.83,126.68,135.29,122.71,139.72,115.08,225.49,546.73,174.14,53.80
2017-02-02,dsm2,base,93,91837.15,67664.90,20251.19,12107.32,1034.54,98946.48,0.00,1.00,158.75,1.90,3.67,1.74,3.15,159.08,159.08,245.54,138.20,137.33,188.66,133.65,133.65,208.39,129.57,192.78,315.37,360.81,139.85,212.03,210.21,823.40,154.73,136.70,866.72,154.95,134.89,246.81,318.97,137.91,142.16,150.60,121.63,322.00,147.16,562.22,128.54,127.60,137.17,128.48,140.82,141.47,217.76,554.73,151.28,53.80
2017-02-03,dsm2,base,93,92246.30,66847.43,20347.36,12288.04,-135.76,100441.39,0.00,1.00,175.52,1.87,3.63,1.74,2.98,158.13,158.13,259.42,145.92,167.87,188.16,134.90,134.90,207.27,129.67,194.79,327.62,405.94,142.14,217.36,215.28,844.89,154.25,138.64,843.89,158.26,143.04,260.75,310.79,173.78,148.70,140.31,161.41,322.53,144.01,638.90,127.58,125.98,136.77,162.39,140.99,170.51,225.89,572.11,174.40,53.80
2017-02-04,dsm2,base,93,102426.48,68603.09,19912.13,12035.04,-185.95,110489.52,0.00,1.00,164.02,1.85,3.53,1.80,2.92,157.34,157.34,263.50,159.61,171.15,185.88,133.33,133.33,206.06,128.06,191.54,336.95,442.96,147.55,217.87,215.13,858.94,153.50,137.95,806.27,166.80,143.21,264.81,328.51,183.66,159.14,141.89,176.88,323.89,139.85,652.20,125.51,124.12,135.14,184.91,139.19,171.84,253.34,583.93,209.77,53.80
2017-02-05,dsm2,base,93,117628.82,69720.87,19847.45,12023.04,-397.80,125851.03,0.00,1.00,153.38,2.10,3.49,2.31,2.84,155.81,155.81,263.31,168.16,159.61,183.15,130.60,130.60,202.96,125.54,188.39,349.91,467.92,144.96,215.17,212.62,893.05,150.86,136.14,686.82,182.63,141.80,264.95,335.78,172.07,143.90,156.58,165.85,326.74,139.56,672.19,124.19,123.17,132.40,176.32,136.51,160.29,274.58,602.36,196.20,53.80
2017-02-06,dsm2,base,93,132442.95,70731.72,19756.35,12068.04,-1813.54,141944.80,0.00,1.00,162.62,2.81,3.39,3.47,2.36,152.86,152.86,265.58,173.94,158.19,181.50,125.93,125.93,200.56,120.69,187.52,358.72,487.31,141.14,214.44,212.08,915.78,147.17,133.46,569.92,195.63,142.28,266.86,338.82,165.43,133.51,170.53,159.30,331.50,142.90,717.85,115.09,113.01,124.12,163.66,130.22,160.92,285.94,621.08,204.61,53.80
2017-02-07,dsm2,base,93,177126.14,74413.66,19201.38,12055.04,-3724.21,187996.69,0.00,1.00,177.42,3.27,3.46,4.20,2.33,148.11,148.11,262.69,186.21,171.60,180.00,111.68,111.68,199.97,106.67,184.65,371.42,567.35,138.75,211.50,209.24,931.05,143.57,124.01,351.85,211.40,139.46,264.49,343.37,176.61,127.34,177.71,174.73,337.09,142.66,772.57,103.81,105.10,113.32,175.39,118.73,174.78,344.32,653.32,233.49,53.80
2017-02-08,dsm2,base,93,242210.26,76322.56,18365.66,11855.04,-3158.11,251878.99,0.00,1.00,187.00,3.36,3.52,4.39,2.37,142.15,142.15,259.30,189.96,184.45,179.14,102.47,102.47,199.02,97.57,181.33,371.77,563.57,129.99,206.66,204.73,958.51,139.41,112.83,236.66,215.03,125.09,261.22,349.75,190.93,116.63,183.59,192.29,344.76,141.45,730.77,95.00,98.02,97.75,196.94,104.82,187.20,415.65,668.50,252.97,53.80
2017-02-09,dsm2,base,93,265481.94,85100.86,17702.93,11790.04,-4756.40,276151.23,0.00,1.00,186.75,3.26,3.74,4.48,2.43,138.16,138.16,262.64,176.21,191.02,180.44,91.30,91.30,199.29,86.84,187.16,391.94,601.91,116.29,206.73,204.69,997.94,132.35,104.13,179.10,214.41,117.31,264.61,370.00,199.99,104.78,195.51,207.64,355.19,139.15,756.31,85.08,88.91,86.85,219.61,87.72,193.08,464.04,694.99,284.71,53.80
2017-02-10,dsm2,base,93,333373.60,88954.90,17686.51,11711.04,-5003.61,344352.67,0.00,1.00,181.17,3.06,3.88,4.24,2.42,132.03,132.03,259.88,165.49,188.90,183.89,82.21,82.21,202.50,78.71,191.46,398.04,613.36,104.43,206.61,205.24,1016.38,126.08,94.26,149.59,203.02,106.45,261.76,378.12,200.05,95.58,208.48,212.16,371.76,137.00,769.99,77.47,81.92,78.40,232.45,79.07,190.64,532.10,688.31,344.26,53.80
