datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1993-08-01,dsm2,base,104,20340.00,1730.00,-10628.88,5061.22,7566.90,0.00,0.00,603.02,3.01,4.02,4.06,3.35,433.45,433.45,140.33,4983.39,715.23,146.09,1195.27,1195.27,174.93,197.48,137.90,6376.61,5930.12,7880.55,139.15,139.21,3647.88,179.48,2763.09,7037.82,2201.85,140.31,153.67,470.87,6524.87,129.20,273.76,152.22,129.68,5074.34,115.79,109.58,146.09,291.99,141.93,642.09,159.12,3557.13,201.77,70.80
1993-08-02,dsm2,base,104,20970.00,1870.00,-10775.93,4965.07,8300.00,0.00,0.00,600.00,2.70,4.07,3.72,3.46,482.30,482.30,141.13,5115.82,704.14,147.81,1340.58,1340.58,176.54,218.33,139.27,6443.29,6039.69,8068.59,140.33,140.39,3903.84,189.87,2997.93,7151.79,2351.30,141.14,153.83,466.39,6948.05,129.67,265.76,153.43,131.59,5214.91,115.55,108.46,153.95,286.73,147.11,631.32,159.17,3701.37,177.61,70.80
1993-08-03,dsm2,base,104,21960.00,1820.00,-10794.75,4890.85,9270.40,0.00,0.00,627.98,2.47,3.99,3.24,3.47,526.61,526.61,142.25,5199.86,694.53,149.41,1423.74,1423.74,179.22,228.74,140.74,6525.79,6129.79,8288.11,141.47,141.71,4046.96,199.44,3173.83,7298.78,2461.42,142.25,154.15,468.83,7273.16,130.28,260.52,153.70,132.47,5279.62,114.42,104.78,157.66,288.86,151.24,611.60,158.89,3831.54,178.59,70.80
1993-08-04,dsm2,base,104,22950.00,1760.00,-10811.42,4551.02,10462.56,0.00,0.00,581.03,2.29,3.81,2.73,3.39,544.88,544.88,143.44,5261.83,684.94,150.98,1372.05,1372.05,182.91,216.90,141.83,6583.38,6208.74,8410.81,142.69,142.85,4065.65,202.25,3125.70,7431.05,2474.17,143.43,153.74,472.97,7103.55,130.83,261.62,154.01,132.29,5309.35,112.05,105.75,154.54,289.17,150.28,617.77,157.92,3881.99,175.96,70.80
1993-08-05,dsm2,base,104,22680.00,1640.00,-10754.81,4333.45,10330.74,0.00,0.00,592.99,2.01,3.75,2.26,3.29,512.61,512.61,144.30,5277.34,675.65,151.86,1198.65,1198.65,186.32,189.82,142.26,6616.30,6242.09,8267.21,143.45,143.56,3913.95,198.09,2846.19,7387.28,2344.51,144.30,153.98,477.32,6627.65,131.05,263.55,154.52,130.90,5111.54,110.70,107.48,147.05,287.97,146.77,616.72,156.59,3888.14,169.88,70.80
1993-08-06,dsm2,base,104,22050.00,1570.00,-10781.70,4293.21,9661.09,0.00,0.00,617.98,1.67,3.80,1.81,3.28,490.20,490.20,144.74,5318.05,667.61,152.72,1103.28,1103.28,189.83,177.53,141.98,6632.89,6254.34,8097.09,143.57,143.75,3810.32,196.14,2671.41,7324.72,2262.23,144.73,154.14,474.30,6387.35,130.78,262.36,155.53,130.78,4939.74,111.16,107.53,142.83,292.81,144.65,593.23,156.21,3935.10,157.60,70.80
1993-08-07,dsm2,base,104,21150.00,1770.00,-10972.26,4163.78,8917.96,0.00,0.00,653.98,1.48,3.75,1.54,3.35,493.58,493.58,144.73,5378.18,660.78,153.35,1077.91,1077.91,193.47,176.13,141.88,6642.68,6291.93,8068.48,143.30,143.59,3828.16,201.15,2647.96,7317.46,2142.15,144.71,154.13,464.11,6487.39,130.15,259.76,156.35,131.39,4852.80,111.64,108.55,142.62,272.27,145.71,608.04,155.88,4038.28,156.62,70.80
1993-08-08,dsm2,base,104,20520.00,1850.00,-10760.75,4130.88,8629.37,0.00,0.00,685.98,1.40,3.69,1.34,3.33,494.29,494.29,144.54,5367.36,653.35,154.48,1043.23,1043.23,196.49,168.56,142.39,6624.91,6304.54,8092.84,143.18,143.40,3802.72,201.38,2502.67,7315.42,2152.70,144.54,154.23,453.00,6440.73,129.88,259.68,156.97,131.82,4608.11,111.86,110.44,143.01,285.41,147.36,639.55,155.90,4079.84,156.09,70.80
1993-08-09,dsm2,base,104,19800.00,1830.00,-10799.68,4031.45,7967.87,0.00,0.00,645.02,1.51,3.73,1.31,3.30,491.28,491.28,144.72,5384.60,644.05,155.22,994.83,994.83,199.67,165.02,142.95,6598.11,6290.13,8144.56,143.54,143.74,3669.81,202.17,2423.78,7311.07,2194.38,144.71,154.51,446.17,6350.89,129.88,262.55,157.10,132.49,4027.23,112.59,111.40,141.94,287.19,147.69,672.21,156.00,4094.98,155.71,70.80
1993-08-10,dsm2,base,104,19890.00,1840.00,-10989.07,3930.07,7960.86,0.00,0.00,625.01,1.84,3.74,1.44,3.27,518.49,518.49,145.23,5451.40,644.54,156.40,1045.43,1045.43,204.41,172.26,143.48,6605.17,6305.80,8311.30,144.44,144.68,3692.75,215.16,2502.98,7355.61,2262.47,145.22,154.27,443.64,6668.14,130.07,262.01,157.28,134.81,3759.51,113.61,111.44,142.82,296.81,147.24,664.69,155.27,4128.49,156.07,70.80
1993-08-11,dsm2,base,104,19800.00,1860.00,-10769.00,3509.12,8530.88,0.00,0.00,575.03,2.26,3.82,1.87,3.25,536.36,536.36,145.81,5483.20,650.93,158.76,1098.17,1098.17,207.27,178.11,144.98,6617.55,6325.18,8497.78,145.79,146.04,3800.72,226.91,2616.78,7419.25,2296.40,145.81,153.87,448.03,7053.08,130.78,259.92,157.13,137.26,3606.89,114.45,112.37,148.61,300.88,149.05,641.50,154.29,4143.86,169.66,70.80
1993-08-12,dsm2,base,104,19440.00,1890.00,-10811.92,3784.47,7854.61,0.00,0.00,615.98,2.55,3.94,2.35,3.26,552.98,552.98,147.08,5508.98,650.40,160.94,1190.84,1190.84,209.49,196.64,147.08,6676.64,6332.12,8748.77,147.61,148.01,3861.59,239.86,2856.54,7553.33,2264.43,147.06,154.23,453.57,7583.14,131.89,260.31,156.85,139.07,3853.96,115.47,111.45,154.94,306.77,155.91,606.24,153.16,4165.20,196.37,70.80
1993-08-13,dsm2,base,104,19260.00,1930.00,-10687.60,3736.86,7848.54,0.00,0.00,588.02,2.92,4.02,2.91,3.25,563.90,563.90,149.35,5531.88,641.09,164.47,1285.88,1285.88,210.98,211.51,150.35,6779.36,6397.65,9088.52,150.09,150.43,3974.86,248.41,3061.72,7798.72,2386.99,149.33,155.16,460.32,7964.00,132.92,262.80,157.16,140.76,4163.04,115.67,107.72,164.96,311.51,165.63,602.61,153.16,4242.74,223.21,70.80
1993-08-14,dsm2,base,104,18810.00,2010.00,-11091.13,3653.80,7191.07,0.00,0.00,561.01,3.23,3.94,3.62,3.29,598.77,598.77,151.94,5593.00,632.24,168.85,1459.12,1459.12,214.27,236.02,154.18,6935.12,6480.99,9479.77,153.13,153.58,4096.85,257.29,3388.16,8088.59,2553.04,151.89,156.40,454.53,8397.36,133.99,265.31,158.40,141.99,4606.53,115.45,114.67,175.79,303.24,173.68,605.90,152.78,4308.69,208.04,70.80
1993-08-15,dsm2,base,104,18450.00,2080.00,-10800.60,3326.39,7566.01,0.00,0.00,542.01,3.40,3.80,4.11,3.22,621.18,621.18,155.03,5641.67,620.86,172.66,1561.20,1561.20,216.21,259.38,157.85,7074.17,6592.26,9799.22,156.36,156.80,4164.68,259.42,3553.15,8301.50,2749.26,154.99,157.91,452.76,8356.59,134.83,273.19,159.90,142.46,4886.60,116.53,118.82,188.14,321.52,181.47,580.02,153.15,4336.43,223.54,70.80
1993-08-16,dsm2,base,104,18090.00,2070.00,-10808.13,3862.60,6640.27,0.00,0.00,552.00,3.48,3.82,4.34,3.17,629.41,629.41,158.15,5743.33,598.73,175.39,1639.23,1639.23,219.90,273.54,159.96,7240.05,6694.50,9913.32,159.28,159.89,4109.81,257.77,3622.17,8489.31,2827.58,158.09,160.36,444.03,8185.94,135.21,284.46,162.12,143.73,5080.95,118.94,120.16,191.78,312.18,182.67,556.17,153.95,4333.51,215.01,70.80
1993-08-17,dsm2,base,104,18450.00,1990.00,-10822.08,4147.92,6616.00,0.00,0.00,556.00,3.34,3.88,4.45,3.23,676.22,676.22,160.97,5933.40,579.41,177.99,1825.81,1825.81,225.15,305.47,161.70,7456.85,6822.01,9966.26,161.98,162.33,4121.61,263.75,3898.57,8683.33,2989.76,160.95,162.85,435.24,8440.43,135.82,290.69,165.40,146.70,5406.87,121.88,123.61,199.01,283.28,186.70,553.80,154.48,4438.60,193.52,74.40
1993-08-18,dsm2,base,104,18810.00,1920.00,-10663.95,4233.71,6990.34,0.00,0.00,566.99,3.19,3.86,4.31,3.23,750.65,750.65,163.38,6133.50,571.74,180.78,2052.93,2052.93,229.72,336.47,164.10,7670.13,6985.04,10131.93,164.32,164.71,4240.66,275.81,4236.61,8889.58,3172.47,163.35,164.85,429.97,8812.82,136.91,292.54,168.46,149.76,5702.30,124.10,125.14,207.52,277.37,192.46,560.62,155.35,4551.19,184.11,76.40
1993-08-19,dsm2,base,104,18540.00,1910.00,-10690.16,4069.74,6853.10,0.00,0.00,568.00,3.10,3.67,4.02,3.17,812.28,812.28,165.63,6302.22,569.87,183.37,2178.68,2178.68,234.98,368.01,166.47,7863.26,7181.23,10308.89,166.48,167.00,4305.92,284.77,4453.23,9077.09,3304.04,165.63,166.78,427.27,8968.36,138.31,293.59,171.38,152.69,5958.80,125.73,122.80,214.77,276.99,198.00,567.80,156.11,4676.88,182.76,76.60
