datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2013-10-24,dsm2,base,1001,6980.00,1524.00,-2109.00,1337.38,5100.44,0.00,0.00,546.01,3.01,3.58,3551.71,3551.71,353.40,16696.03,593.02,480.11,8164.72,8164.72,686.79,2472.28,407.45,18844.14,18060.18,21456.63,384.25,387.85,11980.05,1021.40,12616.34,20253.02,11104.03,352.55,296.31,359.74,19451.62,234.77,557.81,309.20,337.46,14341.55,200.53,154.30,1126.71,321.84,845.41,612.84,259.11,13203.37,297.42,84.20
2013-10-25,dsm2,base,1001,7202.00,2242.00,-2395.00,1609.63,5510.78,0.00,0.00,465.02,3.04,3.61,3049.31,3049.31,360.70,16494.25,572.23,485.37,7402.37,7402.37,680.51,2154.38,413.23,18816.38,18233.13,21383.40,391.17,393.90,11724.18,918.78,11741.42,20109.83,10433.90,359.52,301.06,363.90,19119.83,236.24,563.46,317.21,324.90,14037.45,183.68,152.89,977.34,348.12,751.77,572.01,262.24,12642.78,330.45,84.20
2013-10-26,dsm2,base,1001,6845.00,2511.00,-2393.00,1869.87,5165.88,0.00,0.00,312.05,2.58,3.55,3184.65,3184.65,371.23,16835.47,505.21,499.85,7762.45,7762.45,714.82,2226.23,426.36,19084.01,18356.73,21912.51,405.03,407.58,12043.37,956.87,12338.69,20470.44,10493.46,370.43,305.18,375.54,19985.28,241.58,588.28,325.47,339.28,14435.37,208.90,152.90,1054.04,365.30,794.22,507.56,265.22,13321.69,350.78,84.20
2013-10-27,dsm2,base,1001,5231.00,2642.00,-2668.00,1860.02,3384.47,0.00,0.00,294.01,2.23,3.35,2994.21,2994.21,381.32,16919.84,370.21,505.93,7642.92,7642.92,715.80,2233.24,435.98,19248.18,18577.74,21995.47,414.29,417.13,12150.93,923.24,12146.26,20652.38,10669.63,379.96,311.59,417.21,19395.08,246.41,577.58,333.14,336.73,14084.79,198.67,155.88,1026.67,395.72,780.47,374.79,268.56,13425.42,395.77,84.20
2013-10-28,dsm2,base,1001,7697.00,2671.00,-2192.00,1808.17,6403.66,0.00,0.75,295.00,2.01,3.26,2661.79,2661.79,381.71,16610.51,301.20,505.42,7180.93,7180.93,708.27,2078.66,440.41,19283.32,18691.11,22557.39,419.48,421.96,11669.13,850.52,11610.19,20534.64,9319.73,380.46,314.23,472.99,20057.90,252.84,518.69,340.39,323.63,12801.02,189.54,156.19,948.20,424.07,728.19,304.59,271.28,13560.50,453.15,84.20
2013-10-29,dsm2,base,1001,7672.00,2575.00,-1755.00,1921.85,6872.28,0.00,0.62,248.02,1.81,3.46,2335.01,2335.01,377.98,15043.98,296.37,503.06,6606.07,6606.07,694.93,1784.42,440.21,19195.11,18684.23,22866.13,420.76,423.27,10942.25,774.12,11003.90,20318.64,7503.22,376.45,315.09,490.63,19381.63,262.02,394.98,348.32,307.63,9256.84,183.83,158.47,823.39,438.82,657.94,298.85,283.05,13608.18,433.31,84.20
2013-10-30,dsm2,base,1001,8032.00,2306.00,-2843.00,2103.09,5604.91,0.00,0.00,223.01,1.84,3.73,2509.57,2509.57,393.68,14957.95,266.26,508.13,6849.14,6849.14,701.68,1833.10,440.97,19366.40,18724.86,23041.64,427.71,430.51,11391.58,792.16,11452.13,20954.19,8162.82,391.94,322.28,475.08,19709.27,268.77,327.46,356.85,315.34,8985.96,190.13,165.12,856.89,347.09,673.53,267.55,333.74,13961.79,335.59,84.20
2013-10-31,dsm2,base,1001,8613.00,2012.00,-4843.00,1960.66,3977.39,0.57,0.50,241.99,1.78,4.00,2870.83,2870.83,407.08,15355.78,244.58,513.64,7313.70,7313.70,707.55,1920.51,445.37,19674.36,18905.11,23354.31,434.80,437.79,12002.42,853.78,12095.08,21336.46,8892.60,406.19,332.37,411.66,20378.41,272.55,315.63,364.95,335.05,10092.45,191.68,165.90,891.45,325.25,708.71,232.90,310.65,14148.21,319.75,84.20
2013-11-01,dsm2,base,1001,8900.00,1739.00,-3412.00,3569.84,3756.77,1.00,1.00,282.97,2.00,3.87,3473.81,3473.81,423.74,14234.25,229.55,524.14,8489.99,8489.99,723.92,2373.33,448.22,19927.60,19191.07,23671.80,444.44,446.92,13019.67,987.32,13561.52,21111.17,8649.95,423.09,354.35,344.34,21291.95,275.06,312.67,372.94,361.40,11621.59,216.17,158.93,1067.57,329.14,809.70,240.56,297.24,14441.70,323.19,84.20
2013-11-02,dsm2,base,1001,9107.00,1578.00,-3870.00,3505.85,3372.74,1.00,1.00,346.95,2.24,3.53,3520.49,3520.49,431.27,12175.79,235.85,528.87,8536.21,8536.21,725.96,2353.07,455.92,19904.71,19395.28,23493.66,448.60,451.48,13041.63,1003.93,13580.18,20205.45,9052.95,430.97,371.77,272.91,20811.00,280.36,308.92,379.43,360.24,12065.46,208.40,163.50,1069.00,326.65,815.79,267.63,299.36,14264.39,319.22,84.20
