datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2017-02-01,dsm2,base,97,95808.55,71965.30,19392.00,-14504.00,-307.61,101004.16,0.00,0.00,116.79,2.03,3.82,2.20,3.66,160.61,160.61,242.22,149.12,113.76,190.85,131.76,131.76,211.42,126.39,191.60,346.98,442.75,143.14,212.18,210.46,929.77,156.36,134.65,168.37,132.08,242.81,282.35,126.01,146.79,164.83,114.70,321.84,146.98,608.48,126.22,126.86,135.35,127.64,140.01,115.84,236.50,649.89,207.13,53.80
2017-02-02,dsm2,base,97,95496.25,71324.00,18925.00,-14689.00,-366.40,100098.65,0.00,0.00,158.75,1.90,4.02,2.19,3.63,157.95,157.95,232.77,146.71,137.46,187.66,134.87,134.87,211.80,130.42,187.05,366.94,451.10,153.91,205.99,204.65,1017.20,156.65,139.04,169.09,134.89,233.47,304.58,147.12,183.35,152.19,121.62,330.17,148.83,650.40,129.17,127.77,138.76,132.66,141.26,142.10,264.77,651.29,228.81,53.80
2017-02-03,dsm2,base,97,99065.88,73667.00,18854.00,-14436.00,-1389.90,104873.78,0.00,0.00,175.52,2.01,3.84,2.27,3.50,159.61,159.61,216.32,151.97,167.99,182.04,134.37,134.37,211.39,129.73,179.34,368.46,471.62,150.44,194.71,193.50,881.23,154.87,136.93,172.48,140.72,216.84,284.28,174.87,147.30,145.32,161.20,333.56,145.88,686.08,127.40,126.13,137.64,165.82,141.91,170.89,260.89,641.68,220.29,53.80
2017-02-04,dsm2,base,97,109265.80,75442.40,18783.00,-14424.00,-1273.91,114898.70,0.00,0.00,164.02,2.09,3.83,2.41,3.52,158.45,158.45,210.71,164.36,171.35,178.10,132.97,132.97,206.92,127.65,175.21,380.76,501.08,146.00,189.39,188.44,907.72,153.49,137.50,179.09,144.00,211.08,274.44,185.59,142.58,145.31,176.94,336.58,142.68,736.39,125.60,124.20,135.29,183.13,140.00,172.33,277.98,654.69,236.72,53.80
2017-02-05,dsm2,base,97,125126.86,77218.90,18271.00,-14469.00,-1306.20,130235.06,0.00,0.00,153.38,2.17,3.91,2.57,3.57,156.68,156.68,203.63,176.54,159.82,173.43,130.10,130.10,202.68,126.07,169.28,389.25,513.41,143.24,183.12,181.93,918.64,150.53,135.37,184.68,142.75,204.25,265.89,174.75,137.83,156.75,166.44,338.56,140.92,771.08,124.36,123.05,131.65,172.86,136.52,160.71,278.31,663.70,226.60,53.80
2017-02-06,dsm2,base,97,143745.93,82034.70,17500.00,-14456.00,-2538.61,149328.54,0.00,0.00,162.62,2.21,4.01,2.62,3.64,153.65,153.65,195.92,187.12,158.14,168.98,126.35,126.35,198.12,120.74,164.93,390.97,533.86,140.85,176.37,175.54,920.85,146.82,132.60,191.29,141.69,196.39,254.13,170.18,134.06,169.76,159.65,336.49,141.36,798.31,115.46,111.88,124.63,165.11,130.52,160.93,277.54,657.98,237.15,53.80
2017-02-07,dsm2,base,97,187647.88,84935.40,16921.00,-14256.00,-4274.18,194587.06,0.00,0.00,177.42,2.16,4.22,2.79,3.75,148.19,148.19,189.90,200.65,171.58,165.58,111.99,111.99,193.16,104.85,163.08,401.75,608.08,137.85,171.70,170.76,946.94,141.76,122.62,203.39,137.90,190.45,251.01,180.62,126.09,178.42,174.41,331.15,139.33,847.76,103.72,104.16,110.10,183.12,118.93,174.79,318.53,661.38,243.29,53.80
2017-02-08,dsm2,base,97,261316.00,95428.30,17004.00,-14191.00,-3554.13,267683.13,0.00,0.00,187.00,2.13,4.06,2.69,3.62,140.55,140.55,186.21,203.74,184.56,164.31,101.09,101.06,188.38,96.75,164.62,403.76,605.65,127.79,170.49,169.81,964.61,134.28,113.10,211.13,124.74,186.46,249.04,192.74,112.28,183.90,192.60,327.61,136.56,803.08,94.67,96.67,97.15,207.99,99.26,187.32,349.36,654.86,261.55,53.80
2017-02-09,dsm2,base,97,280872.68,100491.60,18358.00,-14112.00,-5031.56,290150.24,0.00,0.00,186.75,2.20,3.98,2.76,3.55,131.28,131.28,192.86,182.97,191.04,167.05,89.96,89.96,185.87,86.28,171.67,429.85,643.07,113.40,175.72,174.78,1026.69,126.64,101.39,225.64,116.37,193.15,269.66,200.17,102.72,194.20,207.77,326.09,134.63,884.70,84.51,87.69,85.85,220.84,86.81,193.08,424.46,688.57,276.56,53.80
2017-02-10,dsm2,base,97,342129.50,97710.80,20063.00,-14184.00,-5200.23,353208.73,0.00,0.00,181.17,2.20,3.76,2.68,3.40,123.47,123.47,204.36,166.62,188.46,173.83,81.87,81.87,189.71,78.69,180.72,446.35,651.49,102.11,184.63,183.79,1075.71,121.29,91.84,221.65,105.61,204.60,293.64,197.80,94.26,207.41,210.84,330.53,132.71,925.12,77.59,81.19,78.29,215.97,78.74,190.21,496.08,702.27,307.14,53.80
2017-02-11,dsm2,base,97,360876.72,99958.10,22788.00,-14111.00,-3805.70,373359.43,0.00,0.00,185.08,2.12,3.71,2.50,3.41,123.69,123.69,226.94,140.19,187.17,184.92,73.43,73.43,195.80,69.95,193.00,465.79,650.40,93.36,198.66,197.60,1124.83,113.93,84.26,205.68,93.49,227.93,333.62,192.39,87.16,217.49,203.08,338.02,132.08,977.30,68.31,72.46,69.30,202.51,69.75,189.01,509.09,722.81,314.90,54.20
2017-02-12,dsm2,base,97,341521.60,99668.80,27596.00,-14292.00,-1333.87,356159.47,0.00,0.00,186.67,2.06,3.75,2.35,3.45,123.31,123.31,255.23,115.97,188.67,197.07,67.02,67.02,205.89,64.01,206.86,467.30,589.03,84.11,215.83,214.39,1139.01,111.72,77.11,187.49,78.79,256.65,377.42,192.68,78.68,221.86,199.39,351.23,134.72,949.99,63.29,64.91,63.73,198.15,64.02,190.33,506.63,716.27,256.24,54.20
2017-02-13,dsm2,base,97,305163.17,98780.00,32042.00,-14222.00,-1001.73,323984.90,0.00,0.00,178.17,1.87,3.84,2.15,3.47,126.96,126.96,317.68,99.94,184.40,212.47,63.96,63.96,217.48,60.94,225.00,461.02,558.48,78.51,247.55,244.84,1133.33,116.92,74.19,157.88,74.73,320.72,310.72,188.12,75.94,213.81,194.94,363.29,139.15,937.51,60.38,60.87,60.72,194.88,61.02,185.37,493.99,674.24,192.89,54.20
2017-02-14,dsm2,base,97,291508.30,93875.10,33950.00,-14503.00,833.50,310121.80,0.00,0.00,158.54,1.61,3.92,1.94,3.52,133.55,133.55,378.14,90.55,168.24,240.69,63.13,63.13,234.88,60.24,265.27,442.34,513.39,76.06,316.74,312.06,1114.88,120.00,74.14,138.66,70.75,377.61,204.73,173.05,75.98,206.32,177.94,370.18,138.39,907.14,60.35,59.84,60.30,184.09,60.45,168.48,415.93,623.36,175.88,53.80
2017-02-15,dsm2,base,97,295742.50,88707.30,34221.00,-14360.00,1144.82,314458.68,0.00,0.00,148.17,1.56,3.64,1.79,3.44,134.84,134.84,243.74,80.37,153.10,284.43,66.49,66.49,268.46,64.41,318.95,424.02,485.24,76.51,347.58,348.55,1083.86,120.29,76.60,118.41,73.18,240.21,171.96,157.11,78.84,193.28,157.85,366.50,135.58,872.79,65.56,63.97,64.87,164.51,64.80,153.58,238.37,550.42,158.41,66.20
2017-02-16,dsm2,base,97,289884.25,86762.50,32279.00,-12550.00,854.28,308758.97,0.00,0.00,151.96,1.74,3.58,1.72,3.39,135.48,135.48,188.31,82.15,150.78,282.19,71.52,71.52,288.10,68.79,293.08,419.87,458.76,80.19,259.09,262.41,1088.84,122.67,82.28,115.64,77.78,187.37,157.73,153.75,84.07,179.18,150.62,366.21,130.47,965.18,69.27,68.39,68.96,155.42,69.00,151.97,174.23,529.62,153.15,65.60
2017-02-17,dsm2,base,97,290988.73,86128.90,33263.00,-10309.00,-43.27,313986.00,0.00,0.00,150.92,1.81,3.57,1.84,3.37,134.49,134.49,169.87,93.80,151.72,251.23,72.89,72.89,272.21,69.81,253.82,399.78,483.67,84.70,217.62,220.25,1080.82,126.88,84.06,120.15,86.08,169.32,161.11,154.82,86.74,174.47,153.39,371.94,131.17,977.22,69.80,69.74,69.81,157.41,69.99,152.81,160.65,539.45,155.19,53.80
2017-02-18,dsm2,base,97,295862.50,85928.70,35052.00,-8079.00,-276.82,323112.31,0.00,0.00,148.96,2.06,3.62,2.31,3.40,127.40,127.40,169.38,104.35,150.13,233.65,73.39,73.39,254.32,69.92,230.13,392.21,505.37,86.24,199.66,200.68,1078.28,126.05,85.51,126.94,87.09,169.19,157.71,153.18,87.29,176.05,151.97,384.10,133.23,966.32,70.00,70.86,69.96,156.22,70.12,151.17,157.80,557.38,153.52,53.80
2017-02-19,dsm2,base,97,281811.17,85970.50,36000.00,-7679.00,-1059.17,311191.34,0.00,0.00,148.21,2.37,3.73,2.94,3.42,129.13,129.13,166.01,108.59,148.71,216.52,76.90,76.90,237.83,73.84,209.08,380.43,508.75,86.58,192.52,192.98,1076.72,130.37,87.87,133.90,90.00,165.82,157.44,151.67,88.10,176.99,150.82,410.34,135.35,938.62,74.75,75.25,74.15,154.34,74.04,149.93,157.21,570.83,152.29,53.80
2017-02-20,dsm2,base,97,271262.75,85354.50,36421.00,-7652.00,-4017.74,304049.49,0.00,0.00,153.00,2.71,3.76,3.68,3.35,132.67,132.67,175.45,131.89,152.19,203.72,79.56,79.56,243.85,75.42,197.21,384.67,600.34,90.94,194.78,194.49,1096.62,133.28,92.41,147.71,104.63,174.86,166.28,154.32,91.60,173.77,156.61,428.81,137.90,942.47,75.42,77.79,75.63,156.94,76.03,153.94,164.68,586.25,156.51,53.80
2017-02-21,dsm2,base,97,319303.12,86044.20,37308.00,-7483.00,-4181.84,353309.96,0.00,0.00,153.08,3.12,3.73,4.58,3.27,134.49,134.49,188.15,157.36,154.54,205.00,79.48,79.48,240.64,75.30,206.22,399.83,652.48,94.48,216.56,215.87,1129.48,130.97,92.24,173.16,105.95,187.98,171.41,157.46,93.02,179.42,162.06,439.25,137.33,949.05,75.44,78.83,75.38,160.09,75.58,156.13,172.21,629.53,160.72,53.80
2017-02-22,dsm2,base,97,324081.47,87176.10,40263.00,-7062.00,-3358.79,360641.27,0.00,0.00,155.25,3.44,3.76,5.29,3.28,135.02,135.02,186.67,151.13,155.79,212.44,81.50,81.50,242.18,77.72,217.50,405.68,624.00,95.39,223.41,223.42,1157.02,131.63,93.73,188.07,103.34,186.30,170.68,158.41,93.81,189.46,162.42,452.92,143.29,905.92,78.17,81.02,77.91,161.09,77.97,157.29,171.47,672.66,161.29,53.80
2017-02-23,dsm2,base,97,289535.97,86958.30,40729.00,-7149.00,-2801.26,325917.23,0.00,0.00,161.12,3.62,3.87,5.73,3.30,142.47,142.47,183.07,149.31,160.17,215.31,81.62,81.62,247.66,76.93,219.30,407.12,606.32,96.85,214.74,215.24,1175.29,140.30,95.66,185.51,104.72,183.10,171.73,162.30,95.24,197.42,165.28,479.32,152.95,853.46,76.31,78.63,76.91,163.43,77.54,161.78,172.11,695.22,164.80,53.80
2017-02-24,dsm2,base,97,262542.92,85228.00,40067.00,-7857.00,-1984.62,296737.54,0.00,0.00,164.04,3.53,3.82,5.56,3.21,155.41,155.41,187.66,156.60,164.36,213.94,79.35,79.35,251.56,74.06,217.22,395.00,591.14,97.72,213.78,214.15,1178.31,148.55,96.24,179.81,104.30,187.65,176.75,166.64,94.12,200.58,169.83,510.69,157.37,806.47,73.66,74.65,75.26,168.60,86.52,165.70,177.18,699.50,169.44,53.80
2017-02-25,dsm2,base,97,243245.32,85034.40,39900.00,-7874.00,1051.31,274220.02,0.00,0.00,164.71,3.35,3.67,5.05,3.15,164.00,164.00,181.46,144.14,165.11,212.91,78.23,78.23,231.33,72.27,215.65,382.47,489.48,96.23,211.94,212.41,1163.74,153.13,96.09,172.78,92.79,181.17,172.21,167.80,94.75,198.54,167.34,535.47,157.42,709.64,71.86,71.44,76.79,170.17,88.86,166.07,171.86,697.82,168.76,53.80
2017-02-26,dsm2,base,97,234882.45,85026.70,39329.00,-7700.00,1803.33,264708.12,0.00,0.00,157.67,3.04,3.79,4.40,3.42,166.04,166.04,174.24,119.00,161.17,203.84,77.00,77.00,224.97,71.07,199.72,364.11,447.16,95.66,190.68,191.25,1146.45,154.30,95.82,159.32,91.80,174.07,169.83,164.46,95.46,190.00,164.08,528.23,152.90,652.81,70.81,69.72,77.69,169.37,92.09,161.73,169.28,676.26,165.38,53.80
2017-02-27,dsm2,base,97,229266.20,84782.50,38663.00,-8097.00,1646.20,258186.00,0.00,0.00,149.83,2.61,4.28,3.51,3.83,161.61,161.61,168.41,109.20,153.54,196.34,75.85,75.85,216.00,70.57,191.17,338.93,428.60,95.41,185.36,185.86,1105.38,148.81,94.74,140.62,91.15,168.22,162.43,156.96,95.46,182.76,156.56,489.46,146.10,614.82,70.40,69.44,77.57,161.97,90.43,154.05,162.28,643.60,157.77,53.80
2017-02-28,dsm2,base,97,216956.45,84739.60,37454.00,-7725.00,1826.15,244859.30,0.00,0.00,146.04,2.19,4.15,2.63,3.76,150.70,150.70,162.54,104.06,148.01,188.16,75.40,75.40,209.12,70.45,181.31,292.52,394.58,94.35,179.04,179.34,975.54,144.56,93.60,125.47,88.91,162.33,156.00,151.40,94.22,172.38,149.98,427.94,140.95,455.54,70.43,69.44,76.76,155.42,89.59,148.72,154.96,554.39,151.57,53.80
2017-03-01,dsm2,base,97,177197.60,83855.20,35346.00,-7194.00,1959.29,203390.31,0.00,0.00,147.29,1.99,3.79,2.21,3.49,146.14,146.14,157.22,99.92,146.87,181.29,77.54,77.54,199.52,71.65,175.18,297.82,370.81,92.88,170.90,171.20,965.18,145.66,95.97,120.26,90.00,157.04,152.19,149.53,94.75,166.01,147.50,364.76,136.68,472.99,72.18,69.96,87.23,150.76,105.41,147.53,150.89,537.66,149.05,53.80
