datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,oh4,rsl,vcu,mtz
2006-11-14,SCHISM,base,5,13238.49,10623.27,3213.67,8685.25,1258.44,-134694.58,1.00,0.00,2.14,91.80,91.80,-1166.64,667.17,603.01,590.05,680.67,516.66,836.34,19921.68,2488.56,10009.10,2459.33,610.94,7383.54,2402.91,324.79,258.99,579.39,700.58,337.00,13340.42,1045.95,12363.47,9909.76,11815.03,1289.93,171.25,398.87,516.66,590.05,12275.21
2006-11-15,SCHISM,base,5,14228.99,11497.37,3341.38,8882.93,1170.79,9657.35,1.00,0.00,5.05,91.00,51.40,-1119.39,562.01,378.22,348.33,707.83,500.03,739.91,21418.23,2401.75,10336.44,2488.37,934.02,7885.15,3388.78,513.09,319.86,618.04,701.62,315.14,12616.60,1301.76,12026.64,9929.73,11950.17,2191.44,180.38,381.20,500.03,348.33,14114.53
2006-11-16,SCHISM,base,5,15349.64,12671.34,3464.28,9512.14,778.91,28451.99,1.00,0.00,5.41,90.40,14.50,-764.41,572.48,413.11,393.12,697.68,493.71,712.19,21357.19,2369.94,10009.96,2473.56,812.91,7532.12,3311.22,492.66,387.38,680.88,696.85,291.30,12096.31,1391.93,12010.07,10065.53,12419.29,2265.43,640.33,414.17,493.71,393.12,15102.72
2006-11-17,SCHISM,base,5,16350.52,13669.22,3519.44,9893.19,792.68,36994.17,1.00,0.00,5.42,89.60,41.80,-750.88,533.48,420.11,395.89,704.11,479.79,712.60,21084.70,2378.42,9693.71,2486.64,672.98,7142.19,3162.12,479.37,426.90,698.72,701.00,248.63,12151.07,1507.99,12089.55,10082.21,12868.90,2146.61,270.63,418.84,479.79,395.89,15667.60
2006-11-18,SCHISM,base,5,17418.90,14533.61,3525.11,9774.87,104.75,51339.74,1.00,0.00,5.05,88.40,46.40,-58.35,530.33,422.23,395.04,720.47,465.64,716.33,20647.30,2341.19,9226.14,2460.10,560.33,6645.06,2949.10,537.26,448.09,696.64,720.47,213.14,12402.09,1579.57,12137.55,9742.89,13205.06,1977.82,161.03,418.84,465.64,395.04,15873.59
2006-11-19,SCHISM,base,5,18060.22,15175.65,3516.33,9737.75,-276.41,46932.76,1.00,0.00,4.21,87.40,65.10,341.51,528.02,403.76,385.67,725.85,459.51,720.47,19887.83,2288.83,8365.96,2403.49,426.69,5966.05,2638.98,558.45,469.66,700.58,722.95,283.34,12674.67,1592.64,12071.97,9241.22,13301.74,1744.59,159.94,416.72,459.51,385.67,15848.58
2006-11-20,SCHISM,base,5,18411.18,15452.16,3485.47,9904.97,-199.23,27083.98,1.00,0.00,3.41,86.60,59.90,259.13,521.50,402.27,383.33,740.32,443.01,735.36,19358.41,2324.77,7735.23,2418.13,323.93,5443.85,2435.85,459.09,470.29,697.26,740.32,376.30,12915.77,1595.61,12019.37,8634.40,13421.95,1520.89,159.29,416.93,443.01,383.33,15848.58
2006-11-21,SCHISM,base,5,18548.27,15742.15,3432.25,9641.22,-169.52,4776.86,1.00,0.00,2.85,85.60,95.50,265.02,572.48,414.38,386.74,758.92,439.20,753.55,18991.20,2382.47,7343.75,2455.67,264.38,5099.43,2314.73,404.18,470.29,704.31,754.99,271.07,13106.46,1611.83,11943.06,8087.11,13536.87,1376.56,171.25,423.93,439.20,386.74,15777.46
2006-11-22,SCHISM,base,5,18715.73,16005.22,3370.24,9768.59,-35.17,-6384.31,1.00,0.00,2.47,84.60,291.90,327.07,570.60,432.63,404.18,755.82,439.20,760.16,18405.56,2372.25,6816.16,2435.85,232.20,4716.64,2140.59,378.64,459.09,718.81,754.58,178.64,13257.18,1585.51,11791.65,7738.04,13576.49,1310.97,171.25,453.59,439.20,404.18,15594.43
2006-11-23,SCHISM,base,5,19099.25,16361.93,3298.81,9669.82,79.92,-10292.95,1.00,0.00,2.46,84.20,227.00,147.08,580.02,461.42,426.48,772.74,439.20,760.16,17706.19,2346.78,6298.70,2403.29,224.41,4341.56,1970.79,418.84,436.23,729.37,761.60,171.25,13390.31,1551.64,11588.63,7528.23,13593.37,1200.95,177.77,493.08,439.20,426.48,15362.15
