datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1995-04-01,dsm2,base,32,102291.00,76230.00,24700.00,-2921.48,1299.79,122769.73,0.00,1.00,284.29,1.73,3.48,2.59,3.16,228.48,228.48,289.65,143.51,280.32,308.47,134.25,134.25,323.55,114.86,309.76,340.20,401.03,138.63,302.63,303.07,674.16,229.47,148.82,162.00,141.25,289.43,279.82,282.81,147.25,308.76,277.87,377.21,219.28,554.02,109.71,109.71,154.19,284.33,174.96,281.16,279.02,536.91,279.25,53.80
1995-04-02,dsm2,base,32,96261.00,74030.00,24200.00,-2784.40,1878.88,115797.72,0.00,1.00,291.12,2.17,3.50,2.19,3.48,233.16,233.16,284.75,147.67,289.32,305.14,129.42,129.42,318.59,116.16,302.42,354.94,388.23,142.75,292.17,292.87,657.82,232.51,152.82,163.46,140.97,284.68,288.97,292.38,150.40,304.76,287.97,369.62,212.21,611.93,114.28,114.53,156.12,297.25,184.71,289.98,285.66,528.11,288.94,53.80
1995-04-03,dsm2,base,32,89140.00,72490.00,23700.00,-3012.83,1962.37,107864.80,0.00,1.00,293.58,1.96,3.64,1.93,3.39,237.31,237.31,294.95,149.46,294.25,299.10,139.66,139.66,314.85,123.69,297.35,339.71,384.78,151.04,297.15,297.08,621.57,228.94,157.68,172.98,149.87,294.88,296.71,298.45,157.56,298.21,294.54,360.48,215.40,609.03,117.94,117.93,158.34,304.15,176.84,294.68,293.77,539.51,295.18,53.80
1995-04-04,dsm2,base,32,84936.00,71830.00,22900.00,-3317.33,1906.92,102611.75,0.00,1.00,283.62,1.82,3.22,1.77,2.91,230.79,230.79,301.22,150.71,290.45,297.09,147.06,147.06,310.16,126.36,298.03,323.59,374.85,161.78,302.42,302.21,614.69,227.58,160.06,171.23,153.80,301.19,299.81,297.02,177.60,298.28,295.77,351.48,213.26,572.99,120.03,119.76,166.69,306.71,185.20,290.09,297.55,510.40,294.81,53.80
1995-04-05,dsm2,base,32,80579.00,68750.00,22300.00,-2972.16,1791.06,98115.78,0.00,1.00,275.08,1.98,3.13,2.08,2.89,229.43,229.43,301.07,154.59,280.92,297.40,149.07,149.07,307.20,127.91,300.65,331.23,364.27,162.43,305.79,305.63,600.58,226.71,165.24,175.58,157.48,300.97,290.40,288.26,174.75,298.64,286.02,344.22,218.77,589.76,122.18,122.99,165.79,298.05,184.98,280.64,290.56,537.12,285.23,53.80
1995-04-06,dsm2,base,32,77512.00,66330.00,21800.00,-2996.88,1458.97,94856.15,0.00,1.00,276.75,2.38,3.36,2.88,3.04,228.31,228.31,292.60,158.21,277.39,296.27,151.46,151.46,306.30,130.13,299.56,330.36,367.68,169.96,302.31,302.54,574.45,228.55,164.48,182.76,156.82,292.47,280.98,282.24,187.48,295.07,278.45,339.65,217.72,518.14,124.90,123.00,171.75,288.13,186.63,277.77,281.30,547.46,278.45,53.80
1995-04-07,dsm2,base,32,77827.00,66550.00,21500.00,-2995.88,1070.16,95260.96,0.00,1.00,270.50,2.80,3.46,3.75,3.01,227.03,227.03,285.78,159.69,274.94,292.69,151.29,151.29,303.70,130.34,294.31,315.44,362.55,179.07,295.70,295.94,563.56,227.12,164.66,184.17,157.52,285.68,281.65,279.98,197.66,288.97,278.58,337.34,211.29,478.31,121.93,119.20,166.09,285.04,183.21,274.83,279.79,527.99,278.23,53.80
1995-04-08,dsm2,base,32,76240.00,64020.00,21400.00,-3502.84,837.10,93300.06,0.00,1.00,258.88,3.33,3.57,4.79,3.10,225.01,225.01,284.78,160.98,265.87,288.38,148.01,148.01,299.50,128.17,289.20,299.55,347.54,185.00,291.46,291.52,550.45,223.22,165.42,187.55,157.52,284.67,276.11,271.98,198.54,283.67,271.59,335.05,206.01,456.48,118.70,115.47,163.13,279.19,178.86,265.42,276.32,510.94,271.09,53.80
1995-04-09,dsm2,base,32,75755.00,64240.00,21400.00,-2975.30,1188.40,92991.30,0.00,1.00,255.38,3.69,3.63,5.76,3.16,221.33,221.33,279.62,162.32,258.63,284.12,147.00,147.00,295.79,126.35,285.55,282.99,332.67,200.20,289.21,289.21,535.95,219.07,165.10,189.84,157.54,279.55,265.70,263.30,224.45,278.78,261.22,332.06,202.91,433.82,115.66,111.77,158.03,268.96,171.29,258.77,267.04,493.66,261.15,53.80
1995-04-10,dsm2,base,32,82140.00,68640.00,21200.00,-3001.98,1706.68,98631.34,0.00,1.00,240.46,4.03,3.65,6.25,3.21,217.33,217.33,271.37,162.56,249.82,280.24,143.40,143.40,292.67,122.87,281.57,269.62,314.66,203.32,284.07,284.18,523.84,214.69,161.98,191.68,155.04,271.26,262.17,257.43,213.67,275.29,257.15,328.95,200.02,413.00,112.31,107.97,153.27,266.32,166.49,249.22,261.14,481.36,256.69,53.80
1995-04-11,dsm2,base,32,91877.00,71610.00,20700.00,-2993.42,1728.43,107855.15,0.00,1.00,227.92,4.00,3.69,6.27,3.28,212.32,212.32,267.27,161.51,236.00,275.62,137.67,137.67,288.73,117.74,275.78,256.01,299.99,196.51,277.81,278.03,514.84,211.08,157.20,188.46,149.29,267.13,249.52,244.22,196.68,269.46,243.26,325.69,197.46,387.55,108.45,104.11,146.18,254.11,161.64,235.52,252.29,468.48,242.71,53.80
1995-04-12,dsm2,base,32,100148.00,76560.00,20400.00,-3243.64,1773.46,115530.90,0.00,1.00,225.58,3.86,3.81,6.01,3.50,207.95,207.95,257.23,157.77,228.73,271.23,130.79,130.79,284.28,112.29,271.23,244.39,288.02,182.36,273.07,273.25,500.65,206.40,149.84,181.94,142.26,257.01,237.19,235.04,171.40,264.40,231.93,321.77,191.98,367.19,104.27,100.22,140.50,242.08,156.45,228.90,239.51,453.15,231.48,53.80
1995-04-13,dsm2,base,32,103636.00,78650.00,19800.00,-3476.96,694.62,119264.42,0.00,1.00,216.29,3.59,4.08,5.38,3.71,203.15,203.15,246.27,151.34,221.34,265.59,124.57,124.48,278.17,107.17,263.90,235.41,275.27,167.96,264.15,264.43,487.27,200.90,143.81,172.99,135.53,245.94,232.77,228.69,157.39,256.81,227.96,317.25,185.93,348.80,100.06,96.26,134.48,232.23,149.88,221.09,231.64,435.93,227.43,53.80
1995-04-14,dsm2,base,32,105554.00,79200.00,19300.00,-4818.11,1543.07,118492.82,0.00,1.00,223.04,3.10,4.31,4.23,4.00,198.25,198.25,245.12,143.88,220.62,258.09,119.81,119.81,273.13,102.46,254.15,221.71,261.79,160.43,258.84,259.05,460.29,193.00,136.33,165.14,129.66,244.87,229.25,224.58,149.59,244.64,219.90,311.91,176.16,305.00,96.39,92.51,127.81,222.72,143.04,221.43,231.32,405.52,218.86,53.80
1995-04-15,dsm2,base,32,103367.00,78430.00,19000.00,-3753.71,1200.14,117413.15,0.00,1.00,223.88,2.55,4.12,3.19,3.63,191.35,191.35,241.71,136.77,225.01,251.82,115.26,115.26,265.70,98.77,250.40,213.37,250.70,151.18,254.41,254.62,438.64,184.87,130.70,157.02,125.15,241.61,226.98,230.75,138.43,235.21,227.01,305.88,169.46,281.30,92.72,88.72,124.55,229.00,138.47,225.33,223.60,382.11,225.88,53.80
1995-04-16,dsm2,base,32,102789.00,78100.00,18700.00,-3744.72,815.51,116928.77,0.00,1.00,220.62,2.06,4.02,2.33,3.72,184.37,184.37,235.28,131.68,223.85,247.08,111.34,111.34,260.63,95.23,248.00,213.39,246.72,140.87,249.19,249.52,433.33,178.09,125.70,149.87,121.53,235.05,229.83,231.26,130.12,230.97,226.93,299.26,165.37,283.01,90.44,88.32,120.81,230.06,135.06,224.08,226.92,377.58,226.60,53.80
