datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol
2013-10-24,SCHISM,slr_base,1,7316.68,5802.97,1627.70,2105.85,-292.64,7131.17,1.00,1.00,1.10,6.89,90.60,82.10,374.74,743.84,704.31,643.46,676.31,518.35,839.21,21606.78,12706.98,10020.28,3722.81,798.09,7241.26,2104.84,336.14,263.30,565.57,700.58,337.00,13453.91,1070.29,12435.14,9781.18,11638.87,1383.15,171.25,1864.77,7248.34,10020.28,425.84,518.35,643.46,12378.14,15068.82,14409.29,478.95,396.53,447.45
2013-10-25,SCHISM,slr_base,1,7484.76,5954.97,2327.82,2396.66,-483.77,7899.70,1.00,1.00,2.42,6.69,90.60,73.50,557.27,709.08,649.28,648.87,704.31,500.03,795.62,22548.25,12985.30,9851.35,3897.18,768.00,6438.00,1960.44,360.51,289.37,603.63,700.58,321.15,12670.46,1004.11,11917.50,9963.66,12001.78,1501.03,171.68,1943.44,6451.96,9850.66,404.40,500.03,648.87,13169.52,15101.23,15413.32,451.90,397.17,451.69
2013-10-26,SCHISM,slr_base,1,6816.61,5321.87,2553.19,2428.27,-580.81,7522.34,1.00,1.00,3.29,6.66,92.80,316.70,897.51,708.46,632.84,614.49,514.77,491.39,723.78,23281.28,13750.06,9875.65,3926.58,780.16,6010.68,1935.43,381.63,307.42,642.00,590.05,312.78,11986.04,996.18,11336.81,9402.66,12404.62,1423.24,181.46,1938.95,6025.25,9872.89,394.83,491.39,614.49,14308.55,15745.68,17245.50,421.39,404.40,454.23
2013-10-27,SCHISM,slr_base,1,5891.06,4441.90,2653.35,2648.83,-602.95,6498.53,1.00,1.00,4.37,6.73,93.00,169.40,772.35,662.18,578.97,562.85,360.51,476.20,653.65,25805.49,16019.14,11408.74,5095.96,1189.47,6757.56,2179.61,449.15,331.22,665.50,419.26,302.69,12184.69,1096.81,11158.92,9322.14,12999.23,1798.27,208.59,2474.14,6773.24,11406.87,383.97,476.20,562.85,15678.64,18445.57,18945.98,448.94,415.44,459.51
2013-10-28,SCHISM,slr_base,1,7798.18,6298.46,2663.36,2196.34,-548.41,8813.62,1.00,1.00,5.23,6.79,93.00,99.60,648.01,646.16,562.43,534.32,360.08,456.55,467.12,25675.26,16328.22,12133.16,5438.77,1519.50,6705.16,2275.87,473.25,356.24,684.20,362.43,297.32,12566.08,1082.44,10765.77,11147.34,13380.77,1924.09,720.47,2778.70,6729.41,12129.27,397.80,456.55,534.32,16046.59,19347.67,19703.75,481.90,417.78,457.82
2013-10-29,SCHISM,slr_base,1,8210.80,6532.47,2563.77,1797.77,-580.44,9557.25,1.00,1.00,5.68,6.90,93.60,111.00,691.44,588.59,493.92,511.82,336.78,439.20,412.47,25524.80,16495.31,12321.79,5360.91,1378.96,6765.76,2213.15,459.30,372.25,665.50,346.41,276.88,12794.27,1080.82,10819.43,10936.57,13562.28,1849.88,598.83,2690.26,6790.87,12318.25,405.67,439.20,511.82,16453.19,19420.00,20619.86,488.86,421.39,466.91
2013-10-30,SCHISM,slr_base,1,8398.20,6787.91,2290.53,2820.01,-669.07,8537.80,1.00,1.00,5.90,6.87,93.40,80.10,749.17,498.98,458.88,472.83,284.85,419.69,387.38,25619.24,16872.64,12772.75,5545.16,1511.16,6921.30,2257.69,469.24,386.74,613.45,309.35,256.18,12915.44,1091.75,11106.95,11124.68,13773.09,1913.33,357.31,2766.68,6950.81,12770.39,405.25,419.69,472.83,16710.52,19790.09,21229.00,511.19,426.05,480.00
2013-10-31,SCHISM,slr_base,1,8852.04,7260.00,1998.23,4869.40,-694.18,6675.05,1.00,1.00,5.58,6.76,93.20,91.90,786.08,430.51,426.90,402.48,275.37,418.84,339.78,25370.65,16891.12,12735.24,5482.11,1414.47,6936.59,2215.86,461.20,395.25,558.66,281.19,230.25,12965.49,1093.17,11298.87,11058.71,13911.40,1915.29,201.44,2739.95,6966.10,12731.04,397.38,418.84,402.48,16852.85,19647.94,21503.93,535.37,439.20,498.35
2013-11-01,SCHISM,slr_base,1,9028.09,7498.53,1706.35,3261.89,-1153.60,8626.16,1.00,1.00,4.92,6.73,93.20,176.60,1330.20,389.50,393.76,376.94,304.62,418.84,326.08,25245.31,16890.13,12704.29,5379.97,1279.31,6968.76,2199.39,475.99,406.31,515.40,277.53,212.06,12960.62,1101.67,11407.72,10874.60,13956.42,1891.22,185.59,2672.28,6998.43,12699.58,398.44,418.84,376.94,16890.30,19255.31,21523.67,562.43,446.82,517.08
2013-11-02,SCHISM,slr_base,1,9411.20,7966.94,1475.95,3816.53,-1105.66,8176.28,1.00,1.00,3.98,6.68,93.00,437.30,1542.96,365.85,378.22,374.81,339.78,418.84,324.58,25408.77,17228.86,12853.44,5391.23,1207.59,7115.59,2211.40,526.97,420.54,490.34,294.10,214.88,12986.48,1137.04,11437.47,10670.69,14020.42,1932.30,147.54,2687.01,7146.62,12849.91,400.78,418.84,374.81,17039.00,19130.65,21489.11,597.16,462.90,543.35
2013-11-03,SCHISM,slr_base,1,10202.44,8712.20,1338.86,3937.10,-901.58,8505.78,1.00,1.00,3.12,6.65,92.80,444.40,1345.98,357.31,374.38,378.00,383.33,418.84,338.71,24840.48,17007.15,12687.96,4891.41,1089.93,6831.64,2081.31,554.04,434.96,466.28,316.86,279.04,13070.56,1125.32,11357.22,10894.24,13868.21,1844.97,143.40,2481.45,6864.57,12683.25,414.17,418.84,378.00,16898.80,18840.65,21455.98,627.83,486.33,576.46
2013-11-04,SCHISM,slr_base,1,10036.08,8525.68,1251.72,4948.42,-1002.36,7341.75,1.00,1.00,2.44,6.77,92.40,121.10,1123.46,361.36,382.69,378.00,433.69,418.84,361.15,24795.68,17038.84,12896.79,5002.17,1029.11,6777.87,2062.04,554.67,433.26,453.59,344.91,369.69,13111.50,1125.32,11367.93,10969.17,13855.03,1847.13,135.35,2506.05,6808.14,12894.78,432.84,418.84,378.00,16889.48,18595.00,21424.60,624.08,514.98,617.83
2013-11-05,SCHISM,slr_base,1,9908.20,8167.83,1189.27,4995.59,-1082.47,7184.35,1.00,1.00,2.00,6.89,91.80,94.40,1176.87,377.15,403.76,378.00,501.72,418.84,384.39,24951.19,17268.17,12800.66,5066.60,922.17,6972.14,2182.52,516.87,438.77,441.53,376.94,368.41,13155.27,1134.61,11400.75,11782.84,13876.71,1847.72,129.47,2514.70,7006.43,12799.65,452.75,418.84,378.00,16781.70,18590.96,21321.16,628.04,539.99,640.75
2013-11-06,SCHISM,slr_base,1,9471.49,7836.44,1133.38,5051.47,-1123.40,6676.80,1.00,1.00,1.82,6.94,91.80,68.30,1191.70,396.31,421.81,378.00,550.69,421.60,421.39,25182.29,17443.26,12848.40,4945.35,818.67,7182.61,2260.01,511.61,448.72,433.90,410.56,297.54,13275.61,1150.97,11439.00,12063.85,13810.98,1839.88,129.47,2454.52,7217.34,12847.22,467.12,421.60,378.00,16585.92,18615.07,21166.78,643.25,560.54,659.89
2013-11-07,SCHISM,slr_base,1,9332.42,7743.49,1086.38,5630.80,-1160.51,5948.51,1.00,1.00,1.86,6.88,92.00,81.30,1241.81,414.17,438.14,378.00,599.04,439.20,468.60,25654.82,17832.22,13154.76,4913.18,790.06,7548.35,2423.91,525.28,458.67,431.57,434.75,231.33,13390.31,1171.74,11615.62,12445.93,13817.49,1831.24,129.47,2448.74,7579.41,13152.92,483.17,439.20,378.00,16597.39,18968.11,21097.37,679.01,581.48,679.63
2013-11-08,SCHISM,slr_base,1,9488.02,7932.76,1045.58,4933.54,-1168.06,6768.11,1.00,1.00,2.07,6.82,91.60,78.30,1246.36,433.47,452.53,378.00,626.58,439.20,517.29,25852.89,18108.01,13531.68,4981.17,779.75,7868.27,2581.30,542.72,472.19,431.78,452.11,189.93,13433.83,1209.40,11818.08,12898.98,13832.34,1842.82,129.47,2428.53,7898.86,13529.51,500.67,439.20,378.00,16739.00,19363.30,21418.22,724.40,599.04,702.03
2013-11-09,SCHISM,slr_base,1,9176.58,7610.68,1008.35,5136.97,-1220.80,6268.77,1.00,1.00,2.41,6.73,92.20,107.30,1328.10,451.90,468.39,378.64,650.53,439.83,555.72,25554.93,17837.75,13331.72,4822.22,735.78,7759.17,2618.30,533.48,480.43,422.23,495.61,169.07,13447.21,1218.45,12047.62,13165.49,13836.68,1796.89,129.47,2312.60,7790.33,13328.53,516.87,439.83,378.64,16771.56,19256.12,21565.07,747.14,613.03,718.19
2013-11-10,SCHISM,slr_base,1,8992.70,7405.58,1000.69,5128.24,-1252.12,6117.26,1.00,1.00,2.70,6.70,92.40,70.90,1323.02,469.66,486.97,398.44,664.47,455.07,591.31,25897.31,18216.55,13777.27,5137.34,791.70,8137.61,2786.71,571.64,495.82,420.96,521.29,152.98,13443.36,1277.10,12283.31,12788.05,14040.74,1876.53,129.47,2418.51,8167.06,13773.26,526.13,455.07,398.44,17189.53,19821.59,21870.04,788.41,634.09,750.04
2013-11-11,SCHISM,slr_base,1,8929.33,7329.59,999.01,4474.78,-1305.97,6759.52,1.00,1.00,2.92,6.68,92.60,66.90,1372.87,482.96,487.81,398.44,696.85,459.51,615.95,25818.74,18172.27,13821.16,5276.77,835.11,8159.35,2842.56,581.69,512.67,417.78,550.27,150.37,13582.51,1304.36,12452.34,13209.75,14224.39,1951.26,129.47,2562.89,8190.20,13817.99,535.37,459.51,398.44,17389.48,20122.35,22082.30,816.20,649.49,770.89
2013-11-12,SCHISM,slr_base,1,8669.48,7074.28,986.83,4560.86,-1343.44,6438.89,1.00,1.00,3.08,6.67,93.00,77.00,1420.44,488.23,498.35,407.80,744.25,459.51,637.63,25807.83,18240.07,13858.03,5362.72,840.65,8241.88,2874.17,594.44,523.60,419.26,569.55,150.37,13720.34,1344.59,12572.82,12991.51,14404.64,2012.35,129.47,2604.69,8274.62,13854.36,550.69,459.51,407.80,17646.64,20261.08,22281.95,843.12,674.23,797.27
2013-11-13,SCHISM,slr_base,1,8524.85,6943.71,981.79,4565.81,-1450.21,6391.04,1.00,1.00,3.17,6.69,93.80,118.30,1568.51,500.67,508.88,418.84,769.85,489.92,664.47,26047.66,18539.16,14249.01,5734.70,941.57,8476.26,2988.60,623.25,539.78,420.75,578.97,150.37,13883.05,1396.32,12749.03,13053.61,14643.40,2128.36,129.47,2780.23,8509.27,14244.85,566.83,489.92,418.84,17931.84,20500.61,22472.68,878.59,698.30,829.77
2013-11-14,SCHISM,slr_base,1,8472.26,6979.74,977.42,5168.50,-1401.02,5682.19,1.00,1.00,3.13,6.68,94.00,205.90,1606.92,511.19,528.23,418.84,779.34,523.60,701.83,26542.68,19138.71,14871.50,6264.82,1118.25,8989.21,3200.67,681.50,566.62,425.84,575.62,148.63,14074.06,1470.42,12877.47,13353.32,14846.49,2376.30,129.47,3097.41,9021.53,14868.35,587.96,523.60,418.84,18184.44,21030.48,22643.44,933.61,729.16,868.14
2013-11-15,SCHISM,slr_base,1,8563.27,7085.85,960.63,4086.04,-1409.21,6847.07,1.00,1.00,3.05,6.62,94.00,149.50,1558.71,536.42,546.91,424.78,779.96,540.41,732.67,26234.47,19029.14,14875.15,6253.52,1096.61,8942.10,3242.96,703.48,584.41,423.08,586.29,137.31,14212.91,1498.45,12982.45,13835.51,14866.70,2498.17,129.47,3213.70,8978.26,14871.17,609.27,540.41,424.78,18118.89,20892.64,22758.67,986.61,757.68,909.09
2013-11-16,SCHISM,slr_base,1,8489.48,7012.23,959.49,3516.00,-1390.10,7323.07,1.00,1.00,2.88,6.66,93.80,82.30,1472.40,560.33,554.04,437.50,779.96,555.72,756.23,26350.84,19210.65,14943.04,6412.42,1080.41,9024.48,3264.84,707.01,592.98,422.87,622.41,129.47,14212.91,1540.14,13240.25,13502.25,14991.38,2512.01,129.47,3225.03,9062.69,14939.73,628.67,555.72,437.50,18336.20,20947.12,22862.29,1002.89,783.46,931.36
2013-11-17,SCHISM,slr_base,1,8545.62,7014.02,970.11,4023.25,-1366.88,6859.36,1.00,1.00,2.60,6.66,93.60,135.00,1501.88,578.97,562.01,439.20,764.90,563.48,771.50,26185.76,19078.20,14836.71,6261.23,1012.24,8945.40,3246.92,705.35,599.88,420.32,656.77,129.47,14300.07,1564.12,13425.29,13518.14,15004.12,2521.23,129.47,3191.98,8984.34,14832.74,639.29,563.48,439.20,18362.13,20587.38,22886.01,1012.85,808.79,950.95
2013-11-18,SCHISM,slr_base,1,8357.65,6833.78,980.74,3997.58,-1313.62,6654.44,1.00,1.00,2.29,6.59,93.20,53.20,1366.82,593.40,571.85,439.20,760.16,584.20,779.96,26155.10,19114.35,14826.27,6130.22,950.95,8956.53,3240.88,715.91,607.81,419.48,684.82,129.47,14315.87,1600.35,13564.95,13332.89,15027.29,2503.94,129.47,3151.15,8996.16,14822.46,655.11,584.20,439.20,18446.70,20391.86,22837.93,1043.11,833.67,978.26
2013-11-19,SCHISM,slr_base,1,8364.96,6844.79,966.34,4724.38,-789.15,5396.07,1.00,1.00,2.04,6.62,93.00,39.20,828.35,611.98,586.29,439.20,760.16,604.68,779.96,25877.20,18884.28,14530.87,5870.21,841.47,8771.92,3201.61,688.14,615.32,417.14,711.36,129.47,14352.61,1605.10,13636.82,13445.37,14983.60,2426.22,129.47,3046.64,8812.66,14527.55,673.82,604.68,439.20,18281.74,20003.10,22767.53,1067.25,856.87,995.36
2013-11-20,SCHISM,slr_base,1,8820.82,7186.88,1006.86,2819.23,434.42,6574.03,1.00,1.00,1.88,6.70,93.20,696.00,261.58,633.67,592.77,439.20,760.16,623.67,775.22,26020.24,19004.11,14513.44,5806.19,834.29,8910.45,3227.10,709.91,626.17,412.68,732.88,138.40,14312.21,1636.14,13656.03,13454.41,14998.00,2431.42,129.47,3028.63,8949.58,14511.45,678.18,623.67,439.20,18166.75,19767.90,22581.04,1086.69,865.48,1014.88
2013-11-21,SCHISM,slr_base,1,10023.25,8360.35,1213.96,2538.91,772.38,7925.92,1.00,1.00,1.93,6.63,91.80,418.80,-353.58,634.50,604.05,459.51,760.16,649.28,779.75,24795.37,17997.95,14861.56,4709.49,811.06,7874.42,2758.47,874.29,560.96,410.35,754.99,148.63,14286.27,1566.70,13650.18,13858.20,14511.45,2070.21,139.92,2389.80,7883.56,14859.74,693.74,649.28,459.51,17917.86,19486.51,22278.77,899.07,910.52,1068.46
2013-11-22,SCHISM,slr_base,1,9928.51,8281.66,1160.78,2239.48,577.32,8272.49,1.00,1.00,2.23,6.59,92.00,103.60,-473.72,681.91,636.79,459.51,760.16,673.82,779.96,23721.93,16849.09,13912.40,4201.06,699.13,7080.46,2536.02,665.09,524.86,418.84,760.16,150.37,14292.26,1500.84,13743.88,14409.62,14864.05,1776.46,150.37,2068.07,7101.04,13909.40,709.08,673.82,459.51,18522.16,18878.14,22584.21,710.94,952.59,1097.62
