datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol
2011-10-18,SCHISM,suisun,2,23605.95,18453.68,5053.27,-10840.83,-425.78,18244.17,1.00,0.00,1.36,-0.09,88.80,54.70,480.48,669.66,574.16,583.78,687.31,501.51,791.09,17672.02,11634.12,9768.59,2511.43,379.28,7122.86,1966.50,302.26,261.79,573.74,700.58,335.50,13409.90,1011.23,12316.22,10049.53,11871.44,1243.38,171.25,1486.93,7132.79,9768.07,386.52,501.51,583.78,12867.56,14823.29,14579.68,475.78,406.95,448.51
2011-10-19,SCHISM,suisun,2,22376.62,17512.56,4815.34,-10249.73,-315.84,17258.07,1.00,0.00,2.08,-0.26,86.20,58.10,373.94,624.08,425.84,358.38,354.74,464.16,610.94,17167.34,11870.09,9318.85,2512.97,366.70,6873.82,2123.69,333.14,286.35,663.43,392.48,305.70,12223.37,1128.96,12361.61,9859.28,11909.03,1481.36,403.33,1612.22,6886.45,9318.51,368.83,464.16,358.38,14156.15,14335.99,15384.11,460.15,425.84,457.19
2011-10-20,SCHISM,suisun,2,21683.07,16874.47,4793.10,-10257.81,-428.53,16646.88,1.00,0.00,1.60,-0.28,84.00,46.70,475.23,374.81,388.44,369.47,309.78,427.33,359.87,15885.43,10739.10,7937.70,1352.99,293.45,5795.54,1830.07,271.50,291.52,639.50,306.99,244.31,11952.20,1107.53,12419.13,9480.86,12029.52,1215.44,227.01,1104.50,5807.27,7936.12,401.42,427.33,369.47,14473.91,14558.76,15364.46,426.27,423.30,456.55
2011-10-21,SCHISM,suisun,2,21179.10,16399.98,4683.46,-9773.10,-410.27,16499.73,1.00,0.00,1.27,-0.14,82.80,47.60,457.87,354.32,400.14,383.97,316.43,418.84,329.29,14997.67,9797.74,6630.79,821.13,347.26,4977.51,1647.01,298.40,295.82,375.23,314.07,189.28,12103.92,1108.75,12578.37,9170.82,12175.57,1017.53,171.90,799.94,4988.84,6630.61,417.99,418.84,383.97,14553.12,14761.97,15018.35,409.07,413.96,447.88
2011-10-22,SCHISM,suisun,2,21024.65,15944.61,4848.45,-11502.75,-435.74,14806.09,1.00,0.00,1.18,-0.00,82.00,53.00,488.74,345.77,398.65,386.74,315.14,418.84,329.93,14579.84,8974.78,5511.11,608.85,257.05,4437.86,1550.84,352.61,310.42,329.50,316.21,249.28,12367.52,1111.98,12752.73,8807.96,12386.58,907.45,131.43,685.44,4445.42,5509.84,404.82,418.84,386.74,14639.91,14823.62,14766.61,421.39,404.61,445.13
2011-10-23,SCHISM,suisun,2,20575.58,15629.80,4815.59,-12049.64,-430.07,13771.61,1.00,0.00,1.37,-0.04,82.40,159.80,589.87,344.70,398.44,381.41,334.00,437.08,329.93,14449.16,8185.47,4586.61,472.83,197.53,4025.10,1491.90,268.26,311.49,316.43,331.43,309.56,12709.33,1129.36,12863.02,8262.89,12597.07,811.06,138.83,603.22,4030.67,4585.33,398.65,437.08,381.41,14586.98,14793.13,14452.65,453.38,387.80,449.57
2011-10-24,SCHISM,suisun,2,20167.15,15237.63,4947.30,-10832.09,-289.14,14571.50,1.00,0.00,1.66,-0.14,82.00,290.80,579.94,362.01,395.68,380.35,325.65,437.71,345.55,15574.98,8280.75,4694.07,398.65,176.25,3797.29,1548.66,274.30,298.61,320.72,320.29,173.42,12922.16,1245.79,13127.60,7739.28,12848.06,739.50,138.40,557.82,3799.16,4694.44,394.61,437.71,380.35,14917.38,14930.62,14467.93,525.91,384.18,484.86
2011-10-25,SCHISM,suisun,2,19731.44,15125.00,4812.01,-10677.56,-179.41,14045.30,1.00,0.00,2.04,-0.06,81.80,288.60,468.01,362.22,395.89,395.46,325.86,418.84,334.21,15237.62,7763.05,4491.30,355.17,171.47,3383.33,1413.87,293.45,286.57,333.57,323.08,150.37,13118.71,1270.68,13263.71,6946.37,13047.24,681.71,144.93,471.35,3385.21,4490.56,393.12,418.84,395.46,14926.98,15244.72,14291.42,550.48,396.74,518.98
2011-10-26,SCHISM,suisun,2,19603.04,15255.08,4956.54,-10583.57,-78.75,14054.75,1.00,0.00,2.64,0.05,81.00,163.80,242.55,364.57,392.70,397.17,319.43,418.84,327.36,15259.59,7563.18,4010.24,348.76,165.38,3017.25,1312.37,289.80,274.08,332.50,313.43,150.37,13236.57,1227.90,13525.33,6987.24,13237.74,587.13,129.47,438.98,3020.67,4009.32,408.43,418.84,397.17,14838.04,15124.39,14239.53,496.66,417.35,533.69
2011-10-27,SCHISM,suisun,2,18902.21,14986.65,4784.30,-10548.57,-10.29,13148.22,1.00,0.00,3.21,0.04,80.80,128.80,139.09,364.78,402.27,391.42,321.79,418.84,331.64,14994.72,7083.30,3454.95,363.50,158.85,2701.16,1195.11,243.01,273.87,332.07,316.86,150.37,13310.11,1174.36,13618.10,6691.26,13348.96,584.83,129.47,434.11,2704.03,3454.39,417.35,418.84,391.42,14598.27,14789.98,14115.86,486.33,424.36,516.24
