datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2005-04-01,dsm2,baseline,67,34163.88,14391.67,6047.65,640.27,45331.23,0.00,1.00,248.80,2.68,3.55,2.67,3.56,256.62,256.62,446.89,234.21,249.25,344.45,189.94,189.94,354.52,166.12,381.39,1159.55,1536.55,449.76,429.20,425.70,1314.33,262.98,196.61,389.82,195.20,446.48,290.72,258.92,525.80,301.16,249.44,446.42,246.00,1132.58,153.78,142.12,196.27,268.70,214.61,250.47,409.54,881.35,253.84,53.80
2005-04-02,dsm2,baseline,67,30988.21,14325.00,5457.00,306.25,42770.82,0.00,1.00,230.17,2.71,3.74,2.73,3.75,256.22,256.22,438.03,228.36,245.86,343.53,193.83,193.83,359.83,167.33,374.11,1003.97,1377.22,541.54,425.69,422.21,1333.40,261.69,202.17,387.40,196.76,437.43,303.45,262.19,756.18,283.71,258.18,455.40,237.70,1040.02,151.96,140.19,194.07,273.11,211.69,244.98,398.65,824.97,259.76,53.80
2005-04-03,dsm2,baseline,67,28371.52,14395.83,6974.00,-670.21,39571.61,0.00,1.00,225.33,2.93,3.56,2.94,3.54,257.49,257.49,430.73,225.85,229.50,344.93,195.17,195.17,364.97,167.16,375.16,923.25,1232.50,670.76,422.84,419.80,1324.43,259.12,208.97,417.49,201.29,430.52,305.29,241.08,889.44,275.40,240.52,461.20,229.77,954.67,151.33,143.78,194.10,246.58,212.19,230.33,391.90,765.63,252.22,54.40
2005-04-04,dsm2,baseline,67,25980.38,14279.17,7755.00,-383.41,36096.77,0.00,1.00,232.78,3.02,3.32,3.03,3.32,259.15,259.15,423.18,227.40,228.90,346.13,196.40,196.40,371.81,167.30,379.88,876.87,1112.36,776.73,418.35,415.70,1290.68,256.04,217.34,452.87,204.83,422.32,307.55,238.89,887.99,273.73,230.36,469.77,224.73,866.64,155.25,154.70,199.88,237.57,214.65,231.01,378.76,735.07,242.00,54.40
2005-04-05,dsm2,baseline,67,24539.96,14058.33,7651.00,635.13,34070.34,0.00,1.00,230.10,3.15,3.53,3.16,3.55,260.73,260.73,423.61,231.84,238.07,343.98,198.45,198.45,377.12,170.96,375.04,835.42,1015.61,805.44,413.52,410.30,1236.23,254.67,224.73,485.39,207.41,423.18,344.51,255.52,797.67,272.65,240.42,481.53,223.45,905.38,162.42,160.76,200.07,259.94,211.77,238.92,364.93,735.29,249.66,53.80
2005-04-06,dsm2,baseline,67,23701.42,13683.33,8194.00,453.84,32435.88,0.00,1.00,232.67,3.23,3.67,3.24,3.67,259.48,259.48,426.97,236.64,239.20,337.63,202.08,202.08,375.69,177.94,366.01,772.07,945.15,998.50,406.35,403.33,1197.59,253.17,251.57,571.74,209.80,426.77,372.95,260.29,1020.58,265.54,245.31,493.32,223.71,832.32,167.31,167.36,202.99,262.96,213.58,239.95,367.55,701.47,260.52,54.40
2005-04-07,dsm2,baseline,67,22270.62,12750.00,8441.00,-54.17,30359.89,0.00,1.00,236.32,3.42,3.68,3.44,3.68,257.58,257.58,426.10,239.40,241.74,329.89,209.47,209.47,370.17,184.12,351.26,753.13,881.24,1334.51,392.50,389.09,1154.81,252.21,299.96,704.60,215.44,427.01,411.23,264.03,1356.03,257.05,246.11,503.45,222.76,746.15,171.93,170.39,206.32,262.18,214.72,242.62,376.43,674.21,292.99,54.40
2005-04-08,dsm2,baseline,67,22268.75,11483.33,8123.00,-1002.57,30729.33,0.00,1.00,228.20,3.51,3.47,3.50,3.45,258.26,258.26,424.24,241.31,235.59,324.33,216.35,216.35,362.04,188.61,344.20,766.12,838.26,1508.46,381.04,377.95,1118.10,250.76,320.76,801.95,220.63,425.91,436.10,263.95,1393.40,251.09,247.28,511.16,220.45,725.17,174.73,169.35,207.95,268.96,216.11,236.45,387.56,660.79,311.68,56.20
2005-04-09,dsm2,baseline,67,22812.38,10987.50,7887.00,-137.31,30237.75,0.00,1.00,244.96,3.39,3.30,3.39,3.30,256.46,256.46,418.87,243.88,239.87,316.62,223.04,223.04,353.75,191.78,334.48,794.68,826.73,1678.66,371.54,367.10,1082.01,249.73,348.17,877.99,227.93,420.52,450.45,263.03,1393.99,248.50,236.08,516.63,218.04,733.65,175.83,168.14,209.77,285.34,218.37,243.51,406.53,669.93,297.90,54.40
2005-04-10,dsm2,baseline,67,24469.12,10304.17,7858.00,537.68,29774.72,0.00,1.00,262.40,3.28,3.42,3.27,3.42,256.87,256.87,415.46,247.24,261.08,312.72,224.55,224.55,351.79,192.06,329.64,816.20,848.49,1622.06,364.29,361.16,1043.95,248.50,329.53,894.65,228.29,417.52,463.52,293.42,1266.28,249.43,253.43,520.62,216.12,736.88,175.62,170.45,207.87,305.30,216.86,262.94,416.13,665.43,320.02,54.40
2005-04-11,dsm2,baseline,67,25613.79,9983.33,7854.00,489.58,30327.34,0.00,1.00,260.07,3.10,3.46,3.09,3.46,253.86,253.86,399.01,251.38,270.54,304.51,229.55,229.55,346.15,191.33,314.11,841.60,872.81,1724.66,350.31,346.22,997.31,247.17,361.98,960.51,232.48,400.58,470.55,306.16,1495.50,248.33,271.71,522.85,215.14,732.97,176.24,168.96,206.42,326.27,214.77,271.07,445.95,642.34,355.26,56.80
2005-04-12,dsm2,baseline,67,24473.00,9967.50,7827.00,238.61,29241.60,0.00,1.00,261.82,2.83,3.27,2.80,3.25,251.53,251.53,384.49,252.89,268.20,297.10,229.57,229.57,339.97,190.42,303.63,869.94,892.51,1787.16,336.80,334.14,957.89,245.62,368.91,999.74,232.46,385.56,467.67,300.23,1617.73,247.71,275.43,523.88,214.84,732.87,175.16,160.07,204.76,330.73,213.13,268.99,465.13,632.75,373.45,59.60
2005-04-13,dsm2,baseline,67,23321.21,10595.83,7548.00,415.43,28652.79,0.00,1.00,264.48,2.36,3.03,2.34,3.03,249.54,249.54,372.54,251.29,269.06,290.49,224.53,224.53,332.45,188.52,295.94,883.13,914.33,1770.12,327.14,324.42,931.52,243.23,343.81,971.37,228.75,373.30,457.17,293.06,1585.47,249.30,273.03,523.97,214.02,714.42,170.50,155.32,202.11,323.00,209.71,270.01,456.76,631.17,373.73,58.80
2005-04-14,dsm2,baseline,67,22964.96,9785.83,7787.00,768.63,26980.87,0.00,1.00,261.27,1.95,3.19,1.93,3.21,249.36,249.36,368.13,246.08,269.60,288.07,214.78,214.78,328.90,183.52,295.34,887.94,945.43,1567.94,323.80,321.80,893.12,239.55,283.76,836.63,221.57,369.59,450.18,296.30,1290.28,256.62,273.71,522.83,213.09,730.06,166.88,154.85,196.76,302.25,207.01,270.13,442.09,637.69,359.32,54.40
