datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2006-11-14,dsm2,base,1005,10915.78,10339.61,3165.84,-8705.40,-491.25,5867.46,1.00,0.00,630.40,2.39,4.05,4.48,3.71,3656.52,3656.52,547.53,15366.48,623.67,685.19,7071.03,7071.03,940.14,1714.74,555.46,17414.61,17055.61,19020.02,556.23,559.19,10269.06,1301.52,11112.26,18036.48,10005.42,547.58,476.22,588.78,17386.73,276.35,590.00,461.96,416.70,11827.73,203.45,164.24,902.87,463.15,794.44,627.90,318.94,12396.02,427.21,84.20
2006-11-15,dsm2,base,1005,11559.27,10901.08,3260.51,-8665.50,-302.06,6456.34,1.00,0.00,639.60,2.64,3.46,5.08,3.57,4704.22,4704.22,549.67,15684.68,631.53,725.96,8537.55,8537.55,987.79,2541.96,573.48,17572.86,17263.07,19984.27,565.07,570.42,12404.11,1678.37,12723.42,18690.55,11117.62,548.90,489.21,622.82,19387.77,297.06,597.40,478.21,488.94,13060.93,239.82,165.84,1286.47,492.45,1081.33,636.69,324.77,12736.88,454.18,84.20
2006-11-16,dsm2,base,1005,12638.82,12081.36,3420.59,-9095.80,307.48,6656.14,1.00,0.00,625.80,2.90,3.61,5.45,3.43,3729.55,3729.55,554.69,15545.51,641.25,710.05,7027.86,7027.86,979.95,1936.93,590.61,17567.24,17153.56,20055.69,575.99,579.05,11343.12,1318.79,11051.79,18549.14,10489.12,554.04,477.37,639.87,17470.41,287.92,611.36,493.27,419.53,12874.11,209.12,167.44,1051.78,507.31,904.05,644.34,343.83,12480.12,488.14,84.20
2006-11-17,dsm2,base,1005,13816.49,13249.17,3507.06,-9919.90,380.78,7022.87,1.00,0.00,608.80,2.85,3.97,5.54,3.44,3508.67,3508.67,565.42,15625.45,630.49,713.86,6688.95,6688.95,1014.30,1735.95,584.82,17580.49,17123.06,19643.77,584.46,587.25,10900.08,1245.67,10665.93,18453.77,10074.57,564.91,487.03,643.74,16957.23,289.58,620.38,509.71,406.75,12713.58,208.08,172.56,922.52,503.88,812.72,631.34,346.93,12569.77,481.54,84.20
2006-11-18,dsm2,base,1005,14791.48,14080.61,3531.57,-9866.90,1399.46,7056.68,1.00,0.00,605.80,2.70,3.83,5.12,3.43,4196.47,4196.47,571.64,15907.80,615.30,734.19,7915.87,7915.87,1051.51,2314.05,571.79,17728.88,17297.58,19946.68,588.97,592.30,12823.91,1581.51,12086.80,18671.52,10671.17,570.61,503.34,629.67,19104.81,303.16,621.11,527.38,474.88,14136.29,253.07,173.81,1197.31,506.62,1002.68,613.90,353.06,13035.52,514.06,84.20
2006-11-19,dsm2,base,1005,15887.51,14977.28,3518.79,-9684.70,1875.29,7846.31,1.00,0.00,608.30,2.94,3.76,4.26,3.37,3824.46,3824.46,569.20,15846.97,607.54,731.95,7149.65,7149.65,1021.33,1863.04,587.44,17753.68,17380.74,19919.03,589.87,593.96,12605.38,1410.69,11351.81,18647.75,10356.90,568.55,507.73,612.96,18242.70,307.18,617.41,540.90,441.37,13819.41,210.89,174.88,995.27,503.05,868.27,608.41,359.89,13088.43,508.49,84.20
2006-11-20,dsm2,base,1005,16353.12,15369.93,3513.92,-9789.70,1958.22,8119.12,1.00,0.00,622.90,3.13,3.46,3.57,3.48,3568.70,3568.70,570.89,15825.67,608.26,726.14,6749.90,6749.90,1016.78,1668.28,587.76,17786.75,17449.55,19662.87,591.95,595.54,12634.41,1322.31,10875.10,18547.21,9974.16,570.13,509.77,608.96,17477.19,307.06,600.12,551.49,424.13,14011.49,211.95,175.35,917.65,499.05,810.10,610.22,363.27,13110.11,500.58,84.20
2006-11-21,dsm2,base,1005,16477.17,15532.66,3457.61,-10017.80,2035.44,7881.54,1.00,0.00,632.50,3.14,3.15,2.98,3.55,3171.66,3171.66,573.71,15803.80,620.52,716.39,6047.64,6047.64,998.51,1411.58,584.19,17732.42,17492.21,19108.22,589.14,592.65,12277.17,1176.32,10089.90,18215.41,9531.75,572.91,513.32,609.42,16278.74,304.64,581.55,561.26,396.70,13817.22,200.30,174.94,800.98,528.28,716.58,624.54,369.99,13059.84,509.05,84.20
2006-11-22,dsm2,base,1005,16910.67,15947.32,3407.41,-9272.40,1793.57,9252.11,1.00,0.00,640.40,3.01,3.00,2.62,3.51,2643.03,2643.03,571.01,15704.74,631.44,692.32,5095.08,5095.08,967.17,1086.49,571.93,17558.27,17435.10,18135.24,581.11,583.29,11241.63,992.09,8845.36,17646.61,8778.58,570.94,513.98,620.13,14759.39,300.82,579.39,571.37,359.19,13099.99,192.55,173.93,656.85,529.12,617.41,634.27,374.32,12910.23,516.51,79.40
2006-11-23,dsm2,base,1005,16855.26,16061.93,3333.82,-10254.70,1757.13,8177.26,1.00,0.00,647.10,2.98,2.99,2.64,3.54,2277.50,2277.50,563.46,15641.02,639.66,668.80,4454.37,4454.37,933.52,915.86,551.39,17304.08,17272.43,17149.53,565.30,567.65,10766.93,883.23,8046.25,16998.99,8170.34,563.16,515.34,630.87,13700.15,297.78,589.15,580.49,335.09,12467.83,188.00,173.35,581.21,542.86,561.76,642.33,380.35,12881.05,514.18,79.40
