datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2005-04-01,dsm2,base,61,43077.82,39614.21,13112.29,9034.50,1677.59,1345.52,332.07,45478.02,0.00,0.00,248.80,2.34,3.55,3.09,3.21,256.89,256.89,462.56,283.91,247.48,343.12,189.29,189.29,348.40,165.10,381.08,963.26,1239.81,428.48,429.84,424.62,870.86,261.14,197.23,3517.98,392.94,193.37,461.85,309.43,258.52,448.59,300.64,248.59,448.74,243.93,691.57,153.25,141.43,198.68,257.87,213.48,248.37,437.96,545.59,253.06,53.80
2005-04-02,dsm2,base,61,40774.68,37553.81,13474.60,9645.50,1420.25,1111.96,308.29,43183.53,0.00,0.00,230.17,2.74,3.66,3.57,3.25,254.11,254.11,458.70,286.34,243.89,337.85,187.67,187.67,345.87,164.16,363.03,885.99,1148.85,557.07,414.90,411.86,848.65,257.62,207.46,3748.85,418.02,194.60,458.68,366.42,257.54,620.79,278.04,254.42,455.98,227.48,646.55,147.40,139.52,198.90,282.79,219.38,242.44,407.97,533.91,296.20,53.80
2005-04-03,dsm2,base,61,37410.72,34302.67,13508.02,9054.90,511.45,492.87,18.58,41352.40,0.00,0.00,225.33,2.94,3.56,4.04,3.18,252.67,252.67,438.68,289.80,228.74,322.94,187.61,187.61,336.48,160.87,338.35,819.20,1041.13,676.60,388.35,384.28,853.72,251.07,211.29,4443.51,489.19,196.43,439.29,416.50,238.46,704.28,265.21,238.21,460.55,216.13,623.98,147.33,144.16,187.49,284.88,202.86,228.72,402.54,521.97,316.66,53.80
2005-04-04,dsm2,base,61,34554.69,31345.87,13428.06,10571.90,893.13,765.38,127.75,36517.73,0.00,0.00,232.78,3.12,3.69,4.13,3.33,250.78,250.78,423.45,292.73,228.53,314.69,187.72,187.72,332.61,160.54,328.18,780.85,965.53,749.64,370.84,366.99,842.41,245.19,211.04,4568.52,537.60,198.43,423.96,441.29,235.60,714.99,257.07,229.28,466.74,208.73,612.92,152.68,154.43,185.53,251.99,200.17,229.89,415.07,522.84,309.23,54.40
2005-04-05,dsm2,base,61,32724.97,28966.80,13481.52,11352.90,1974.18,1752.58,221.60,32879.41,0.00,0.00,230.10,2.98,4.30,4.12,3.81,241.86,241.86,389.11,303.71,235.27,301.15,191.48,191.48,329.08,165.22,301.59,735.48,904.18,922.90,343.66,340.65,832.72,241.56,235.63,5315.23,618.04,201.07,390.02,460.94,246.68,1070.16,249.73,237.23,474.41,205.29,598.87,158.83,160.29,184.49,295.99,197.45,235.63,441.92,518.09,339.22,54.40
2005-04-06,dsm2,base,61,30506.23,26807.25,13349.95,11248.90,1829.15,1601.39,227.76,30778.12,0.00,0.00,232.67,3.00,4.66,4.12,4.10,234.14,234.14,357.94,326.54,235.41,286.60,199.82,199.82,319.86,172.13,281.91,700.36,836.23,1397.24,319.64,316.29,838.33,237.91,325.69,7561.83,860.45,208.25,358.49,440.33,245.98,1868.86,240.62,239.43,482.23,203.80,610.27,162.97,166.42,186.22,298.24,196.84,235.86,441.87,501.36,350.38,59.60
2005-04-07,dsm2,base,61,29308.87,25582.78,13121.28,11791.90,1324.57,1275.58,48.99,29313.69,0.00,0.00,236.32,2.89,4.53,3.94,4.05,228.85,228.85,323.14,356.90,237.87,274.43,214.88,214.88,308.73,177.04,262.71,761.09,781.52,2046.90,293.09,290.98,834.22,234.66,434.43,9125.38,1223.51,223.86,323.43,400.67,245.58,2588.17,232.29,240.13,487.84,202.30,669.43,166.82,169.22,189.16,293.87,198.22,238.44,419.33,495.15,358.26,63.20
2005-04-08,dsm2,base,61,29030.87,24933.19,12743.49,12038.90,322.89,273.77,49.12,29412.58,0.00,0.00,228.20,2.42,4.68,3.22,4.11,231.38,231.38,300.39,376.80,233.94,266.19,210.71,210.70,296.81,179.62,256.86,850.83,772.68,2194.52,278.46,276.73,830.72,229.53,393.20,8565.63,1418.51,235.05,301.00,369.23,243.09,2182.33,228.32,242.01,490.58,199.25,743.01,168.75,167.93,191.56,256.06,199.94,233.69,379.33,498.08,312.64,61.00
2005-04-09,dsm2,base,61,27842.81,23655.25,11820.09,11720.90,1145.38,862.22,283.16,26796.63,0.00,0.00,244.96,2.10,4.69,2.64,4.06,230.34,230.34,285.82,412.16,236.65,259.41,214.00,214.00,291.23,180.87,249.84,937.55,803.63,2339.02,268.31,267.02,824.62,226.10,392.80,9329.34,1551.36,236.55,286.30,349.77,240.75,2262.28,225.35,232.26,490.00,196.76,823.81,169.28,167.00,191.36,237.06,198.84,239.13,354.25,502.81,288.81,61.60
2005-04-10,dsm2,base,61,27139.38,23742.27,10578.27,11484.90,1729.95,1412.75,317.20,24502.80,0.00,0.00,262.40,2.04,4.44,2.27,3.91,230.19,230.19,274.44,460.26,255.83,254.31,212.90,212.90,287.87,180.92,244.87,1029.97,853.94,2509.56,259.49,258.76,824.82,222.88,384.53,9449.62,1677.35,243.39,274.75,329.39,260.72,2211.12,223.65,246.82,486.42,194.39,958.31,169.83,169.64,192.19,255.60,199.10,257.77,337.50,506.86,291.77,61.80
2005-04-11,dsm2,base,61,27392.27,24318.47,10121.83,11455.90,1575.37,1325.34,250.03,24482.83,0.00,0.00,260.07,2.01,4.18,1.97,3.71,229.10,229.10,265.95,481.15,266.57,249.22,209.61,209.61,284.81,179.69,239.38,1062.81,912.36,2402.01,253.38,252.64,827.96,220.19,346.25,8982.81,1632.64,237.57,266.42,317.01,279.81,2028.56,223.31,264.44,480.02,193.12,966.18,171.23,168.84,190.53,271.15,196.70,266.72,328.26,521.73,297.73,61.00
2005-04-12,dsm2,base,61,28807.06,25940.35,9493.46,11451.90,1213.64,1008.71,204.93,25634.98,0.00,0.00,261.82,1.77,4.17,1.57,3.83,227.83,227.83,259.08,489.11,264.87,244.68,203.97,203.97,281.35,179.16,236.17,1087.24,967.52,2256.34,247.96,247.34,825.49,216.90,305.65,7967.24,1549.86,233.87,259.48,305.26,279.26,1528.57,223.49,269.84,470.32,191.60,956.05,170.63,159.35,190.46,273.31,196.37,265.41,323.64,538.30,297.15,59.60
2005-04-13,dsm2,base,61,29677.38,26978.19,9244.60,11424.90,1287.20,1004.15,283.05,26209.87,0.00,0.00,264.48,1.48,4.22,1.34,3.93,223.76,223.76,251.38,510.68,266.29,238.85,205.36,205.36,275.75,178.59,231.21,1119.02,1011.40,2199.38,241.68,241.08,817.28,214.37,313.22,8015.23,1517.30,230.40,251.60,293.44,280.78,1734.88,221.76,268.62,458.43,190.10,960.74,165.31,154.60,188.50,271.51,194.47,266.99,314.67,557.30,292.18,59.60
2005-04-14,dsm2,base,61,28456.71,25671.00,9316.83,11145.90,1554.67,1168.32,386.35,25072.98,0.00,0.00,261.27,1.57,4.18,1.58,3.82,222.02,222.02,243.53,528.81,267.10,233.17,205.78,205.78,268.78,174.47,225.55,1156.93,1049.27,2249.58,234.20,233.60,821.09,211.47,329.46,8423.65,1547.07,233.81,243.74,282.16,280.05,1766.35,221.11,269.69,444.27,186.91,965.50,160.90,154.26,185.49,274.00,191.07,267.15,305.12,567.28,286.56,59.60
