datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1991-04-01,dsm2,base,10,25247.00,24700.00,2080.00,10348.89,1674.60,1409.77,264.83,15303.51,0.00,1.00,602.94,1.60,3.12,2.26,2.69,365.55,365.55,352.46,367.66,435.61,364.82,279.18,279.18,450.30,164.58,326.74,3290.44,4203.49,2487.97,342.30,342.44,3947.75,332.17,566.72,7652.79,1458.16,282.59,352.56,399.94,527.26,2113.00,275.67,712.95,489.09,256.69,2498.39,146.00,137.22,203.81,464.36,229.00,484.51,435.85,2111.21,437.58,59.60
1991-04-02,dsm2,base,10,22320.00,21700.00,1840.00,10387.18,2019.11,1675.13,343.98,11753.71,0.00,1.00,761.90,2.01,2.67,1.82,2.61,367.25,367.25,337.48,331.30,480.70,359.39,230.00,230.00,439.18,160.96,324.21,3370.13,3872.13,2434.31,330.60,331.45,3742.68,309.43,427.23,6695.13,1212.36,277.17,337.57,389.83,534.61,1468.36,270.18,705.71,460.90,244.92,3074.02,149.23,166.30,194.29,429.89,232.06,583.53,429.96,2015.75,410.28,56.80
1991-04-03,dsm2,base,10,18960.00,18400.00,1680.00,10332.78,2565.41,2137.77,427.64,7741.81,0.00,1.00,898.90,1.76,2.87,1.66,2.77,352.35,352.35,329.02,318.76,575.28,343.64,234.49,234.49,421.10,159.52,313.46,3280.90,3747.05,2232.04,321.45,321.71,3405.20,304.04,411.21,6098.14,1177.81,254.50,329.06,380.26,602.93,1579.44,270.20,688.88,437.71,240.80,3105.61,170.41,190.93,206.09,449.33,234.12,720.64,434.20,2152.17,411.49,55.60
1991-04-04,dsm2,base,10,17266.00,16700.00,1570.00,10346.51,2833.79,2393.68,440.11,5655.70,0.55,1.00,993.92,1.83,3.11,1.87,2.94,319.13,319.13,319.29,301.24,654.07,332.47,268.37,268.37,407.12,173.87,299.24,3032.49,3576.83,2464.77,310.15,310.19,3199.08,310.04,563.79,7823.64,1223.72,290.39,319.33,372.15,688.19,2311.44,256.31,667.20,416.22,249.49,3049.17,185.58,206.80,214.87,466.17,236.04,850.73,432.97,2045.42,390.30,59.60
1991-04-05,dsm2,base,10,15904.00,15300.00,1480.00,10381.71,2638.93,2234.67,404.26,4363.36,1.00,1.00,1078.93,2.08,3.21,2.41,2.96,304.63,304.63,305.47,293.54,692.52,321.54,368.05,368.05,387.93,186.10,289.94,2837.65,3355.34,3089.92,296.83,296.88,3209.09,307.81,857.55,9440.63,1408.29,399.93,305.55,355.77,792.69,3162.17,248.21,648.51,396.57,254.68,2818.95,193.84,218.87,229.25,499.45,245.53,945.21,413.82,1941.03,379.79,63.20
1991-04-06,dsm2,base,10,14884.00,14200.00,1420.00,10402.36,2617.36,2278.74,338.62,3284.28,1.00,1.00,1138.94,2.66,3.44,3.41,3.06,307.17,307.17,294.76,329.53,717.55,313.04,504.97,504.97,372.90,203.05,287.02,2714.76,3121.74,3875.94,290.11,290.70,3198.93,301.50,1185.24,10695.11,1657.86,531.86,294.85,339.60,895.49,3937.48,248.09,631.79,378.50,258.51,2651.52,200.32,202.25,235.27,515.18,252.12,1021.61,399.80,1878.10,380.63,64.00
1991-04-07,dsm2,base,10,14384.00,13600.00,1380.00,9927.20,2627.40,2265.84,361.56,3209.40,1.00,1.00,1207.93,3.50,3.73,4.73,3.18,331.59,331.59,291.61,422.68,717.40,307.12,734.59,734.59,362.57,229.37,285.19,2588.87,2905.75,4867.47,289.12,289.42,3178.17,296.37,1698.27,12350.62,2088.28,714.70,291.83,328.38,975.52,4954.65,249.51,615.99,362.50,259.00,2631.21,204.68,206.39,239.39,482.01,253.28,1086.82,385.16,1790.84,371.93,66.20
1991-04-08,dsm2,base,10,14215.00,13500.00,1340.00,10389.38,3076.65,2658.88,417.77,2088.97,1.00,1.00,1242.96,4.16,3.62,5.98,3.00,445.69,445.69,290.71,573.25,681.34,302.24,1259.03,1259.03,350.74,293.96,283.08,2611.12,2708.01,6373.43,288.00,288.39,3119.35,294.41,2736.86,14596.87,2941.68,1098.30,290.90,320.18,1040.56,6963.47,251.86,604.05,347.14,261.18,2637.53,207.65,216.17,252.37,438.64,256.20,1122.26,361.37,1662.49,401.17,70.80
1991-04-09,dsm2,base,10,14051.00,13400.00,1280.00,10335.03,3113.42,2696.56,416.86,1882.54,1.00,1.00,1258.95,4.72,3.40,6.94,2.78,553.17,553.17,289.40,872.29,661.56,297.88,1596.75,1596.75,338.33,356.88,282.39,2813.20,2603.07,7354.29,286.55,286.87,3070.09,297.71,3340.12,14666.05,3581.39,1469.70,289.47,315.56,1079.15,7570.04,252.33,598.17,333.40,259.78,2773.97,209.16,226.50,270.96,446.57,264.66,1175.59,342.77,1645.29,393.38,70.80
1991-04-10,dsm2,base,10,13920.00,13300.00,1180.00,10225.13,3109.10,2765.94,343.16,1765.77,1.00,1.00,1268.96,4.91,3.37,7.13,2.80,634.77,634.77,287.76,1271.78,670.72,293.74,1821.69,1821.69,328.59,400.24,280.48,3122.62,2681.87,7760.94,284.60,284.70,3042.22,304.09,3680.15,14128.42,4137.74,1628.33,287.87,311.68,1078.73,7596.19,252.13,594.46,323.59,258.20,2946.46,211.67,235.20,280.60,456.07,270.32,1202.03,329.61,1693.07,395.93,70.80
