datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2002-01-01,dsm2,baseline,52,38933.40,4636.00,12250.93,-11163.67,45438.64,0.00,1.00,549.63,3.52,4.30,3.50,4.28,284.93,284.93,318.70,475.25,769.16,309.32,269.07,269.07,452.70,211.87,286.10,2532.99,2789.39,3534.98,296.17,296.29,2975.54,272.44,573.69,1930.49,293.46,318.50,389.96,998.92,2266.02,268.37,842.06,605.96,250.94,1631.25,212.93,207.50,229.60,641.74,240.79,735.29,504.62,1653.16,553.48,59.80
2002-01-02,dsm2,baseline,52,44037.40,4425.00,12229.16,-12053.09,58775.53,0.00,1.00,393.33,3.19,3.86,3.17,3.83,283.70,283.70,326.53,428.28,637.84,315.15,248.74,248.74,467.58,226.51,291.09,2320.84,2737.86,2921.35,301.35,301.30,2878.08,275.71,438.14,1682.54,269.64,326.90,408.57,996.65,1772.31,291.52,838.20,653.74,263.17,1485.40,211.50,181.73,240.77,630.74,249.35,596.23,538.14,1610.43,565.61,59.60
2002-01-03,dsm2,baseline,52,48479.20,4369.00,12116.12,-7362.67,53886.85,0.00,1.00,363.81,2.92,3.55,2.90,3.54,288.59,288.59,331.03,363.09,485.94,312.24,238.78,238.78,452.81,216.11,296.42,2301.59,2656.66,2097.14,305.08,304.64,2829.29,276.89,282.14,1172.60,256.96,331.38,416.06,907.15,825.29,332.33,776.00,600.54,268.95,1389.38,182.81,151.54,232.80,599.15,244.77,455.37,569.18,1668.64,532.94,54.40
2002-01-04,dsm2,baseline,52,55717.20,5952.00,11991.35,-5773.73,62750.38,0.00,1.00,320.00,2.58,3.45,2.56,3.45,286.59,286.59,325.77,327.05,409.59,312.40,220.97,220.97,435.14,185.33,298.93,2127.64,2624.42,1379.57,305.41,304.96,2794.74,274.92,254.04,867.88,240.30,326.31,409.26,776.45,571.29,374.26,629.07,568.22,269.96,1344.66,166.40,140.89,211.55,511.56,230.24,399.02,558.49,1651.50,478.56,53.80
2002-01-05,dsm2,baseline,52,63426.00,5124.00,6075.07,-4501.11,101797.24,0.00,1.00,355.39,2.34,3.49,2.33,3.49,284.28,284.28,327.44,292.98,362.65,311.10,188.29,188.29,418.53,161.37,302.31,1997.82,2504.39,885.69,309.19,308.31,2765.37,267.18,214.73,634.16,208.97,328.57,419.34,655.71,357.82,415.50,488.46,549.38,260.35,1315.34,152.49,138.38,193.55,462.83,213.89,365.55,671.65,1582.13,453.76,53.80
2002-01-06,dsm2,baseline,52,70263.60,4359.00,5738.93,-4510.87,109228.04,0.00,1.00,325.01,2.39,3.59,2.40,3.60,273.59,273.59,338.01,256.64,395.01,309.77,169.51,169.51,402.63,150.00,306.84,1872.07,2336.35,513.91,316.27,315.19,2659.42,259.83,186.19,457.53,182.53,338.65,437.84,656.85,253.58,456.28,422.80,537.27,254.59,1264.86,145.92,136.95,183.21,468.21,205.99,390.46,707.87,1516.63,467.92,53.80
2002-01-07,dsm2,baseline,52,72107.20,4073.00,5698.07,-968.31,94636.44,0.00,1.00,380.79,2.68,3.82,2.70,3.83,262.88,262.88,346.50,221.63,366.46,307.70,163.71,163.71,378.17,144.26,309.68,1730.82,2162.47,329.99,320.15,318.97,2510.01,252.46,175.59,368.61,169.45,347.62,449.80,626.14,228.14,476.67,430.09,521.58,248.59,1168.39,138.32,129.33,177.69,499.97,202.63,364.74,669.43,1439.35,496.38,53.80
2002-01-08,dsm2,baseline,52,70936.80,3588.00,5783.29,373.93,83840.88,0.00,1.00,376.70,3.04,3.88,3.06,3.87,254.00,254.00,344.60,198.87,397.23,304.54,155.23,155.23,364.03,138.15,307.72,1501.43,1957.02,268.00,320.24,319.05,2331.00,242.73,169.25,319.04,162.26,345.22,444.42,506.59,225.38,460.12,435.70,494.98,234.23,1075.38,132.77,125.93,164.36,477.86,187.98,398.55,628.59,1323.82,489.24,53.80
2002-01-09,dsm2,baseline,52,69469.40,3133.00,5832.14,735.80,76170.76,0.00,1.00,468.77,3.27,3.74,3.28,3.73,246.12,246.12,342.18,185.62,388.96,300.97,152.80,152.80,353.25,138.34,302.65,1304.47,1725.02,244.97,319.73,318.51,2208.92,234.04,165.11,295.04,160.18,342.84,437.43,487.38,222.56,436.11,419.41,472.20,223.13,958.12,136.69,133.79,160.96,474.33,180.58,389.06,571.70,1229.27,472.31,53.80
2002-01-10,dsm2,baseline,52,68233.00,2756.00,11685.04,1001.51,62935.15,0.00,1.00,574.96,3.51,3.61,3.53,3.60,237.11,237.11,332.01,177.27,426.66,294.08,156.88,156.88,341.65,144.70,294.28,1135.81,1500.53,237.02,314.42,312.75,2142.72,227.50,164.27,272.31,162.25,332.42,415.39,481.52,219.79,404.15,414.31,448.89,214.42,882.98,145.52,141.34,164.60,450.71,179.40,475.62,539.00,1184.75,454.57,53.80
2002-01-11,dsm2,baseline,52,66290.40,2594.00,11809.40,1248.91,59328.09,0.00,1.00,637.88,3.75,3.59,3.75,3.59,227.96,227.96,318.07,173.83,498.54,284.39,162.25,162.25,331.69,150.39,276.60,963.36,1299.49,242.65,301.32,299.07,2079.56,223.11,165.01,257.13,166.09,318.61,394.95,548.09,241.41,356.38,416.98,432.03,205.16,824.44,146.72,139.79,166.07,449.92,177.33,577.58,520.44,1144.41,440.34,53.80
2002-01-12,dsm2,baseline,52,63191.70,2469.00,11867.88,1191.64,55842.58,0.00,1.00,677.08,3.63,3.69,3.62,3.70,219.91,219.91,301.69,173.97,584.87,272.62,162.47,162.47,319.29,149.72,259.94,786.09,1120.00,268.60,283.89,282.09,1971.30,218.96,166.75,253.25,166.73,302.39,379.90,620.27,293.91,312.13,418.23,421.90,197.78,770.98,144.15,140.98,163.10,468.96,174.65,639.58,506.92,1075.16,442.90,53.80
2002-01-13,dsm2,baseline,52,57926.00,2350.00,11956.57,1368.42,49910.31,0.00,1.00,716.28,3.50,3.73,3.49,3.73,213.46,213.46,285.37,174.04,637.99,261.26,159.99,159.99,306.57,149.28,246.21,675.72,963.73,309.64,267.26,265.71,1848.66,214.55,167.23,255.07,163.50,285.52,364.21,670.51,346.63,278.24,422.56,414.40,192.04,723.22,148.45,145.61,162.15,486.02,172.68,677.98,494.49,1001.35,445.97,53.80
2002-01-14,dsm2,baseline,52,51484.40,2245.00,11947.00,1298.79,42200.61,0.00,1.00,737.89,3.25,3.67,3.23,3.67,208.32,208.32,268.21,171.74,673.30,251.60,159.60,159.60,294.46,153.12,235.05,602.21,837.67,358.73,253.33,251.99,1723.56,210.70,167.75,267.65,160.93,268.93,346.37,702.86,416.73,251.94,432.15,406.15,188.46,660.67,152.07,149.26,164.82,490.62,174.36,717.42,474.71,944.99,435.68,53.80
2002-01-15,dsm2,baseline,52,45456.40,2164.00,11820.00,1411.09,34972.41,0.00,1.00,775.38,2.92,3.58,2.90,3.57,205.28,205.28,255.03,168.55,708.93,242.88,161.58,161.58,285.63,156.71,227.21,560.76,745.91,412.64,242.52,241.43,1659.66,207.95,170.96,283.67,161.96,255.61,329.59,741.18,467.93,235.72,447.14,395.21,187.39,660.57,155.45,153.80,168.09,482.65,176.25,742.40,451.22,915.45,422.80,53.80
2002-01-16,dsm2,baseline,52,40150.00,2097.00,11916.00,1333.94,29516.56,0.00,1.00,800.39,2.62,3.45,2.59,3.45,204.75,204.75,247.06,166.48,738.33,237.35,163.59,163.59,279.91,160.01,222.32,539.05,685.01,461.38,234.61,234.07,1622.70,205.67,173.44,294.25,163.70,247.43,314.36,765.77,493.38,225.26,468.97,381.89,186.90,682.01,160.31,160.88,170.48,481.17,178.21,777.29,428.26,894.74,378.02,53.80
2002-01-17,dsm2,baseline,52,37211.90,2028.00,11823.00,1209.81,26690.19,0.00,0.00,822.09,2.07,3.39,2.03,3.38,201.77,201.77,236.83,170.29,769.30,232.95,166.17,166.17,276.11,164.06,217.53,515.03,651.15,539.79,227.89,227.50,1578.72,205.18,178.57,354.99,164.39,236.91,301.32,798.41,587.83,216.73,494.26,369.64,188.39,735.88,166.69,168.42,174.07,473.80,180.85,804.55,405.81,880.78,346.87,53.80
2002-01-18,dsm2,baseline,52,35048.20,1965.00,11526.00,1228.17,24726.23,0.00,0.00,827.90,1.53,3.30,1.51,3.29,201.20,201.20,231.41,179.19,799.93,229.22,168.91,168.91,274.91,170.06,214.44,522.52,636.42,612.76,222.69,222.47,1538.23,204.95,183.35,403.95,165.92,231.49,291.78,824.64,640.90,212.09,522.46,358.86,190.57,864.74,171.85,173.51,179.06,473.71,184.90,826.89,387.15,879.80,325.04,53.80
2002-01-19,dsm2,baseline,52,31755.90,1919.00,11651.00,1032.73,21448.87,0.00,0.00,854.58,1.19,3.17,1.17,3.17,201.19,201.19,225.50,186.84,823.56,228.65,172.26,172.26,276.12,174.51,212.70,550.50,640.10,682.51,218.38,218.38,1492.91,205.05,187.00,440.50,168.16,225.47,283.86,844.14,667.21,209.09,550.64,349.09,193.01,1259.00,176.31,179.32,183.04,482.93,188.65,838.28,368.35,875.61,312.06,53.80
