datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2013-01-01,dsm2,base,80,47387.95,43684.00,2342.00,4100.00,2244.23,43385.71,0.00,0.00,489.00,2.62,3.98,2.53,3.66,201.72,201.72,300.24,654.22,397.72,241.97,150.85,150.85,277.94,137.77,246.14,1881.16,2554.73,335.23,264.69,262.76,5046.21,191.94,154.25,635.10,153.72,301.05,405.01,427.59,289.38,272.83,454.50,430.67,178.13,3129.04,140.51,138.06,152.56,435.83,161.45,409.87,423.66,3619.30,416.03,53.80
2013-01-02,dsm2,base,80,42242.81,38309.00,2120.00,5819.00,2281.45,36262.35,0.00,0.00,567.96,2.00,3.99,1.94,3.71,193.63,193.63,281.85,615.79,416.20,235.09,152.57,152.57,270.58,142.95,236.96,1622.84,2347.90,422.27,255.81,254.28,4695.01,191.28,159.58,581.23,156.29,282.77,374.64,444.40,491.70,258.56,432.35,418.50,177.46,2778.81,146.86,146.85,155.21,414.35,163.04,477.54,381.14,3288.28,401.43,53.80
2013-01-03,dsm2,base,80,39426.80,35360.00,1951.00,5615.00,2246.53,33516.27,0.00,0.00,622.97,1.70,3.94,1.56,3.70,193.01,193.01,264.86,574.55,482.10,230.32,152.58,152.58,261.87,149.02,230.45,1601.68,2164.14,486.68,246.58,244.99,4552.64,189.46,160.81,584.89,158.29,265.67,346.20,472.48,492.32,250.98,420.07,397.98,176.23,2902.42,152.65,156.39,160.36,385.32,166.63,551.32,362.42,3108.84,384.85,53.80
2013-01-04,dsm2,base,80,37410.07,33318.00,1867.00,4076.00,2237.91,32963.15,0.00,0.00,675.97,1.60,3.92,1.45,3.70,192.31,192.31,254.73,539.03,548.60,225.22,155.33,155.33,254.64,154.50,225.74,1593.96,2055.16,548.19,239.11,237.94,4468.23,188.76,163.66,600.23,160.31,255.67,332.40,525.95,521.35,245.51,416.00,378.51,176.64,3003.63,160.01,168.33,165.63,391.52,170.93,608.96,364.37,3011.95,400.73,53.80
2013-01-05,dsm2,base,80,34286.75,30282.00,1814.00,3709.00,339.53,32052.22,0.00,0.00,714.98,1.78,3.93,1.73,3.70,192.18,192.18,252.21,509.30,610.01,221.44,159.54,159.54,248.80,161.94,223.15,1596.21,1976.96,603.91,234.86,234.04,4365.78,189.01,170.32,625.91,163.11,253.12,333.56,582.69,550.16,244.64,416.86,361.85,179.44,3175.02,169.11,178.47,172.01,439.13,175.37,663.87,377.98,2974.68,437.46,53.80
2013-01-06,dsm2,base,80,32230.05,28376.00,1868.00,2778.00,-689.16,32009.21,0.00,0.00,738.99,2.31,3.97,2.54,3.57,191.58,191.58,255.54,488.26,667.45,219.08,165.42,165.42,244.92,170.77,221.29,1563.58,1927.21,686.73,233.44,232.38,4247.07,190.39,181.32,668.67,167.61,256.75,341.61,639.19,633.09,247.44,425.88,346.56,184.61,3077.32,175.89,183.26,178.08,437.09,179.62,710.25,413.87,2930.36,470.30,53.80
2013-01-07,dsm2,base,80,30439.57,27056.00,1983.00,6181.00,-681.10,26922.68,0.00,0.00,737.00,2.90,3.98,3.42,3.40,191.68,191.68,257.52,479.10,714.31,217.72,172.68,172.68,243.52,178.26,220.67,1490.49,1869.93,824.17,232.93,231.58,4059.56,192.28,199.42,729.68,174.33,258.88,345.55,698.97,765.63,250.97,447.65,331.67,190.07,2883.40,181.24,190.30,182.95,452.11,184.03,742.23,457.04,2862.79,489.33,53.80
2013-01-08,dsm2,base,80,28950.34,26034.00,2173.00,4975.00,-529.84,26678.18,0.00,0.00,679.03,3.43,3.86,4.46,3.27,191.92,191.92,255.16,481.62,741.17,216.84,181.13,181.13,241.99,183.60,219.68,1415.13,1783.81,1025.42,230.87,229.96,3875.94,194.69,232.83,834.03,183.95,255.56,346.02,743.13,992.56,251.01,481.37,319.39,194.71,2643.00,186.40,194.39,187.24,565.99,188.23,753.72,483.59,2824.45,507.66,54.40
2013-01-09,dsm2,base,80,27565.07,25076.00,2267.00,4784.00,-833.03,25881.10,0.00,0.00,680.00,3.77,3.84,5.30,3.12,193.52,193.52,256.71,488.78,743.28,216.63,189.22,189.22,239.15,188.57,220.92,1371.79,1684.57,1181.53,231.34,230.43,3785.26,197.23,262.16,941.64,194.00,257.01,350.52,767.97,1098.53,256.07,529.81,312.26,200.22,2488.49,190.16,197.92,191.74,634.53,192.49,710.65,511.46,2812.79,556.59,54.40
2013-01-10,dsm2,base,80,26970.78,24650.00,2200.00,4519.00,403.64,24248.15,0.00,0.00,653.01,3.98,3.97,5.89,3.14,195.31,195.31,257.41,512.14,694.07,216.94,199.58,199.58,236.37,192.48,222.61,1327.07,1597.50,1344.65,232.38,231.43,3679.27,199.80,307.20,1042.80,206.18,257.76,354.21,767.67,1277.19,260.11,587.55,307.13,204.90,2400.11,192.90,198.11,195.27,663.20,196.08,689.80,529.71,2734.49,579.81,54.40
