datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2013-01-01,dsm2,baseline,76,62366.67,2784.92,2161.13,578.17,66116.24,0.00,1.00,0.00,2.46,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.80
2013-01-02,dsm2,baseline,76,55252.54,2482.60,2945.13,663.21,58060.60,0.00,1.00,567.24,2.31,4.04,0.32,0.32,6.19,0.02,5.02,5.04,0.08,0.08,18.04,0.61,2.31,0.08,0.11,125.70,3.01,2.99,0.02,1.49,6.17,34.06,0.01,6.17,17.87,17.57,380.61,2.36,1.82,2.71,3.12,0.17,8.13,76.58,1.39,5.19,1.55,21.39,9.78,0.12,6.05,53.80
2013-01-03,dsm2,baseline,76,48583.37,2198.51,4664.13,696.22,49488.33,0.00,1.00,622.97,2.31,4.03,2.59,2.59,16.61,0.08,209.30,10.16,3.17,3.17,36.59,46.23,7.51,4.18,0.65,178.49,9.87,9.47,0.05,7.29,3.87,58.35,0.62,16.71,38.75,37.73,209.20,6.48,4.33,24.35,22.05,0.76,112.69,156.68,46.77,16.85,37.85,440.95,26.08,0.45,17.39,53.80
2013-01-04,dsm2,baseline,76,43183.74,1983.29,4460.13,772.92,44026.05,0.00,1.00,675.97,2.33,4.09,7.84,7.84,24.23,0.27,539.14,15.18,50.25,50.32,47.67,121.71,13.01,9.38,1.97,225.15,14.41,13.90,0.12,24.73,18.38,77.65,23.23,24.43,52.60,247.61,223.11,13.78,11.50,54.09,52.83,1.24,134.38,168.54,87.90,46.36,68.10,624.29,41.55,0.91,45.74,53.80
2013-01-05,dsm2,baseline,76,40184.31,1834.05,2921.13,-1025.36,44127.34,0.00,1.00,714.97,2.42,4.07,17.58,17.58,30.43,4.04,629.89,21.41,90.76,90.76,50.06,139.12,20.80,17.50,5.59,286.61,19.64,19.25,0.21,41.03,57.01,94.85,68.37,30.75,65.21,493.59,268.85,25.26,21.49,77.67,74.06,3.17,146.11,178.29,103.94,175.73,83.25,676.05,68.03,1.50,210.63,53.80
2013-01-06,dsm2,baseline,76,38074.99,1782.36,2554.13,-1945.46,43102.74,0.00,1.00,738.98,2.41,4.06,30.38,30.38,39.88,26.89,678.22,28.41,109.18,109.18,52.49,148.88,29.00,27.17,12.84,338.26,27.27,26.70,0.40,54.18,87.63,118.64,96.66,40.24,81.56,606.63,318.88,37.65,47.60,93.31,90.91,10.04,154.56,184.08,114.73,257.65,94.23,715.36,153.30,2.82,321.77,53.80
2013-01-07,dsm2,baseline,76,34957.56,1772.37,1623.13,-1822.37,40312.75,0.00,1.00,737.00,2.37,3.93,43.43,43.43,52.15,57.79,717.27,36.84,120.23,120.23,59.95,154.79,37.59,41.29,24.29,408.62,36.89,36.13,0.88,67.15,108.40,147.87,110.26,52.53,106.74,663.54,387.57,52.09,116.21,101.00,105.72,18.36,163.25,190.16,123.57,440.33,108.11,747.28,277.39,5.57,387.83,53.80
2013-01-08,dsm2,baseline,76,32967.00,1878.60,5026.13,-1554.94,34290.75,0.00,1.00,679.03,2.38,3.80,55.99,55.99,64.23,81.88,746.72,45.40,127.69,127.69,69.96,161.42,45.32,57.24,37.56,447.17,45.81,45.05,1.73,79.58,121.54,178.98,118.85,64.76,133.93,711.09,408.27,66.56,230.83,104.03,119.99,24.03,169.08,194.22,133.72,582.49,119.36,763.33,440.05,10.86,521.22,53.80
2013-01-09,dsm2,baseline,76,31556.86,2053.78,3820.13,-1745.40,34024.97,0.00,1.00,680.00,2.34,3.80,68.32,68.32,71.78,97.47,754.03,54.63,134.11,134.11,78.84,166.77,54.49,76.85,53.25,501.31,51.93,51.33,3.48,90.38,133.96,213.11,125.66,72.06,142.25,743.39,463.31,83.08,351.98,106.65,132.69,26.95,174.32,197.52,143.78,663.63,130.42,729.38,530.51,18.08,583.86,53.80
2013-01-10,dsm2,baseline,76,30451.21,2309.24,3629.13,-403.78,31855.88,0.00,1.00,653.01,2.25,3.91,79.74,79.74,76.63,107.77,704.47,64.72,140.55,140.55,87.42,171.72,64.22,98.22,71.69,587.40,59.55,59.15,7.02,100.25,148.40,259.62,132.70,77.30,154.10,751.41,548.77,99.77,457.58,112.05,143.75,20.69,178.48,198.00,151.16,720.64,138.86,696.08,491.70,27.22,629.02,53.80
