datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2005-04-01,dsm2,baseline,63,41350.10,14391.67,6047.65,1677.59,51480.13,0.00,0.00,248.80,2.68,3.55,256.05,256.05,446.14,527.64,247.50,343.09,189.51,189.51,349.44,165.32,379.93,1294.45,1668.78,452.01,427.65,424.18,1292.79,262.09,195.75,544.47,194.33,445.75,288.49,254.25,499.61,300.82,247.94,446.15,244.64,1178.08,152.71,141.38,194.77,261.98,213.72,248.38,408.83,1035.88,252.00,53.80
2005-04-02,dsm2,baseline,63,37580.40,14325.00,5457.00,1420.25,48249.01,0.00,0.00,230.17,2.71,3.74,254.82,254.82,435.41,491.79,243.47,340.41,191.36,191.36,348.15,163.52,369.17,1142.09,1541.54,509.64,421.50,418.12,1324.65,258.75,198.15,513.10,194.53,434.82,299.18,255.24,633.14,281.93,254.40,452.95,232.52,1100.28,148.06,139.51,188.57,262.06,207.03,242.26,392.79,989.88,255.86,53.80
2005-04-03,dsm2,baseline,63,34086.80,14395.83,6974.00,511.45,44105.24,0.00,0.00,225.33,2.93,3.56,254.67,254.67,426.06,461.72,228.63,338.21,190.14,190.14,346.06,159.81,367.45,1069.83,1417.40,578.81,415.09,412.84,1327.03,253.39,200.29,524.52,197.58,425.64,296.89,235.87,722.92,271.04,237.30,456.95,222.03,1025.82,147.41,144.20,186.72,240.78,204.77,228.61,377.73,939.47,247.59,54.20
2005-04-04,dsm2,baseline,63,31209.20,14279.17,7755.00,893.13,40049.06,0.00,0.00,232.78,3.02,3.32,253.29,253.29,415.68,431.21,228.61,336.76,188.89,188.89,346.06,159.95,369.70,1033.53,1308.24,654.80,408.54,405.96,1297.49,247.41,203.65,556.95,200.94,414.79,293.34,233.92,714.54,266.31,229.10,462.42,215.00,956.48,152.20,154.44,190.99,232.98,204.88,229.91,354.44,902.78,238.20,53.80
2005-04-05,dsm2,baseline,63,28578.00,14058.33,7651.00,1974.18,36769.33,0.00,0.00,230.10,3.15,3.53,251.96,251.96,412.10,412.31,235.09,332.58,189.70,189.70,347.20,164.68,362.20,993.29,1223.26,674.27,401.51,398.28,1237.50,243.75,206.49,575.80,203.08,411.77,324.92,245.56,653.87,262.66,237.62,469.14,212.02,983.21,159.00,160.36,191.48,247.90,202.12,235.44,325.24,886.72,244.64,53.80
2005-04-06,dsm2,baseline,63,26994.00,13683.33,8194.00,1829.15,34353.15,0.00,0.00,232.67,3.23,3.67,248.56,248.56,411.76,412.47,235.29,323.48,192.56,192.56,343.38,171.15,350.94,916.72,1145.48,834.52,391.54,388.11,1210.79,240.75,224.62,644.91,206.93,411.65,348.04,246.10,853.89,254.26,239.44,475.10,210.40,914.11,163.56,166.53,192.99,247.08,202.50,235.75,320.15,854.11,253.23,54.40
2005-04-07,dsm2,baseline,63,26071.10,12750.00,8441.00,1324.57,32781.62,0.00,0.00,236.32,3.42,3.68,244.95,244.95,406.43,419.40,237.88,312.46,197.00,197.00,334.84,176.49,333.74,883.57,1059.04,1121.73,374.20,370.89,1185.61,238.32,257.94,789.89,213.33,407.43,382.10,247.74,1154.24,244.85,240.22,478.99,208.11,840.76,167.70,169.15,195.72,249.26,203.24,238.44,330.64,821.58,276.93,54.40
2005-04-08,dsm2,baseline,63,24498.10,11483.33,8123.00,322.89,31633.22,0.00,0.00,228.20,3.51,3.47,243.85,243.85,400.12,429.01,234.13,305.00,201.19,201.19,324.89,180.27,324.05,900.23,1000.11,1271.34,359.54,356.68,1151.67,235.49,269.86,907.58,217.32,401.78,403.84,248.93,1156.25,237.87,242.29,480.39,205.06,827.80,169.50,167.88,196.52,254.43,203.14,234.01,348.76,802.43,293.57,54.40
2005-04-09,dsm2,baseline,63,24495.90,10987.50,7887.00,1145.38,30638.59,0.00,0.00,244.96,3.39,3.30,240.51,240.51,391.25,444.96,236.75,295.85,207.04,207.09,316.11,182.73,312.72,930.38,970.01,1436.21,347.30,342.99,1118.08,233.03,293.67,1008.13,223.64,392.52,418.64,246.47,1183.09,233.24,234.09,479.73,202.00,837.81,169.86,167.14,197.22,261.70,203.86,239.13,372.90,802.75,284.95,54.40
2005-04-10,dsm2,baseline,63,25093.20,10304.17,7858.00,1729.95,29206.53,0.00,0.00,262.40,3.28,3.42,239.35,239.35,384.04,460.43,256.39,290.68,208.27,208.27,312.86,182.62,306.33,951.06,970.57,1403.25,338.24,335.60,1074.20,230.67,284.74,1038.44,225.08,386.03,430.47,269.21,1105.65,232.41,247.12,478.15,199.48,839.63,170.21,169.65,195.48,277.94,201.82,258.03,378.31,797.63,307.07,54.40
