datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,cu_sbay,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2011-10-21,RMA,suisun,2,17095.10,4418.00,10382.00,11156.66,1.00,0.00,256.54,4.87,3.37,17921.46,1536.81,800.80,592.08,143.93,5441.15,5441.15,455.64,12722.36,247.92,805.23,7516.50,7516.50,1267.58,1840.86,706.80,15020.03,13790.51,15145.89,522.63,539.64,14053.98,1973.22,10909.35,22559.69,14717.07,10074.85,454.98,414.29,360.44,15972.67,305.95,606.70,439.31,350.92,13070.72,328.47,122.37,1247.42,410.92,1187.96,252.03,378.28,12890.31,405.64,88.14
2011-10-22,RMA,suisun,2,16658.40,4316.00,9868.00,11158.69,1.00,0.00,261.04,5.05,3.35,17480.20,1564.37,769.51,624.03,170.83,4849.00,4849.00,488.41,12967.57,258.31,842.08,6782.85,6782.85,1279.60,1503.59,728.91,15153.19,14063.49,15155.57,563.81,581.98,14062.96,1817.95,10351.13,22756.56,14867.80,9841.49,487.19,429.40,321.62,15769.36,307.14,484.01,435.25,323.79,13185.38,283.36,122.26,1085.42,383.36,1087.34,260.81,380.36,13179.62,383.63,87.34
2011-10-23,RMA,suisun,2,16146.90,4468.00,11620.00,8937.44,1.00,0.00,256.54,4.83,3.33,16904.80,1658.02,815.36,649.94,192.72,4380.62,4380.62,524.82,13111.39,262.29,865.37,6180.57,6180.57,1278.73,1267.39,738.01,15153.83,14281.73,15063.98,598.90,618.24,14142.38,1701.37,9843.36,22911.38,14878.79,9627.24,524.03,452.56,306.95,15584.45,303.70,398.32,442.67,313.18,13336.72,253.86,122.57,956.53,380.12,1004.94,262.87,371.79,13375.26,399.73,86.30
2011-10-24,RMA,suisun,2,15746.50,4446.00,12170.00,8602.60,1.00,0.00,261.46,4.37,3.25,17150.35,1656.37,823.74,644.64,187.99,4019.68,4019.68,555.38,13171.29,261.59,881.05,5738.97,5738.97,1279.63,1070.91,744.56,15087.02,14397.64,14941.94,624.82,645.13,14218.48,1612.09,9406.74,23056.40,14820.92,9451.19,555.32,481.75,303.32,15403.53,298.03,353.54,460.51,307.71,13481.38,232.59,122.44,850.31,379.22,946.70,262.68,368.25,13498.27,424.13,85.37
2011-10-25,RMA,suisun,2,15515.50,4565.00,10971.00,9891.65,1.00,0.00,251.13,3.78,3.27,16919.59,1378.21,621.94,609.46,146.81,3712.77,3712.77,580.85,13247.97,261.28,886.29,5474.50,5474.50,1283.77,936.06,730.85,15051.13,14459.00,14854.57,648.13,667.49,14282.23,1527.86,9090.17,23351.96,14795.11,9289.34,580.75,506.74,294.96,15328.58,292.15,329.10,487.44,303.90,13619.93,220.46,125.19,760.48,367.46,893.65,261.34,374.12,13599.36,438.44,84.66
2011-10-26,RMA,suisun,2,14965.50,4443.00,10704.00,9339.47,1.00,0.00,249.96,3.04,3.32,16082.66,1244.10,482.19,612.58,149.33,3330.11,3330.11,605.48,13285.09,255.61,873.83,5026.83,5026.83,1265.20,771.28,672.26,14950.96,14494.03,14731.08,659.41,676.43,14330.19,1389.55,8526.19,23227.46,14717.07,9111.09,605.23,528.54,285.38,14951.68,287.39,313.02,517.26,288.04,13729.58,204.58,127.11,677.91,355.21,835.54,255.88,380.82,13669.19,441.42,83.80
2011-10-27,RMA,suisun,2,15281.20,4579.00,10674.00,9653.54,1.00,0.00,239.17,2.41,3.25,16138.59,1186.30,390.05,631.28,164.97,2964.36,2964.36,614.48,13261.45,250.76,849.30,4455.33,4455.33,1229.66,618.18,643.26,14767.64,14488.97,14507.90,640.90,656.36,14355.60,1253.03,7815.41,22784.73,14548.00,8954.72,615.48,541.96,283.96,14325.38,281.49,301.55,543.15,260.46,13804.62,189.00,126.74,597.54,352.93,766.13,251.12,384.38,13698.94,456.88,82.74
2011-10-28,RMA,suisun,2,15229.50,4419.00,10619.00,9561.23,1.00,0.00,250.58,1.81,3.23,16110.96,1134.91,349.73,625.44,159.74,2681.59,2681.59,597.94,13212.55,247.69,821.46,3955.79,3955.79,1197.62,503.85,631.44,14559.58,14437.26,14252.00,621.41,638.76,14356.46,1154.53,7185.58,22371.28,14351.87,8833.34,600.34,545.48,284.77,13739.02,273.62,292.49,565.80,243.46,13847.38,175.86,126.90,520.28,356.76,697.94,250.32,387.65,13699.84,473.29,81.52
2011-10-29,RMA,suisun,2,14748.80,4280.00,10808.00,8984.99,1.00,0.00,264.00,1.36,3.33,15708.94,988.99,195.95,629.71,163.33,2517.20,2517.20,578.11,13211.47,256.46,797.62,3699.26,3699.26,1171.33,443.92,612.94,14429.32,14358.21,14112.93,609.28,628.36,14337.91,1096.88,6855.76,22371.17,14243.05,8750.91,580.50,539.84,284.19,13495.59,264.44,285.27,585.68,240.07,13875.42,167.06,128.90,468.81,363.89,663.15,260.72,391.62,13701.93,484.86,80.64
2011-10-30,RMA,suisun,2,14216.40,4349.00,11025.00,8719.79,1.00,0.00,255.29,1.19,3.52,15491.10,916.11,95.32,644.86,175.93,2465.14,2465.14,563.37,13275.15,264.83,781.71,3651.90,3651.90,1152.56,422.02,599.68,14444.86,14281.69,14155.99,598.46,618.39,14308.54,1074.91,6848.91,22797.06,14277.01,8624.81,565.68,528.48,290.22,13648.46,255.02,280.71,598.86,245.40,13896.74,162.30,129.15,452.12,374.02,656.29,266.68,386.86,13717.34,478.93,80.11
