datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2015-01-01,dsm2,baseline,82,18284.40,1139.00,5652.00,3185.99,12765.89,0.00,1.00,1148.08,3.24,3.87,3.25,3.87,262.95,262.95,293.30,242.22,1176.08,283.25,232.42,232.42,325.28,208.68,272.25,1472.86,1743.88,1452.00,281.74,281.29,2833.70,255.94,354.25,807.87,227.00,293.68,354.32,1168.78,1321.83,235.92,755.80,549.15,225.92,3634.27,209.40,232.90,223.93,514.33,230.55,1177.48,379.00,1539.33,487.51,54.40
2015-01-02,dsm2,baseline,82,16144.20,1121.00,6046.00,3213.12,9681.33,0.00,1.00,1132.06,3.17,3.90,3.15,3.91,247.51,247.51,280.44,250.02,1172.78,275.29,302.33,302.33,315.02,213.91,262.89,1306.67,1599.50,2154.42,272.33,271.93,2804.13,260.27,641.74,1081.68,279.45,280.65,332.65,1171.91,2446.38,232.04,741.37,509.03,234.32,2864.01,216.56,240.07,226.06,449.20,230.77,1174.18,367.78,1392.04,420.42,59.60
2015-01-03,dsm2,baseline,82,14560.20,1091.00,5775.00,3248.05,7924.67,0.00,1.00,1115.06,2.82,3.94,2.80,3.93,253.52,253.52,276.47,264.75,1173.56,271.97,350.38,347.64,305.84,221.24,263.35,1330.14,1490.82,2517.62,268.59,268.38,2912.27,255.86,754.81,1358.62,321.48,276.86,332.78,1173.99,2529.34,235.96,747.12,475.07,236.87,2811.03,221.40,249.04,230.64,476.86,235.41,1155.85,359.09,1305.83,486.44,60.60
2015-01-04,dsm2,baseline,82,13548.60,1068.00,6212.00,3285.74,6085.21,0.00,1.00,1070.16,2.58,3.69,2.56,3.68,260.89,260.89,271.69,294.16,1170.97,268.76,441.38,441.38,299.67,229.30,261.56,1388.11,1446.93,3093.73,265.80,265.69,2967.00,254.45,979.94,1609.61,430.94,272.04,322.57,1170.95,3046.92,238.37,743.87,445.75,238.94,2808.76,225.77,256.33,234.23,453.05,238.29,1141.18,346.65,1236.41,443.87,63.20
2015-01-05,dsm2,baseline,82,12848.40,1048.00,4877.00,3274.77,6536.69,0.00,1.00,1061.03,2.34,3.60,2.32,3.60,266.75,266.75,271.20,337.36,1167.98,266.11,475.89,475.89,295.22,236.70,260.65,1448.95,1482.33,3411.65,264.41,264.24,2996.13,252.79,1052.68,1695.68,493.47,271.52,322.84,1160.53,3077.51,241.91,747.52,421.45,241.44,2984.82,230.25,256.94,237.59,448.39,240.28,1121.07,340.96,1238.64,445.57,63.20
2015-01-06,dsm2,baseline,82,12234.60,1055.00,5266.00,3262.80,5436.71,0.00,1.00,1074.95,2.17,3.63,2.17,3.63,275.49,275.49,268.28,397.43,1162.07,264.49,539.66,539.66,292.39,244.82,259.60,1532.35,1573.14,3669.36,263.17,262.98,3011.79,252.70,1182.88,1838.94,531.88,268.58,312.67,1147.61,3343.90,244.85,749.19,399.99,244.78,3001.49,234.63,253.19,240.74,467.34,242.00,1085.75,332.25,1225.31,497.19,63.20
2015-01-07,dsm2,baseline,82,11385.00,1044.00,5953.00,3284.07,3765.42,0.00,1.00,1069.02,2.15,3.64,2.15,3.64,291.82,291.82,266.44,445.17,1156.48,264.01,632.53,632.53,290.55,255.27,258.90,1636.96,1660.07,4049.05,261.79,261.68,3018.26,253.32,1383.73,2082.58,615.19,266.69,305.89,1130.37,3850.25,247.24,746.09,381.40,247.93,3003.54,237.74,250.76,243.90,474.06,244.65,1071.25,324.62,1200.43,515.39,64.00
2015-01-08,dsm2,baseline,82,10914.30,1046.00,5395.00,3080.06,4012.41,0.00,1.00,1046.09,2.06,3.78,2.07,3.80,315.55,315.55,265.45,494.51,1149.34,263.69,748.28,748.28,288.85,268.19,258.60,1758.77,1747.27,4527.61,260.98,260.90,3016.55,254.59,1622.54,2343.91,739.13,265.65,301.89,1107.56,4383.09,249.61,742.04,366.10,249.96,2975.41,239.34,252.64,247.89,563.02,247.44,1079.40,318.40,1193.34,483.48,66.20
2015-01-09,dsm2,baseline,82,10593.00,1055.00,6063.00,2776.31,3298.05,0.00,1.00,1041.02,2.32,3.85,2.33,3.85,346.54,346.54,264.25,562.14,1142.17,263.15,890.60,890.60,287.01,286.37,258.66,1886.84,1842.43,5010.71,260.61,260.53,3031.79,256.52,1933.35,2608.99,850.48,264.39,299.07,1089.98,5015.23,251.68,737.96,354.12,251.43,2968.46,240.58,254.85,252.58,626.08,250.22,1076.17,313.07,1162.71,465.07,66.20
2015-01-10,dsm2,baseline,82,10374.30,1069.00,5829.00,2821.30,3258.34,0.00,1.00,1015.10,2.42,3.78,2.42,3.79,409.33,409.33,263.82,656.75,1134.86,262.93,1135.46,1135.46,284.57,321.62,258.89,2039.69,1927.81,5783.25,260.64,260.60,2998.11,260.48,2365.46,2981.91,1046.48,263.90,294.90,1085.57,5942.58,253.75,732.12,344.26,252.64,2813.16,241.68,245.85,262.40,618.98,255.42,1055.95,308.78,1160.55,441.77,66.20
