datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1991-04-01,dsm2,base,5,25657.00,25110.00,2080.00,10348.89,15713.51,0.00,1.00,602.94,1.89,3.26,2.33,2.77,360.78,360.78,350.54,421.10,435.61,362.41,273.43,273.43,446.66,164.11,324.94,3516.97,4478.62,2466.52,340.41,340.56,4134.54,329.52,550.92,7562.31,1627.56,274.89,350.63,398.31,527.26,2024.45,275.21,712.92,486.71,255.74,2734.19,145.94,137.48,202.96,463.54,227.93,484.50,435.24,2157.66,436.44,59.60
1991-04-02,dsm2,base,5,22850.00,22230.00,1840.00,10387.18,12283.71,0.00,1.00,761.90,2.12,3.36,2.24,2.76,358.94,358.94,337.71,377.71,493.90,351.27,243.68,243.68,428.79,162.82,321.57,3411.95,4142.92,2422.26,329.62,329.97,3920.99,308.02,461.11,7189.88,1562.85,259.98,338.13,394.18,534.34,1738.15,274.83,704.52,458.35,240.56,3118.60,152.46,166.84,201.05,435.00,229.93,583.52,433.03,2051.36,416.04,59.60
1991-04-03,dsm2,base,5,20090.00,19530.00,1680.00,10332.78,8871.81,0.00,1.00,898.90,2.23,3.30,2.50,2.74,329.59,329.59,325.37,352.50,542.52,338.43,269.25,269.25,411.17,164.35,306.88,3323.81,3922.49,2729.84,317.13,317.42,3817.20,311.42,581.00,8129.77,1576.87,279.02,325.65,376.12,599.78,2315.23,256.92,689.47,434.18,251.32,2976.38,167.83,190.96,207.67,437.15,228.95,710.71,433.15,1986.80,399.19,59.80
1991-04-04,dsm2,base,5,17126.00,16560.00,1570.00,10346.51,5515.70,0.55,1.00,993.92,2.46,3.32,2.89,2.76,312.72,312.72,313.58,329.18,595.72,327.15,310.64,310.64,395.16,175.60,299.44,3222.82,3696.92,3081.90,306.40,306.91,3705.74,307.48,727.72,8673.17,1663.12,313.84,313.79,365.88,692.99,2684.91,250.46,674.35,411.36,253.55,2928.86,183.26,206.72,215.85,454.91,236.53,841.01,420.65,1916.88,386.75,62.20
1991-04-05,dsm2,base,5,15634.00,15030.00,1480.00,10381.71,4093.36,1.00,1.00,1078.93,2.69,3.41,3.38,2.76,304.39,304.39,304.09,328.26,637.05,317.07,400.01,400.01,381.49,191.26,291.19,3083.50,3487.25,3596.33,297.86,298.06,3618.68,302.70,970.37,9546.61,1881.93,388.83,304.22,355.31,806.60,3274.43,248.60,656.90,390.34,255.72,2826.93,191.76,217.92,225.20,471.39,243.03,942.71,408.17,1845.95,371.79,63.20
1991-04-06,dsm2,base,5,14454.00,13770.00,1420.00,10402.36,2854.28,1.00,1.00,1138.94,2.95,3.45,3.85,2.75,305.88,305.88,296.27,350.86,660.85,309.72,553.34,553.34,369.81,209.77,287.07,2923.90,3278.41,4255.20,292.05,292.26,3537.63,299.79,1349.86,10724.29,2278.68,500.31,296.30,343.95,905.13,4133.72,249.29,640.49,372.42,256.15,2706.47,198.81,203.01,231.15,477.95,246.38,1022.82,395.42,1744.99,382.36,66.20
1991-04-07,dsm2,base,5,13564.00,12780.00,1380.00,9927.20,2389.40,1.00,1.00,1207.93,3.02,3.52,4.07,2.76,328.57,328.57,291.50,401.19,667.58,303.63,750.81,750.81,357.62,234.83,284.17,2806.93,3099.68,4954.63,288.64,288.84,3466.30,294.90,1769.72,11709.91,2661.82,663.12,291.56,335.30,981.09,4933.97,249.64,625.55,357.56,256.27,2645.76,204.04,206.67,238.56,493.23,250.28,1084.85,378.76,1687.62,408.37,66.20
1991-04-08,dsm2,base,5,12955.00,12240.00,1340.00,10389.38,828.97,1.00,1.00,1242.96,3.06,3.53,4.19,2.73,379.54,379.54,288.39,488.97,667.87,299.01,1022.28,1022.28,347.39,269.66,281.50,2756.63,2968.65,5696.28,286.01,286.25,3393.21,291.61,2269.96,12860.39,3146.10,881.44,288.42,326.23,1041.89,5857.90,249.89,611.39,344.59,255.78,2593.92,205.71,216.32,247.61,505.51,254.00,1140.63,362.05,1640.25,422.66,66.20
1991-04-09,dsm2,base,5,12801.00,12150.00,1280.00,10335.03,632.54,1.00,1.00,1258.95,3.10,3.52,4.06,2.76,454.35,454.35,286.04,619.52,661.30,294.94,1281.30,1281.30,337.49,312.53,279.08,2823.63,2899.75,6369.62,283.73,284.02,3322.99,291.07,2778.91,13718.38,3481.63,1149.32,286.06,319.25,1086.93,6574.96,249.53,602.69,333.86,255.28,2582.01,206.95,226.50,258.81,491.38,258.40,1182.65,348.37,1603.70,387.79,70.80
1991-04-10,dsm2,base,5,12680.00,12060.00,1180.00,10225.13,525.77,1.00,1.00,1268.96,2.88,3.50,3.75,2.75,555.67,555.67,283.51,802.00,651.38,291.07,1577.57,1577.57,329.43,364.65,276.53,2999.23,2908.04,7020.49,281.25,281.35,3255.57,296.28,3196.86,14469.80,3876.13,1446.26,283.51,312.66,1128.70,7288.58,249.37,595.60,325.76,256.20,2624.64,210.37,235.03,271.99,494.00,264.67,1206.27,334.99,1607.28,413.11,70.80
1991-04-11,dsm2,base,5,12584.00,11970.00,1060.00,9275.25,1192.03,1.00,1.00,1283.94,2.76,3.39,3.49,2.77,672.15,672.15,281.70,1037.39,641.87,288.42,1903.50,1903.50,323.62,421.44,275.34,3196.57,3004.46,7696.21,279.44,279.53,3196.30,308.22,3720.84,15053.59,4315.46,1754.63,281.81,307.34,1151.09,7898.75,249.63,591.20,320.05,257.64,2710.89,214.52,232.51,289.94,459.90,273.56,1200.30,325.91,1600.07,347.66,72.40
1991-04-12,dsm2,base,5,11234.00,10620.00,951.00,10210.13,-1246.81,1.00,1.00,1320.85,2.64,3.61,3.14,2.95,750.16,750.16,280.08,1302.95,642.47,286.97,2058.87,2058.87,321.02,456.29,274.83,3327.58,3152.53,7987.97,278.19,278.37,3143.82,319.45,3930.69,15429.55,4562.72,1926.52,280.12,303.29,1160.86,8108.96,250.51,580.02,315.67,258.95,2640.48,218.78,220.73,297.76,472.59,278.88,1219.03,318.11,1643.29,318.41,74.80
1991-04-13,dsm2,base,5,10138.00,9540.00,843.00,10264.73,-2603.67,1.00,1.00,1324.98,2.14,3.75,2.53,3.06,976.93,976.93,278.65,1545.16,632.21,287.19,2598.30,2598.30,320.47,586.75,274.20,3573.57,3294.87,8683.79,277.50,277.68,3100.35,355.98,4663.49,17474.43,5152.17,2254.09,278.72,297.70,1164.60,9347.78,251.83,559.41,312.21,262.39,2631.79,224.86,208.59,339.25,444.88,302.86,1179.78,309.70,1668.94,312.71,76.60
1991-04-14,dsm2,base,5,10314.00,9720.00,839.00,10202.75,-2221.30,1.00,1.00,1377.78,1.92,3.57,2.06,3.03,1288.34,1288.34,278.42,1764.73,634.72,291.07,3207.57,3207.57,323.28,750.72,276.79,3880.18,3444.10,9684.01,278.28,278.57,3086.29,422.31,5512.67,18844.76,5577.06,2948.96,278.50,294.12,1173.74,10622.73,254.06,540.03,309.26,266.21,2901.79,229.94,193.36,398.76,419.31,344.82,1137.78,302.87,1687.90,309.11,79.40
1991-04-15,dsm2,base,5,9390.00,8766.00,809.00,8296.23,-894.18,1.00,1.00,1480.55,1.74,3.49,1.68,3.12,1453.25,1453.25,279.75,2068.72,635.91,296.41,3380.41,3380.41,330.11,799.83,281.08,3933.30,3641.11,10286.19,280.46,281.13,3057.08,462.53,5782.61,19045.96,5775.67,3323.97,279.81,291.95,1153.74,10763.76,255.51,524.44,306.74,267.86,2787.00,229.66,184.26,417.19,442.60,359.73,1121.12,297.86,1741.70,400.44,79.40
1991-04-16,dsm2,base,5,8961.00,8325.00,755.00,8209.00,-1309.10,1.00,1.00,1458.10,1.56,3.49,1.49,3.10,1492.45,1492.45,283.18,2485.25,637.76,302.21,3522.69,3522.69,342.75,838.66,286.37,4010.00,3817.47,10682.36,283.72,284.20,3009.91,487.15,5956.95,19084.34,5868.86,3551.94,283.24,296.39,1124.47,10757.67,255.76,509.44,305.15,268.98,2771.25,228.32,190.05,439.02,422.46,378.99,1241.07,295.68,1801.84,366.12,79.40
1991-04-17,dsm2,base,5,8574.00,7965.00,702.00,6873.32,-526.78,1.00,1.00,1433.12,1.65,3.39,1.59,2.95,1608.15,1608.15,287.20,2896.18,637.78,310.30,3716.40,3716.40,361.81,912.32,291.35,4211.04,3945.03,11153.51,287.82,288.35,2960.90,522.70,6252.59,19593.40,5994.06,3961.96,287.22,301.41,1148.36,11066.06,255.77,491.82,305.78,270.94,2834.41,227.18,193.66,476.90,410.22,405.99,1254.97,292.46,1872.75,355.56,79.40
