datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2002-01-01,dsm2,base,53,42990.50,40034.00,4636.00,-12250.93,-9706.30,45081.87,0.00,1.00,549.63,3.59,3.53,5.69,2.85,279.24,279.24,309.29,467.61,765.31,304.02,269.56,269.56,443.74,210.47,281.02,2639.15,2923.74,3688.87,289.92,290.11,3096.36,270.65,609.62,2120.52,292.35,309.29,379.50,973.02,2555.88,262.64,837.15,569.01,249.69,1710.92,211.16,206.21,228.05,640.21,237.79,733.66,480.19,1637.04,552.49,62.00
2002-01-02,dsm2,base,53,54561.20,44072.00,4425.00,-12229.16,-10659.93,57416.97,0.00,1.00,393.33,3.52,3.52,4.96,2.86,285.40,285.40,324.38,437.44,622.74,304.88,233.89,233.89,446.02,224.35,287.62,2667.20,2866.38,2734.70,296.30,296.05,3010.47,269.63,304.13,1542.61,259.90,324.53,405.83,998.17,976.91,297.94,828.53,592.35,259.37,1747.30,207.82,179.95,237.93,656.21,247.02,585.53,561.87,1760.62,580.56,54.40
2002-01-03,dsm2,base,53,56444.10,50652.00,4369.00,-12116.12,-6043.57,54740.55,0.00,1.00,363.81,3.20,3.56,4.03,2.89,280.14,280.14,322.40,401.22,470.66,306.91,238.48,238.48,445.22,213.27,290.67,2300.93,2836.92,1788.38,298.98,298.70,2899.49,273.41,282.77,1196.30,256.28,322.89,404.71,878.87,843.01,330.89,748.14,558.33,266.10,1568.70,179.06,149.95,227.63,579.64,238.88,445.31,524.70,1715.31,526.07,53.80
2002-01-04,dsm2,base,53,64958.80,57660.00,5952.00,-11991.35,-4540.71,63460.16,0.00,0.00,320.00,2.92,3.55,3.18,3.12,278.24,278.24,313.24,394.43,403.90,306.96,217.49,217.49,422.97,180.20,292.09,2071.35,2702.32,1277.86,298.49,298.24,2838.86,269.30,254.61,994.31,247.69,313.72,384.34,714.80,646.59,353.89,623.90,536.95,262.48,1457.73,161.22,139.62,204.37,476.50,221.61,390.68,517.20,1638.84,452.40,53.80
2002-01-05,dsm2,base,53,98697.20,63876.00,5124.00,-6075.07,-3359.84,101105.97,0.00,0.00,355.39,2.58,3.44,2.48,3.11,276.61,276.61,314.64,400.58,354.03,304.07,181.85,181.85,403.57,158.02,294.49,1868.73,2485.78,870.05,301.72,301.11,2753.58,256.91,208.70,801.28,216.93,315.02,391.06,594.90,364.61,378.82,481.21,523.22,248.82,1395.27,150.05,137.51,182.04,438.05,204.38,358.28,610.59,1556.52,431.15,53.80
2002-01-06,dsm2,base,53,101385.50,65552.00,4359.00,-5738.93,-3463.53,103469.10,0.00,0.00,325.01,2.34,3.39,2.23,3.03,266.21,266.21,324.81,374.33,387.86,299.81,166.32,166.32,382.81,149.11,296.73,1786.46,2301.68,495.25,307.63,306.54,2643.78,248.58,181.21,589.36,184.66,325.32,414.72,601.79,233.00,422.75,410.00,509.06,241.27,1435.73,145.29,136.38,176.90,446.21,197.05,382.70,659.66,1520.55,443.26,53.80
2002-01-07,dsm2,base,53,87673.50,64487.50,4073.00,-5698.07,-9.37,86057.80,0.00,0.00,380.79,2.39,3.42,2.43,2.98,252.14,252.14,331.85,341.46,356.99,296.30,163.76,163.76,357.34,144.11,299.45,1700.60,2159.41,318.92,310.47,309.39,2536.80,243.10,174.58,473.52,171.89,332.68,425.30,585.15,228.25,449.53,414.85,487.16,239.64,1500.27,138.72,129.00,176.08,476.77,194.81,356.50,639.53,1497.00,473.38,53.80
2002-01-08,dsm2,base,53,78627.47,63154.17,3588.00,-5783.29,1251.13,75181.04,0.00,0.00,376.70,2.68,3.58,3.06,3.03,243.91,243.91,330.49,314.04,389.87,293.99,157.04,157.04,340.87,136.88,299.18,1591.05,2025.00,263.82,310.53,309.28,2426.45,236.12,167.66,412.26,164.35,331.92,421.08,488.42,236.13,450.78,416.40,458.22,230.03,1529.40,132.84,125.29,168.12,453.23,189.85,391.56,589.89,1453.83,454.11,53.80
2002-01-09,dsm2,base,53,72166.30,62030.00,3133.00,-5832.14,1542.97,67924.19,0.00,0.00,468.77,3.04,3.79,3.68,3.07,237.44,237.44,326.53,297.90,383.65,288.90,149.65,149.65,332.18,136.31,293.15,1402.58,1872.81,258.27,308.17,306.79,2289.65,227.56,161.23,376.75,158.55,327.11,411.94,462.44,247.41,422.20,398.41,433.11,215.83,1447.83,134.64,132.72,159.43,447.25,179.33,384.59,530.14,1381.09,455.20,53.80
2002-01-10,dsm2,base,53,64896.70,60264.00,2756.00,-11685.04,1753.72,54213.94,0.00,0.00,574.96,3.26,3.93,4.19,3.20,228.94,228.94,314.05,289.18,423.53,279.75,152.06,152.06,320.52,140.94,279.29,1213.14,1683.28,284.31,298.95,296.90,2157.40,220.58,158.24,354.69,155.52,314.23,388.07,453.80,290.49,377.82,397.62,410.22,202.76,1327.87,143.29,140.54,160.04,426.70,175.04,472.06,511.80,1286.70,428.79,53.80
