datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1991-04-01,dsm2,baseline,2,30690.00,2080.00,10348.89,1579.54,21388.57,0.00,1.00,602.94,2.88,3.17,2.88,3.15,365.77,365.77,352.44,367.46,435.56,365.02,273.51,273.51,450.02,163.85,326.27,3289.24,4203.17,2475.20,342.19,342.32,3947.93,331.72,558.09,1453.03,281.10,352.52,399.87,527.52,2063.29,275.50,712.94,489.13,255.88,2497.42,145.78,140.51,203.10,464.32,228.50,484.51,435.84,2110.49,437.64,59.60
1991-04-02,dsm2,baseline,2,27170.00,1840.00,10387.18,1788.27,17454.55,0.00,1.00,761.90,2.74,3.12,2.72,3.13,350.50,350.50,336.38,337.20,471.00,348.57,254.52,254.52,424.91,162.04,315.95,3227.68,3858.83,2407.86,328.11,328.21,3809.55,315.20,501.42,1350.38,272.64,336.69,386.69,524.79,1762.29,269.57,703.98,460.89,247.56,2656.81,157.30,169.73,203.09,431.00,230.90,577.99,431.35,2105.11,418.61,57.80
1991-04-03,dsm2,baseline,2,23870.00,1680.00,10332.78,2194.59,13582.63,0.00,1.00,898.90,2.52,3.20,2.50,3.20,331.38,331.38,324.33,326.04,543.52,335.08,258.50,258.50,408.78,169.65,304.29,2926.38,3602.12,2374.75,317.38,317.31,3640.63,308.36,526.10,1349.48,259.49,324.49,375.27,600.64,1935.09,260.10,690.52,436.19,247.70,2699.10,173.49,193.03,204.18,443.64,226.60,708.32,430.12,1999.01,418.02,59.60
1991-04-04,dsm2,baseline,2,20240.00,1570.00,10346.51,2323.35,9706.14,0.00,1.00,993.92,2.32,3.22,2.31,3.22,306.39,306.39,313.24,308.74,600.82,322.51,279.50,279.46,392.06,182.53,294.12,2695.21,3327.16,2554.73,306.41,306.31,3505.74,308.43,624.52,1397.11,278.19,313.33,363.40,698.64,2357.69,250.76,675.64,413.82,252.94,2649.34,187.02,208.13,212.29,463.00,230.79,835.47,423.80,1878.32,426.90,60.60
1991-04-05,dsm2,baseline,2,18370.00,1480.00,10381.71,1993.81,8078.48,0.00,1.00,1078.93,2.17,3.26,2.16,3.26,290.36,290.36,302.85,302.25,654.08,313.64,315.57,315.57,377.43,195.56,288.30,2520.16,3086.14,2845.45,298.11,298.26,3400.34,306.91,744.75,1489.35,314.88,302.99,350.72,808.07,2862.34,247.03,659.56,394.21,256.49,2640.86,197.24,219.58,221.40,495.99,236.70,940.22,410.46,1790.51,443.12,63.20
1991-04-06,dsm2,baseline,2,16830.00,1420.00,10402.36,1846.89,6684.75,0.00,1.00,1138.94,1.91,3.39,1.90,3.40,282.73,282.73,295.85,313.73,691.41,307.86,365.11,365.11,365.28,207.94,284.32,2428.83,2900.23,3201.62,292.64,292.95,3321.11,303.68,893.56,1580.58,359.15,295.96,338.49,904.80,3418.98,247.06,643.84,377.56,258.90,2604.06,205.67,197.77,229.32,527.66,241.92,1021.24,396.08,1720.56,468.20,63.20
1991-04-07,dsm2,baseline,2,15620.00,1380.00,9927.20,1744.89,6111.91,0.00,1.00,1207.93,1.71,3.51,1.70,3.52,282.93,282.93,291.57,340.74,704.10,302.16,431.84,431.84,357.29,218.20,281.93,2330.79,2757.51,3644.81,289.31,289.63,3250.87,299.31,1087.70,1688.15,445.98,291.66,328.32,982.23,4208.76,248.37,627.17,363.79,260.54,2516.00,204.34,210.30,234.99,551.89,244.75,1089.90,379.70,1637.08,492.58,66.20
1991-04-08,dsm2,baseline,2,14960.00,1340.00,10389.38,2098.85,4526.77,0.00,1.00,1242.96,1.63,3.61,1.64,3.61,290.86,290.86,288.73,388.79,708.91,301.09,502.22,502.22,351.69,225.03,281.64,2269.18,2643.94,4176.62,287.02,287.53,3188.96,293.76,1302.34,1815.36,551.92,288.85,321.27,1045.16,4850.97,249.79,611.43,351.79,261.94,2423.04,203.81,217.95,236.57,554.06,248.58,1148.13,363.56,1534.87,482.11,66.20
1991-04-09,dsm2,baseline,2,14850.00,1280.00,10335.03,2059.79,4386.18,0.00,1.00,1258.95,1.77,3.63,1.78,3.64,312.63,312.63,287.22,468.60,700.54,300.18,616.86,616.86,346.09,230.59,281.43,2245.85,2539.81,4847.30,285.68,286.26,3132.39,286.91,1607.08,2039.36,706.45,287.31,315.27,1097.04,5605.19,251.58,600.19,341.06,264.06,2258.88,208.71,229.74,236.86,559.46,249.80,1199.96,349.49,1444.93,466.94,66.20
1991-04-10,dsm2,baseline,2,14740.00,1180.00,10225.13,2000.99,4313.88,0.00,1.00,1268.96,1.87,3.75,1.87,3.76,343.46,343.46,286.20,581.45,689.38,298.03,737.49,737.49,339.62,236.07,282.25,2251.66,2454.50,5467.93,284.91,285.31,3082.71,281.61,1896.16,2273.66,834.92,286.25,311.22,1151.45,5871.90,253.68,591.15,331.98,265.47,2201.60,215.28,235.65,239.64,550.64,250.39,1225.92,337.54,1406.95,441.80,66.20
