datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2013-01-01,dsm2,base,73,49021.65,45317.70,2342.00,4100.00,578.17,46685.48,0.00,0.00,489.00,2.38,3.35,2.07,3.00,202.36,202.36,304.61,652.77,400.21,245.13,150.87,150.87,289.52,138.32,247.70,1880.74,2554.24,335.23,267.31,265.07,5045.62,192.87,154.12,2173.34,635.44,153.48,305.47,415.21,436.23,290.04,275.29,454.43,433.12,180.25,3128.11,142.13,138.60,153.58,437.96,162.61,419.82,429.17,3618.53,418.56,53.80
2013-01-02,dsm2,base,73,43249.41,39315.60,2120.00,5819.00,663.21,38887.19,0.00,0.00,567.96,2.13,3.25,2.45,2.77,200.01,200.01,305.37,559.11,440.95,242.14,153.90,153.90,291.40,146.87,246.88,1987.52,2482.21,296.19,267.39,265.16,5130.24,194.12,156.38,2076.27,643.84,153.11,306.38,405.67,469.22,304.08,284.41,424.33,432.57,188.20,3447.91,150.19,147.50,161.24,427.86,167.53,496.47,403.22,3665.12,417.33,53.80
2013-01-03,dsm2,base,73,38544.90,34478.10,1951.00,5615.00,696.22,34184.69,0.00,0.00,622.97,2.45,3.25,2.77,2.76,199.64,199.64,289.97,518.51,513.23,242.26,158.31,158.31,300.45,154.65,243.48,1995.71,2474.19,318.49,260.86,259.05,4842.33,194.97,158.61,2288.02,608.90,155.97,290.72,389.77,515.89,291.32,280.50,417.86,432.99,188.58,3898.21,156.03,156.93,165.40,421.00,172.39,575.53,393.62,3560.06,429.41,53.80
2013-01-04,dsm2,base,73,35916.07,31824.00,1867.00,4076.00,772.92,32934.15,0.00,0.00,675.97,2.49,3.17,2.97,2.63,197.90,197.90,282.95,504.50,576.28,241.10,162.70,162.70,301.04,160.26,240.60,1864.34,2440.83,401.24,256.68,255.13,4580.44,197.35,165.07,2768.69,596.25,160.92,283.76,382.06,574.35,426.45,275.82,421.26,436.03,192.00,4462.21,163.87,168.73,171.11,433.21,177.27,630.27,397.32,3440.37,440.80,53.80
2013-01-05,dsm2,base,73,33990.95,29986.20,1814.00,3709.00,-1025.36,33121.31,0.00,0.00,714.98,2.64,3.04,3.05,2.58,198.39,198.39,281.26,491.88,625.87,239.01,166.43,166.43,292.23,167.58,239.74,1776.48,2343.11,505.44,254.33,252.97,4407.70,199.30,174.33,3000.17,632.09,166.72,281.88,380.66,626.15,510.46,275.94,431.23,432.55,196.35,5175.48,172.43,179.65,178.34,483.02,182.99,683.71,421.25,3337.12,477.78,53.80
2013-01-06,dsm2,base,73,31107.85,27253.80,1868.00,2778.00,-1945.46,32143.32,0.00,0.00,738.99,2.75,3.10,3.10,2.63,201.39,201.39,287.88,476.66,682.47,237.72,172.33,172.33,282.88,176.19,241.86,1760.76,2288.37,561.57,256.50,254.86,4550.76,201.82,180.69,3110.55,673.98,172.12,289.25,394.02,681.15,495.42,287.90,455.88,421.17,203.60,5322.89,179.75,184.81,185.61,486.74,189.20,722.30,508.31,3321.62,523.28,53.80
2013-01-07,dsm2,base,73,28921.97,25538.40,1983.00,6181.00,-1822.37,26546.35,0.00,0.00,737.00,2.72,3.15,3.02,2.69,202.67,202.67,288.35,483.41,722.11,238.01,178.69,178.69,279.17,183.26,243.15,1650.94,2201.88,687.99,257.61,255.88,4733.35,205.17,195.31,3600.25,723.55,179.79,289.79,398.23,740.32,636.03,294.00,493.36,402.96,210.31,5256.96,186.05,192.17,190.90,525.92,194.49,751.66,615.62,3222.66,560.84,53.80
2013-01-08,dsm2,base,73,27266.74,24350.40,2173.00,4975.00,-1554.94,26019.68,0.00,0.00,679.03,2.65,3.13,2.87,2.65,204.35,204.35,284.54,493.33,750.65,238.77,184.82,184.82,277.26,188.91,243.85,1604.90,2113.20,837.02,257.17,255.64,4868.49,208.67,216.04,4131.42,797.67,188.43,285.61,398.39,779.79,790.54,298.51,538.38,384.78,216.57,5166.01,191.88,196.19,196.37,674.64,199.84,760.61,620.44,3089.71,619.95,53.80
2013-01-09,dsm2,base,73,25919.67,23430.60,2267.00,4784.00,-1745.40,25148.07,0.00,0.00,680.00,2.60,3.04,2.77,2.56,206.88,206.88,284.28,500.11,742.01,239.60,190.81,190.81,274.32,194.73,245.70,1611.08,2049.80,1009.30,258.16,256.67,4952.90,212.22,234.00,4373.39,902.65,196.85,285.78,403.60,796.95,857.73,307.60,593.04,374.14,223.22,5130.29,196.27,199.76,201.59,737.63,204.42,715.07,636.41,2990.84,667.15,53.80
2013-01-10,dsm2,base,73,24889.18,22568.40,2200.00,4519.00,-403.78,22973.96,0.00,0.00,653.01,2.53,3.04,2.69,2.63,209.57,209.57,284.38,511.28,693.69,241.31,197.54,197.54,272.49,199.24,247.86,1648.01,2043.93,1148.59,259.91,258.45,4996.33,215.63,252.07,4571.79,999.01,204.66,286.18,407.90,777.62,947.04,315.41,648.33,365.92,230.02,5186.75,199.06,199.83,205.65,762.91,208.76,695.23,651.73,2915.18,677.28,54.40
