datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2017-02-01,dsm2,base,94,95808.55,71965.30,19392.00,14504.00,-307.61,101004.16,0.00,1.00,116.79,1.89,4.57,2.04,3.78,160.41,160.41,239.75,136.11,113.75,190.05,132.23,132.23,210.97,126.62,189.10,306.42,374.84,145.14,211.16,209.47,803.39,156.05,134.78,152.95,133.45,240.42,287.81,126.07,155.38,164.18,114.60,320.96,145.19,506.36,126.20,126.89,136.46,126.80,140.74,115.84,233.10,523.21,223.96,53.80
2017-02-02,dsm2,base,94,95496.25,71324.00,18925.00,14689.00,-366.40,100098.65,0.00,1.00,158.75,1.87,4.70,1.74,4.03,159.45,159.45,220.63,136.89,136.99,183.26,134.94,134.94,209.93,130.31,180.33,295.77,352.51,148.69,197.88,196.34,742.46,154.37,137.33,150.87,135.46,220.94,283.45,142.53,160.02,152.49,120.72,327.16,143.17,478.15,129.01,127.77,138.44,135.10,141.36,141.98,266.37,479.96,245.59,53.80
2017-02-03,dsm2,base,94,99065.88,73667.00,18854.00,14436.00,-1389.90,104873.78,0.00,1.00,175.52,1.86,4.31,1.74,3.98,157.80,157.80,214.23,144.64,167.72,177.23,136.69,136.69,203.01,130.45,174.57,284.62,371.98,157.66,189.88,188.60,707.47,151.81,139.76,153.14,143.38,214.67,277.83,176.37,184.46,144.74,160.81,329.06,141.07,484.77,127.88,126.13,136.84,188.38,139.86,170.87,254.00,462.81,249.16,53.80
2017-02-04,dsm2,base,94,109265.80,75442.40,18783.00,14424.00,-1273.91,114898.70,0.00,1.00,164.02,2.08,4.56,1.80,3.67,154.51,154.51,210.19,158.34,171.51,173.20,134.72,134.72,195.00,128.25,169.90,291.55,394.22,147.54,184.54,183.40,767.69,149.01,140.06,164.52,144.41,210.79,274.28,188.07,149.33,147.31,177.42,330.80,138.01,516.97,125.88,124.20,134.97,197.98,137.48,172.35,274.77,512.65,249.79,53.80
2017-02-05,dsm2,base,94,125126.86,77218.90,18271.00,14469.00,-1306.20,130235.06,0.00,1.00,153.38,2.84,5.02,2.31,3.93,152.01,152.01,201.39,167.31,159.99,168.44,131.07,131.07,191.73,126.10,163.85,288.02,387.30,144.73,178.09,177.14,786.68,145.65,136.79,170.91,142.53,202.00,260.94,175.86,141.11,157.21,166.77,332.50,136.29,520.94,124.54,123.05,130.95,192.26,134.21,160.71,273.75,501.87,253.04,53.80
2017-02-06,dsm2,base,94,143745.93,82034.70,17500.00,14456.00,-2538.61,149328.54,0.00,1.00,162.62,3.29,5.13,3.47,4.11,148.76,148.76,186.69,171.37,157.96,162.40,126.31,126.31,187.81,120.94,156.23,275.23,391.45,143.67,169.47,168.27,690.45,142.28,133.60,178.48,141.02,187.42,239.02,166.94,135.26,164.38,159.43,330.62,136.80,466.37,114.86,111.79,124.75,182.25,129.37,160.94,257.59,481.82,238.11,53.80
2017-02-07,dsm2,base,94,187647.88,84935.40,16921.00,14256.00,-4274.18,194587.06,0.00,1.00,177.42,3.34,4.86,4.20,3.96,143.03,143.03,180.63,179.56,171.20,158.94,113.31,113.31,182.47,107.17,154.36,269.55,436.31,139.95,164.34,163.61,642.77,137.42,124.69,185.71,136.71,181.65,236.45,177.03,127.96,168.65,173.93,325.83,132.77,469.08,103.67,104.17,113.19,193.28,116.70,174.78,280.87,476.07,234.50,53.80
2017-02-08,dsm2,base,94,261316.00,95428.30,17004.00,14191.00,-3554.13,267683.13,0.00,1.00,187.00,3.28,5.22,4.39,3.74,135.93,135.93,183.12,176.58,184.45,158.50,102.54,102.54,176.71,97.27,158.95,282.26,452.30,128.51,166.38,165.68,706.75,131.62,113.13,195.36,123.20,184.03,246.61,193.13,114.89,174.37,192.08,322.17,131.89,525.61,94.87,96.63,100.06,210.73,107.32,187.32,343.79,535.25,249.09,53.80
2017-02-09,dsm2,base,94,280872.68,100491.60,18358.00,14112.00,-5031.56,290150.24,0.00,1.00,186.75,3.05,5.20,4.48,3.94,131.02,131.02,186.03,166.21,191.11,160.51,90.67,90.67,179.31,86.53,163.90,283.43,456.56,114.76,170.37,169.69,686.37,125.93,102.57,188.25,113.48,186.97,259.33,200.54,102.97,181.24,207.63,319.09,126.47,515.91,84.72,87.65,87.27,220.69,93.94,193.12,387.96,532.18,272.50,53.80
2017-02-10,dsm2,base,94,342129.50,97710.80,20063.00,14184.00,-5200.23,353208.73,0.00,1.00,181.17,2.85,4.96,4.24,3.77,124.26,124.26,197.18,153.64,188.55,165.27,82.32,82.32,180.36,78.77,172.24,293.05,483.19,102.12,177.73,176.94,693.14,119.05,93.22,184.30,104.39,198.20,282.01,198.28,94.53,195.08,211.19,319.11,128.00,533.43,77.56,81.20,78.57,222.52,79.33,190.30,470.76,552.07,285.93,53.80
