datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2015-01-01,dsm2,base,85,20118.48,17938.00,1139.00,5652.00,2236.31,13369.17,0.00,0.00,1148.08,3.25,3.98,3.74,3.51,253.07,253.07,291.47,812.67,1172.27,283.79,246.24,246.24,325.99,207.74,270.28,1868.44,2366.51,1720.76,281.73,281.23,3493.82,261.57,446.80,6401.96,1322.17,300.66,291.58,342.38,1169.44,1834.81,231.78,756.54,552.25,228.65,3596.19,210.36,232.82,221.92,444.54,228.78,1177.64,379.06,2025.26,456.80,59.60
2015-01-02,dsm2,base,85,17853.24,16178.00,1121.00,6046.00,2235.31,10692.93,0.00,0.00,1132.06,3.28,3.94,4.10,3.53,248.04,248.04,284.41,849.60,1172.89,277.72,288.13,288.13,314.87,215.08,267.10,1795.31,2158.72,2244.82,275.19,274.92,3507.49,259.37,602.06,7455.12,1646.23,348.33,284.70,336.36,1174.01,2351.40,230.96,756.16,518.75,232.65,3380.18,216.91,240.33,227.38,466.63,233.65,1173.74,370.86,1953.95,465.15,59.80
2015-01-03,dsm2,base,85,16350.52,15054.00,1091.00,5775.00,2261.58,9404.93,0.00,0.00,1115.06,3.33,3.75,4.26,3.46,249.09,249.09,280.01,903.72,1173.41,273.63,333.48,333.48,306.18,222.19,265.18,1827.62,2031.81,2712.27,271.56,271.34,3482.46,257.11,736.96,7949.43,1984.89,407.23,280.22,331.92,1174.51,2719.45,232.17,758.22,489.21,235.65,3158.29,223.04,249.78,231.63,471.03,236.80,1154.07,360.92,1910.44,457.73,62.20
2015-01-04,dsm2,base,85,15242.35,14276.00,1068.00,6212.00,2311.90,7786.45,0.00,0.00,1070.17,3.24,3.69,4.36,3.31,254.16,254.16,277.61,966.22,1172.25,270.49,365.16,365.16,300.08,228.91,263.72,1932.65,2001.72,2979.60,269.34,269.09,3472.45,255.25,821.93,7904.88,2232.08,453.73,277.71,326.59,1172.10,2769.96,234.42,763.70,463.47,238.01,3188.69,228.77,257.01,235.55,471.76,239.49,1137.95,350.39,1880.05,446.99,63.20
2015-01-05,dsm2,base,85,14386.07,13594.00,1048.00,4877.00,2335.76,8221.30,0.00,0.00,1061.03,3.01,3.75,4.16,3.33,260.47,260.47,274.69,1055.83,1167.08,268.47,412.23,412.23,295.78,235.35,262.89,2046.23,2030.99,3216.59,267.62,267.38,3450.98,254.43,924.20,8277.99,2467.41,503.17,274.93,320.38,1161.23,2964.36,236.91,769.57,439.55,240.70,3177.21,234.80,256.36,239.02,446.19,242.43,1120.99,341.50,1870.38,463.80,63.20
2015-01-06,dsm2,base,85,13325.91,12650.00,1055.00,5266.00,2380.78,6734.13,0.00,0.00,1074.95,2.74,3.82,3.75,3.45,273.58,273.58,271.12,1174.76,1161.08,266.77,494.06,494.06,291.93,243.13,261.35,2171.70,2089.37,3588.40,265.75,265.56,3387.90,254.52,1105.18,9121.46,2763.14,570.19,271.34,312.12,1147.71,3498.50,239.42,770.49,418.54,243.77,3148.66,239.82,252.77,242.49,468.74,244.93,1083.34,333.27,1853.35,485.95,63.20
2015-01-07,dsm2,base,85,12700.49,12127.00,1044.00,5953.00,2480.23,5311.26,0.00,0.00,1069.02,2.49,3.88,3.24,3.52,292.46,292.46,269.35,1303.12,1155.97,265.34,585.08,585.08,288.45,252.15,260.58,2324.52,2162.57,4016.53,264.08,263.95,3326.01,255.00,1333.98,10092.31,3085.86,653.57,269.46,307.62,1132.54,3948.90,241.90,768.74,399.80,246.52,3095.92,242.16,250.68,246.40,487.76,247.80,1070.55,327.08,1833.91,494.69,64.00
2015-01-08,dsm2,base,85,12297.16,11770.00,1046.00,5395.00,2373.69,5574.47,0.00,0.00,1046.09,2.17,3.94,2.74,3.59,316.34,316.34,267.77,1445.97,1149.35,264.51,690.06,690.06,286.35,263.05,260.26,2492.51,2255.67,4495.51,263.01,262.91,3272.90,256.20,1553.29,10928.48,3444.17,751.16,267.92,305.78,1107.98,4417.24,244.32,766.45,384.62,248.80,3086.00,242.97,253.00,250.01,589.87,250.21,1078.53,321.61,1828.59,486.33,66.20
2015-01-09,dsm2,base,85,12016.36,11527.00,1055.00,6063.00,2183.99,4824.37,0.00,0.00,1041.02,1.81,3.95,2.19,3.65,340.93,340.93,267.26,1567.43,1137.58,263.97,769.23,769.23,284.52,273.49,260.10,2646.12,2363.45,4950.72,262.44,262.39,3230.51,258.00,1737.93,11834.64,3814.34,847.39,267.45,301.09,1090.75,4789.47,246.63,767.48,372.13,250.57,3111.26,243.47,254.07,253.08,596.08,252.17,1075.99,316.83,1838.21,449.47,66.20
2015-01-10,dsm2,base,85,11753.35,11288.00,1069.00,5829.00,2356.16,4637.18,0.00,0.00,1015.10,1.48,3.85,1.68,3.69,368.05,368.05,265.76,1691.69,1129.75,264.05,836.85,836.85,284.24,280.87,260.17,2801.05,2476.07,5369.18,261.94,261.91,3208.08,260.32,1891.80,12551.36,4104.94,951.30,265.96,298.59,1086.37,5118.04,248.74,766.76,361.92,252.34,3209.17,245.04,244.00,255.56,638.57,253.99,1056.71,311.56,1845.20,481.62,66.20
