datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2011-10-18,dsm2,base,1006,18698.82,4409.05,-9706.49,830.45,13788.68,0.00,0.00,228.83,1.87,3.73,2.03,3.30,237.44,237.44,158.98,5349.75,214.79,157.57,623.98,623.98,184.04,149.06,151.34,6676.52,6794.99,7480.73,155.05,154.86,5978.86,158.46,1802.28,6646.51,1497.60,159.10,177.44,218.59,6194.12,162.43,204.29,174.45,140.13,5421.97,126.25,124.32,137.22,192.50,140.17,220.25,205.10,5772.64,186.40,66.20
2011-10-19,dsm2,base,1006,19154.69,4151.19,-9712.49,355.78,14131.34,0.00,0.00,228.00,1.84,3.56,1.89,3.27,226.29,226.29,159.82,5277.90,233.84,158.06,570.76,570.76,188.35,146.22,151.73,6651.96,6768.70,7384.30,155.47,155.33,5937.40,156.84,1680.71,6567.34,1399.75,159.93,182.00,236.12,6081.98,162.25,215.79,180.86,140.07,5385.83,126.69,117.21,137.77,198.69,141.05,237.53,208.43,5730.24,189.98,66.20
2011-10-20,dsm2,base,1006,18058.72,4188.23,-9141.49,601.23,13328.59,0.00,0.00,246.21,1.94,3.33,1.87,3.11,204.72,204.72,160.35,5132.56,234.03,158.28,475.58,475.58,190.70,142.62,152.35,6632.91,6746.40,7167.64,155.87,155.68,5772.37,154.50,1422.46,6420.75,1259.05,160.36,185.02,256.44,5364.20,164.28,228.34,186.38,140.72,5234.27,127.53,118.00,138.93,214.79,142.06,239.02,213.19,5686.48,199.34,66.20
2011-10-21,dsm2,base,1006,17149.60,4049.07,-9160.49,653.75,12213.22,0.00,0.00,256.54,2.15,3.33,1.97,2.95,190.89,190.89,160.51,4982.14,250.91,159.26,409.42,409.42,192.08,140.70,153.22,6584.95,6716.68,6790.96,156.44,156.21,5438.63,153.00,1227.24,6217.23,1131.12,160.72,185.85,259.05,4760.95,166.11,237.83,188.66,140.45,4981.03,126.14,126.03,140.00,222.65,142.65,255.92,216.15,5627.80,207.93,66.20
2011-10-22,dsm2,base,1006,17020.01,4136.59,-8646.49,796.57,12466.43,0.00,0.00,261.04,2.45,3.54,2.18,3.03,187.99,187.99,160.75,4918.28,261.82,159.57,437.09,437.09,193.00,142.94,153.59,6486.69,6666.92,6655.39,156.81,156.61,5290.57,153.09,1308.81,6149.34,1127.18,160.85,186.61,271.96,4874.91,166.27,242.94,189.93,140.85,4790.70,127.78,120.33,140.34,227.15,143.13,265.26,218.38,5577.91,217.39,66.20
2011-10-23,dsm2,base,1006,17635.29,4161.37,-10398.49,857.73,11951.28,0.00,0.00,256.54,2.74,3.87,2.65,3.26,198.84,198.84,160.27,4945.54,266.80,159.69,542.46,542.46,191.95,149.94,153.42,6419.45,6584.13,6928.60,156.62,156.44,5366.87,154.06,1613.99,6268.33,1275.97,160.29,186.85,280.11,5441.60,164.83,255.00,190.60,142.39,4208.86,129.20,124.94,142.10,224.97,143.89,268.32,218.46,5537.20,210.13,66.20
2011-10-24,dsm2,base,1006,19185.94,4452.12,-10948.49,646.23,13451.43,0.00,0.00,261.46,3.11,3.87,3.38,3.34,237.55,237.55,158.81,5006.39,263.16,159.20,792.38,792.38,189.01,167.27,153.06,6411.26,6482.48,7620.31,155.95,155.86,5555.93,156.63,2194.99,6670.89,1551.64,158.85,182.10,280.03,6536.02,161.46,263.66,188.92,143.18,4549.02,129.57,121.20,145.76,223.47,145.83,264.74,215.69,5505.17,195.38,70.80
2011-10-25,dsm2,base,1006,21167.36,4578.12,-9749.49,575.16,16530.99,0.00,0.00,251.13,3.46,3.78,4.18,3.26,262.08,262.08,158.73,5003.08,265.94,159.05,916.78,916.78,186.14,176.84,153.19,6518.76,6425.88,8101.80,155.73,155.65,5603.29,157.73,2395.60,7078.22,1707.08,158.75,183.70,277.65,6747.59,161.07,268.55,186.85,143.83,5080.82,129.25,124.31,148.50,221.61,146.91,266.66,219.31,5466.06,200.84,70.80
2011-10-26,dsm2,base,1006,22490.56,4849.08,-9482.49,572.69,18147.86,0.00,0.00,249.96,3.69,3.81,4.92,3.20,260.18,260.18,159.55,5016.87,255.83,158.28,877.58,877.58,185.17,173.68,153.67,6651.32,6455.11,8155.86,156.26,156.14,5573.14,156.80,2324.76,7161.31,1700.24,159.65,185.02,276.16,6460.02,162.29,268.16,186.94,143.61,5209.80,129.09,126.47,147.16,228.54,146.41,257.39,223.89,5440.03,204.43,70.80
2011-10-27,dsm2,base,1006,23845.11,4879.58,-9452.49,568.60,19572.05,0.00,0.00,239.17,3.71,3.79,5.48,3.24,260.72,260.72,160.50,5101.36,254.45,158.28,862.90,862.90,184.96,171.14,154.14,6734.81,6535.20,8061.13,156.88,156.75,5560.39,156.52,2292.96,7178.44,1620.45,160.67,185.60,271.74,6412.61,163.53,266.57,188.72,144.07,5347.92,130.24,128.15,146.28,225.98,146.08,254.49,222.60,5428.64,204.77,70.80
