datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2002-01-01,dsm2,base,51,41889.90,38933.40,4636.00,12250.93,-11163.67,-10287.95,-875.72,45438.64,0.00,1.00,549.63,3.59,3.53,5.69,2.85,283.95,283.95,313.43,458.90,768.41,307.66,275.65,275.65,453.30,211.09,283.82,2432.57,2723.88,3688.75,292.80,293.08,2903.73,273.46,630.15,8200.58,1950.23,298.05,313.48,385.89,990.58,2593.51,264.41,837.95,621.97,251.57,1522.35,212.24,207.61,229.51,648.08,239.79,737.77,490.73,1597.08,559.83,62.20
2002-01-02,dsm2,base,51,54526.60,44037.40,4425.00,12229.16,-12053.09,-11524.97,-528.12,58775.53,0.00,1.00,393.33,3.52,3.52,4.96,2.86,289.87,289.87,332.49,415.33,630.44,309.32,236.60,236.60,460.86,226.84,291.67,2473.23,2677.24,2738.63,301.19,300.84,2829.94,273.19,310.04,4884.31,1402.58,259.14,332.72,420.64,1025.50,991.27,303.71,832.01,662.62,263.07,1586.04,211.24,181.46,241.29,674.00,250.65,593.96,590.53,1732.68,597.91,54.40
2002-01-03,dsm2,base,51,54271.30,48479.20,4369.00,12116.12,-7362.67,-7028.42,-334.25,53886.85,0.00,1.00,363.81,3.20,3.56,4.03,2.89,284.63,284.63,332.04,371.90,479.71,312.62,242.46,242.46,463.67,217.11,296.19,2153.22,2657.88,1795.08,305.02,304.62,2730.87,278.20,286.65,4219.26,1105.23,258.86,332.37,423.90,925.50,838.54,341.26,752.84,604.01,272.00,1488.73,182.75,151.55,231.95,602.44,243.51,454.41,552.26,1689.62,551.64,53.80
2002-01-04,dsm2,base,51,63016.00,55717.20,5952.00,11991.35,-5773.73,-5855.39,81.66,62750.38,0.00,1.00,320.00,2.92,3.55,3.18,3.12,283.61,283.61,323.05,325.78,411.81,314.31,222.83,222.83,442.15,185.39,299.22,1968.66,2531.73,1285.23,305.29,305.00,2672.65,275.37,261.25,3537.31,857.52,240.67,323.43,403.07,761.27,672.51,369.57,629.67,569.10,271.73,1352.62,165.26,140.89,209.74,499.10,228.08,398.67,544.02,1607.28,477.40,53.80
2002-01-05,dsm2,base,51,98247.20,63426.00,5124.00,6075.07,-4501.11,-4478.58,-22.53,101797.24,0.00,1.00,355.39,2.58,3.44,2.48,3.11,283.37,283.37,325.44,292.97,361.52,313.05,187.24,187.24,424.45,162.11,303.29,1784.15,2344.61,892.34,310.32,309.62,2590.32,264.18,215.35,2227.20,656.05,209.19,326.19,410.62,640.87,379.59,399.67,492.93,550.82,259.66,1262.78,152.59,138.38,186.37,460.23,210.16,365.73,650.96,1501.14,453.01,53.80
2002-01-06,dsm2,base,51,106097.10,70263.60,4359.00,5738.93,-4510.87,-4504.36,-6.51,109228.04,0.00,1.00,325.01,2.34,3.39,2.23,3.03,273.69,273.69,338.76,255.59,395.35,309.91,169.19,169.19,404.90,151.38,307.41,1707.67,2171.03,512.31,318.69,317.46,2485.76,257.03,185.61,1364.86,458.46,183.89,339.36,438.52,654.54,241.52,448.91,422.71,537.94,252.80,1287.51,146.44,136.95,180.67,470.18,202.15,390.36,714.83,1446.22,467.37,53.80
2002-01-07,dsm2,base,51,95293.20,72107.20,4073.00,5698.07,-968.31,-1226.95,258.64,94636.44,0.00,1.00,380.79,2.39,3.42,2.43,2.98,260.21,260.21,348.63,220.68,366.11,307.53,164.93,164.93,375.18,144.75,311.89,1605.34,2013.55,320.83,323.53,322.21,2382.70,252.22,177.49,1120.94,358.80,172.07,349.54,452.15,636.98,221.52,477.06,429.96,518.60,251.37,1334.16,138.79,129.33,178.43,506.25,199.58,365.56,699.45,1409.22,502.80,53.80
2002-01-08,dsm2,base,51,86410.10,70936.80,3588.00,5783.29,373.93,94.74,279.19,83840.88,0.00,1.00,376.70,2.68,3.58,3.06,3.03,252.56,252.56,349.05,198.12,397.30,306.27,157.42,157.42,359.65,136.60,313.50,1481.67,1855.48,252.89,325.01,323.72,2271.20,245.19,169.32,1159.67,308.14,163.39,350.65,449.24,529.14,215.22,478.30,432.40,490.34,241.04,1354.34,133.40,125.93,171.63,483.24,194.88,398.53,650.04,1353.11,486.74,53.80
2002-01-09,dsm2,base,51,79605.70,69469.40,3133.00,5832.14,735.80,432.40,303.40,76170.76,0.00,1.00,468.77,3.04,3.79,3.68,3.07,246.29,246.29,345.76,186.34,388.42,303.20,150.59,150.59,353.60,137.33,308.56,1292.85,1680.47,238.67,324.15,322.58,2134.91,236.27,162.49,1362.48,279.06,155.80,346.27,440.39,487.03,225.75,448.05,414.43,467.29,225.09,1279.18,136.35,133.80,161.49,476.28,183.06,389.73,572.78,1264.43,487.73,53.80
2002-01-10,dsm2,base,51,72865.70,68233.00,2756.00,11685.04,1001.51,673.64,327.87,62935.15,0.00,1.00,574.96,3.26,3.93,4.19,3.20,238.30,238.30,332.55,176.49,428.41,294.80,154.06,154.06,343.83,143.80,294.73,1103.92,1474.55,250.11,315.33,313.33,2000.48,228.69,160.23,1628.22,270.40,158.08,332.76,414.60,474.33,252.71,401.72,413.07,446.36,210.30,1141.61,145.40,141.34,163.39,449.15,179.56,476.96,543.19,1153.55,456.09,53.80
