datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,oh4,rsl,vcu,mtz
2006-11-14,SCHISM,base,4,13087.69,10472.47,2495.96,8771.78,1126.66,-30555.05,1.00,0.00,0.68,89.00,84.40,-1042.26,660.72,579.39,576.25,682.74,518.56,839.21,18074.90,2253.04,9747.38,2282.06,473.25,7251.88,2045.88,307.20,266.54,569.34,700.58,335.07,13481.01,1024.64,12532.73,9935.93,11810.80,1310.77,171.25,387.59,518.56,576.25,11916.99
2006-11-15,SCHISM,base,4,13690.02,10958.39,2505.84,9132.49,1067.03,-3478.76,1.00,0.00,1.59,89.00,45.60,-1021.43,513.72,378.00,355.60,712.81,500.03,839.21,18033.18,2041.98,9073.46,2087.34,430.93,6793.54,2199.77,342.77,288.94,638.25,708.87,318.79,12857.14,1070.08,12181.82,9833.94,11867.04,1488.12,183.85,379.49,500.03,355.60,12568.77
2006-11-16,SCHISM,base,4,13804.65,11126.36,2482.46,9937.91,680.96,6300.80,1.00,0.00,1.82,88.60,12.50,-668.46,507.62,387.38,381.63,700.58,490.34,738.88,19112.25,2137.49,8991.12,2198.22,376.51,6801.02,2565.38,377.58,314.07,682.95,694.78,298.18,12040.68,1217.85,12021.57,9781.18,11877.03,1586.90,629.29,410.13,490.34,381.63,13375.92
2006-11-17,SCHISM,base,4,13976.12,11294.83,2443.08,9780.94,682.17,21734.32,1.00,0.00,2.24,88.20,39.00,-643.17,486.54,412.04,389.50,700.58,479.79,708.66,19575.21,2149.33,8834.77,2224.00,355.60,6657.73,2695.62,397.59,348.55,700.58,700.58,255.32,11850.78,1315.18,11972.34,9720.46,12034.59,1647.60,235.23,418.84,479.79,389.50,14003.25
2006-11-18,SCHISM,base,4,13882.73,10997.45,2422.99,8647.98,-37.40,20930.54,1.00,0.00,2.73,88.20,44.70,82.10,476.20,408.22,388.01,716.95,468.39,707.42,19969.50,2129.13,8479.40,2206.95,380.77,6368.03,2673.62,435.81,379.71,700.58,714.88,207.29,11959.81,1370.37,11945.43,9656.42,12257.99,1605.50,175.60,416.93,468.39,388.01,14530.04
2006-11-19,SCHISM,base,4,13496.65,10612.07,2373.94,9522.14,-470.14,22651.29,1.00,0.00,3.32,88.60,64.90,535.04,470.08,401.84,371.82,720.47,459.51,720.47,20503.66,2151.27,8322.05,2235.62,421.81,6177.45,2695.62,534.74,423.93,678.80,720.47,214.23,12149.55,1460.68,11941.87,9442.46,12539.13,1589.07,192.10,402.91,459.51,371.82,15047.64
2006-11-20,SCHISM,base,4,13380.60,10421.57,2355.74,10000.18,-480.52,18079.62,1.00,0.00,3.80,89.00,60.30,540.82,460.57,395.46,364.35,738.05,449.57,723.36,21196.74,2221.87,8462.11,2306.23,408.86,6198.09,2812.07,568.29,474.30,665.71,739.08,319.86,12346.60,1569.27,11984.18,9039.42,12881.33,1618.75,188.85,405.88,449.57,364.35,15568.22
2006-11-21,SCHISM,base,4,12995.92,10189.80,2329.75,10409.23,-536.14,19138.58,1.00,0.00,4.21,89.20,95.90,632.04,510.14,419.69,363.71,754.37,439.20,747.76,22000.84,2309.32,8829.90,2407.15,413.11,6412.24,2967.14,599.46,530.33,649.91,740.32,292.59,12559.51,1692.79,12058.61,8657.07,13260.53,1728.85,177.77,422.87,439.20,363.71,16073.05
2006-11-22,SCHISM,base,4,13081.17,10370.66,2316.41,9984.99,-508.52,13518.50,1.00,0.00,4.25,88.80,296.40,804.92,530.96,475.57,372.46,757.06,439.20,758.50,22011.50,2326.12,8889.06,2425.45,419.26,6407.23,2977.02,626.38,578.13,659.89,754.17,222.68,12760.13,1750.30,12057.59,8497.92,13509.27,1805.34,171.25,444.70,439.20,372.46,16427.94
2006-11-23,SCHISM,base,4,13331.62,10594.30,2288.25,9153.88,-507.97,22946.28,1.00,0.00,4.21,88.80,227.70,735.67,534.53,454.23,386.52,765.93,439.20,760.16,21409.32,2232.71,8672.24,2333.08,381.63,6024.71,2810.74,697.47,580.85,671.95,760.16,194.27,12942.14,1738.49,11886.51,8601.61,13537.70,1753.45,171.25,486.33,439.20,386.52,16476.96
